question_id,scoreable,primary_pages,all_pages,hard_pages,hard_kind,provision
leave_bereavement_days_007,yes,31,31,,,"Art. 21 D: five consecutive days immediate family plus one day other relative"
leave_sick_days_001,yes,28,"28;50;51","50;51",appendix_subset,"Art. 20 A.1: 1-1/2 days/month capped at 15/year; Appendix J job sharers half-day pro-rated"
leave_sick_family_003,yes,28,28,,,"Art. 20 A.1: sick leave usable to care for sick family up to five days"
benefits_dependent_health_004,no,,,,,"EXCLUDED: reviewer verified no clause extends health coverage to dependents; correct answer is an absence, so there is no retrieval target"
meta_state_law_citations_007,yes,6,"6;30;33;38;45",45,appendix,"RSA citations: Art. 2 A.1 (p6), Art. 20 (p30), Art. 22 E.4 (p33), Art. 25 Chapter 542 (p38), Appendix C (p45)"
workload_prep_minutes_004,yes,21,21,,,"Art. 12 C.2/C.3/C.5: secondary one period, elementary five 45-min preps, specialists five 30-min preps"
pay_hardtostaff_other_011,yes,42,"42;43;44","42;43;44",appendix,"Appendix B index add-ons: Plus.22 Title I Supervisor, Plus.15 English Language Learners Coordinator, repeated above FY08/09/10 tables"
benefits_health_001,yes,12,"12;13",,,"Art. 6 A: Blue Cross-Blue Shield Blue Choice coverage; B.2 covered from first day"
security_probation_001,yes,15,15,,,"Art. 9 A.4: defines permanent as remainder of the work year in which the vacancy occurs"
meta_cites_federal_law_008,yes,11,"11;34",,,"Art. 5 I federal laws/IRS (p11) and Art. 22 FMLA memorandum note (p34)"
evaluation_improvement_plan_007,yes,25,25,,,"Art. 15 A and B.3: deficiencies brought to teacher, appropriate corrective action and assistance"
pd_teacher_leadership_002,yes,41,"14;21;31;41;42;43;44;52","41;42;43;44;52",appendix,"Appendix A.A mentor program and A.B ESEA committee (p41); Appendix B Plus.33 Mentors, Plus.22 BLIC (pp42-44); Art. 7 C NBPTS committee (p14); DISCO (p31); Appendix K joint committees (p52); Art. 12 B.3-B.4 185-day year (p21)"
evaluation_procedure_001,yes,25,"25;26",,,"Art. 15 A-B.3: observation, Evaluation Handbook, pre-observation meeting, 15-day report, conference before Professional Assessment Instrument"
leave_personal_conversion_006,yes,31,31,,,"Art. 21 A.2: no personal and no sick leave in a year yields a bonus day under Art. 20 D, takeable as per-diem cash"
leave_sick_accrual_002,yes,28,28,,,"Art. 20 A.1: accumulate year to year to a maximum of 120 days"
leave_absence_reporting_013,yes,"20;30","17;18;20;28;29;30",,,"Art. 21 A.1 call-in and five-day advance request (p30); Art. 12 A.3 substitute effort (p20); Art. 20 A physician certificate (pp28-29); Art. 9 F substitute call lists (pp17-18)"
pd_career_ladder_003,yes,23,"21;23;24;42;43;44","42;43;44",appendix,"Art. 14 A.1 in-unit promotional positions (p23), E/D qualifications and preference (p24); Appendix B differentials for those roles plus Mentors (pp42-44); Art. 12 B.3-B.4 185-day year (p21)"
leave_bereavement_relatives_008,yes,31,31,,,"Art. 21 D: immediate family defined as spouse, parents, children, siblings, in-laws, blood relative or ward in same house"
pay_hardtostaff_sped_009,no,,,,,"EXCLUDED: reviewer verified no special-education pay differential exists anywhere; correct answer is an absence, so there is no retrieval target"
security_probation_length_009,yes,19,19,,,"Art. 11 B.2-B.3: automatic renewal during first three years, continuing thereafter (restates NH RSA 189:14-a baseline)"
benefits_health_employee_premium_003,yes,12,"9;12;50","9;50",appendix_subset,"Art. 6 B.1 District pays up to 87.5% / 95% optional (p12); Art. 5 part-time secondary one-half benefits (p9); Appendix J item 9 insurance at 85%/15% (p50)"
evaluation_system_002,yes,25,25,,,"Art. 15 B.1: evaluated in accordance with the Evaluation Handbook; Interim Assessment and Professional Assessment Instrument named"
meta_bargaining_unit_003,yes,5,5,,,"Art. 1 Recognition: enumerated certificated or licensed employees"
pay_experience_credit_military_public_016,yes,32,32,,,"Art. 22 B and C: salary-schedule placement as if actively employed for military leave and Peace Corps/VISTA/National Teacher Corps"
pay_experience_credit_indistrict_013,yes,16,"15;16",,,"Art. 9 B.1 returning Manchester teachers receive full credit (p16); A.1 newly employed placed per experience and education (p15)"
leave_personal_restrictions_005,yes,30,"30;31",,,"Art. 21 A.1: five school days advance request, emergency call-in, sound pressing unavoidable reasons only, no extending a vacation week or long weekend; verification sentence carries to p31"
benefits_health_plan_type_005,yes,12,"12;13",,,"Art. 6 A Blue Choice with Option I/II co-pays (p12); Matthew Thornton Blue Benefit Plan replacing Classic (p13)"
conduct_curriculum_autonomy_008,yes,26,"26;35",,,"Art. 17 C academic freedom (p26); Art. 24 B.2-B.3 textbook and new-program notice, Association committee seat, Board final determination (p35)"
workload_lunch_minutes_007,yes,21,21,,,"Art. 12 C.1: secondary duty-free lunch unspecified, elementary at least twenty minutes"
security_rif_006,yes,16,"16;17;18",,,"Art. 9 C.1-C.9: layoff by seniority within classification, inverse order with lottery tiebreak, seniority lists, 24-month recall"
pay_national_board_017,yes,14,14,,,"Art. 7 C: joint study committee to evaluate an NBPTS credentialing program, no stipend stated"
security_involuntary_transfer_005,yes,22,"22;23",,,"Art. 13 Involuntary Transfer A-G: reason notice, meeting option, competence, vacancy preference, visit time, fifteen-day resignation right, grievability"
pay_salary_schedule_002,yes,42,"42;43;44","42;43;44",appendix,"Appendix B: FY08 schedule dated 10/1/2007 (p42), FY09 dated 9/1/08 (p43), FY10 dated 9/1/09 (p44)"
meta_federal_law_citations_009,yes,11,"11;34",,,"Art. 5 I federal laws and IRS (p11); Art. 22 FMLA policy note (p34)"
conduct_political_activity_010,yes,26,"26;27",,,"Art. 17 B protects off-duty lawful political activity (p26); Art. 18 C bars political matter in Association mailbox material (p27)"
workload_workday_length_002,yes,19,"19;20",,,"Art. 12 A.1 no increase in length of teacher day, A.2.a fifteen minutes before admission (p19), A.2.b fifteen minutes after dismissal (p20)"
benefits_health_contribution_002,yes,12,"12;50",50,appendix,"Art. 6 B.1 87.5% Blue Choice and 95% approved optional plan (p12); Appendix J items 4 and 9 job-share splits, teachers' share 50% of District share and 85%/15% option (p50)"
security_voluntary_transfer_004,yes,24,"24;25",,,"Art. 14 F: March 1 written request, 11-year May 4 option for April 20 postings, ten granted on seniority, remainder at Superintendent discretion"
