document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,2005-2006 Agreement between the Governing Board Mesa Unified School District No.4 and the Mesa Education Association,1,high,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2005 to June 30, 2006 (2005-2006 school year)","This Agreement shall become operative at midnight, July 1, 2005, and shall remain in effect through 11:59 p.m., June 30, 2006.",3,high,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Classroom teachers, librarians/media specialists, subject matter specialists, psychologists, nurses, physical therapists, occupational therapists, and audiologists","The Governing Board recognizes the Mesa Education Association as the representative of all classroom teachers, librarians/media specialists, subject matter specialists (i.e., basic skills specialists, science specialists, art specialists, etc.), psychologists, nurses, physical therapists, occupational therapists, and audiologists who are employed by the Mesa Unified School District.",7,high,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,"This Agreement shall become operative at midnight, July 1, 2005, and shall remain in effect through 11:59 p.m., June 30, 2006.",3,high,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,Text is fully legible and structured throughout all provided pages.,not_applicable,high,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,The Board agrees that within the provisions of district policy and the Arizona Revised Statutes it will furnish to the Association:,7,high,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,The Board agrees that within the provisions of district policy and the Arizona Revised Statutes it will furnish to the Association:,The Board agrees that within the provisions of district policy and the Arizona Revised Statutes it will furnish to the Association:,8,high,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Employees of the Mesa Unified School District Number Four are guaranteed all rights extended citizens of the United States as prescribed in the United States Constitution and by Federal and State statutes.
Though not absolute, these protected rights include substantive and procedural due process as prescribed in the First, Fifth, and Fourteenth Amendments of the United States Constitution.","Employees of the Mesa Unified School District Number Four are guaranteed all rights extended citizens of the United States as prescribed in the United States Constitution and by Federal and State statutes. Though not absolute, these protected rights include substantive and procedural due process as prescribed in the First, Fifth, and Fourteenth Amendments of the United States Constitution.",15,high,
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"United States Constitution; First, Fifth, and Fourteenth Amendments of the United States Constitution","Employees of the Mesa Unified School District Number Four are guaranteed all rights extended citizens of the United States as prescribed in the United States Constitution and by Federal and State statutes. Though not absolute, these protected rights include substantive and procedural due process as prescribed in the First, Fifth, and Fourteenth Amendments of the United States Constitution.",15,high,Updated evidence field to include the full supporting sentences from page 15 for complete traceability.
mesa_public_schools__39_05__bf8b50aa,39-05.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,"yes. Included schedules: Article 35 (Extended Contracts, p. 33); Article 36 (Extra Factor, pp. 33-40); Article 37 (Longevity, p. 41); Article 38 (OT/PT/Audiologists, pp. 41-42); Article 39 (Psychologists/Speech/Language Pathologists, pp. 43-45); Article 40 (Substitutes, p. 45); Article 41 (Teachers/Nurses, p. 45). Covered year: 2005-2006. Employee groups: Teachers, Nurses, OT/PT, Audiologists, Psychologists, Speech/Language Pathologists, coaches/extra factor staff, and extended contract personnel.","""Article 35 -- Salary Schedule For Extended Contracts"" (p. 33); ""Article 36 -- Salary Schedule for Extra Factor"" (p. 33); ""Article 37 -- Salary Schedule for Longevity"" (p. 41); ""Article 38 -- Salary Schedule for Occupational Therapists..."" (p. 41); ""Article 39 -- Salary Schedule for Psychologists and Speech/Language Pathologists"" (p. 43); ""Article 40 -- Salary Schedule for Substitutes"" (p. 45); ""Article 41 -- Salary Schedule for Teachers, Nurses, OT/PT and Audiologists"" (p. 45); ""The 2005-2006 TRANSITION SALARY SCHEDULE"" (pp. 41, 43, 45).","33, 41-45",high,
