document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,3,"The Board is not required to meet and negotiate on matters of inherent managerial policy, which include, but are not limited to, such areas of discretion or policy as the functions and programs of the employers, its overall budget, utilization of technology, the organizational structure and selection and direction and number of personnel as outlined in PELRA, M.S. §179A.07, Subd. 1 and 2.",The Board,management,management,,True,active,obligation_verb,right,right,True,0.85,other,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,3,"The Board has the right and obligation to efficiently manage and conduct the operation of the District within its legal limitations and to adopt, repeal or modify policies, rules, and regulations insofar as such actions are not inconsistent with the terms of this Agreement.",The Board,management,management,,False,active,plain,other,right,False,0.0,other,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,3,Teachers shall have the right to form and join labor or employee organizations,Teachers,worker,worker,shall,False,active,plain,obligation,right,False,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,3,but membership in such organizations shall not be required as a condition of employment.,membership in such organizations,management,worker,shall,True,passive,obligation_verb,right,right,True,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,3,Teachers shall have the right to request and be granted payroll check off for dues to be paid to the Federation.,Teachers,worker,worker,shall,False,active,plain,obligation,right,False,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,3,"Upon receipt by the payroll department of a properly-executed authorization card of the teacher involved, the Board will cause to be deducted from the teacher’s paycheck the amount that the teacher has agreed to pay to the Federation during the period provided in said authorization.",the Board,management,worker,will,False,active,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,3,The Board will remit said deducted amount to the Federation within the payroll period covered by the paycheck from which the deduction is made.,The Board,management,worker,will,False,active,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,3,"Upon written request of the teacher involved, the District shall provide legal counsel for any teacher against whom claim is made or action is brought for recovery of damages in any tort action involving physica",the District,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,Truncated at end of chunk
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,"Upon written request of the teacher involved, the District shall provide legal counsel for any teacher against whom claim is made or action is brought for recovery of damages in any tort action involving physical injury to any person or property or for wrongful death arising out of or in connection with the employment of such teacher with the District.",the District,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,The choice of such legal counsel shall be made only after consultation with the teacher.,The choice of such legal counsel,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,"Teachers who are elected officers of the Federation or who are appointed to its staff shall, upon proper application, be granted leave of absence without pay for one (1) school year for the purpose of performing legitimate duties for the Federation.",Teachers who are elected officers of the Federation or who are appointed to its staff,management,worker,shall,False,passive,rights_passive,right,obligation,False,1.0,leave,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,Application for such leave shall include a letter of verification from the Federation that the applicant is eligible for leave provided in this section.,Application for such leave,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,leave,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,A teacher granted such leave shall retain all rights of tenure with no progression on the salary schedule and fringe benefits at no cost to the District.,A teacher granted such leave,worker,worker,shall,False,active,plain,obligation,right,False,1.0,leave,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,No more than two (2) concurrent leaves shall be granted under this provision.,No more than two (2) concurrent leaves,management,management,shall,False,passive,plain,obligation,prohibition,False,1.0,leave,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,Members of the Federation negotiating team shall be released from their assignments with appropriate advance notice for such reasonable time as is necessary to carry out the responsibilities of the Federation.,Members of the Federation negotiating team,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,Such time may be granted upon approval of the teacher’s immediate supervisor.,Such time,management,management,may,False,passive,rights_passive,right,permission,False,0.3,leave,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,The provision of substitute teacher service and the payment of salary during time off may be granted only at the discretion of the Superintendent.,The provision of substitute teacher service and the payment of salary during time off,other,management,may,False,passive,rights_passive,right,permission,False,0.3,leave,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,The Federation building stewards shall exercise their duties for the Federation only at times that do not conflict with the contractual obligations of teachers.,The Federation building stewards,worker,management,shall,False,active,plain,obligation,prohibition,False,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,Union stewards will be provided up to 15 minutes at staff meetings to report on official union business.,Union stewards,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,"One union steward at each location, who serves on the site council, will not be required to have an additional mandatory building committee assignment.","One union steward at each location, who serves on the site council",management,worker,will,True,passive,obligation_verb,right,right,True,0.9,workload,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,4,"The Federation shall have the right to request and be granted payroll check off from the earnings of teachers who are not members of the Federation, a fair-",The Federation,worker,worker,shall,False,active,rights_active,right,right,True,1.0,teacher_rights_and_conduct,True,truncated at end
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,5,"The Federation shall have the right to request and be granted payroll check off from the earnings of teachers who are not members of the Federation, a fair-share fee for every individual from whom the deduction is to be made for services rendered by the Federation.",The Federation,worker,worker,shall,False,active,rights_active,right,right,True,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,5,the payroll department shall supply to the Federation a listing of teachers in the unit on paydays to be returned not less than one (1) full week and one (1) day prior to the payroll date on which the deductions are to be made.,the payroll department,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
st_paul_public_schools__st_paul_agreement_teacher__fbbba452,St_Paul_Agreement_teacher.pdf,St. Paul Public Schools,5,The Board will remit said deducted amounts to the Federation within the payroll period covered by the paycheck from which the deduction is made.,The Board,management,worker,will,False,active,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,
