document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,10,"I agree to read the Handbook and abide by the standards, policies and procedures defined or referenced in this document.",I,worker,management,,False,active,plain,other,obligation,False,0.0,other,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,10,I accept responsibility for reading and abiding by the changes.,I,worker,management,,False,active,plain,other,obligation,False,0.0,other,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,10,"I have an obligation to inform my supervisor of any changes in my personal information, such as phone number, address, etc.",I,worker,management,,False,active,obligation_verb,obligation,obligation,True,0.85,other,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,10,"I should also access http://inside.cfisd.net/, go to the employee access center, and make the personal information changes on line.",I,worker,management,should,False,active,plain,obligation,obligation,True,0.7,other,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,11,"I also accept responsibility for contacting my supervisor if I have any questions, concerns or need further explanation.",I,worker,management,need,False,active,plain,obligation,obligation,True,0.7,other,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,11,the district may deduct any fines or fees charged to the school district incurred by me,the district,management,management,may,False,active,plain,permission,permission,True,0.3,compensation,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,11,My signature also gives consent to the district to access my Texas Education Agency certification information.,My signature,other,management,,False,active,plain,other,other,True,0.0,other,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,11,(Supervisors are to maintain this page on file for a period of five years.),Supervisors,management,management,,False,active,plain,other,obligation,False,0.0,other,True,parenthetical administrative directive
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,12,"In meeting our primary objective, all of us must comply with reasonable rules and regulations intended to make us effective employees.",all of us,other,management,must,False,active,plain,obligation,obligation,True,1.0,other,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,12,"Thus, everyone is expected to do his/her share to create and maintain a pleasant and safe environment conducive to our educational goals.",everyone,other,management,,False,passive,obligation_verb,obligation,obligation,True,0.85,safety_and_working_conditions,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,13,The district will ensure academic performance and achievement levels reflect excellence in learning and attainment of both high expectations and high standards for all students.,The district,management,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,13,"The district will provide a safe, disciplined, and healthy environment conducive to student learning.",The district,management,worker,will,False,active,plain,obligation,obligation,True,0.9,safety_and_working_conditions,True,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,Cypress–Fairbanks Independent School District,13,"The district will recruit, develop, and retain highly qualified and effective personnel reflective of our student demographics.",The district,management,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
