document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,2018-26 Agreement Between the Jefferson County Board of Education and Jefferson County Teachers Association,1,high,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2018-2026,2018-26 Agreement Between the Jefferson County Board of Education and Jefferson County Teachers Association,1,high,Replaced filename with explicit title quote from page 1.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Certificated personnel, teachers paid on the Teachers Salary Schedule (Job Family III), Mental Health Practitioners, Occupational Therapists, Physical Therapists, and Speech Therapists.","The Employer recognizes the Association as the official representative of certificated personnel in the school system who are employees as defined in Article 1 – Definitions, in addition to employees who function as teachers and are paid on the Teachers Salary Schedule, Job Family III. In addition, Mental Health Practitioners, Occupational Therapists, Physical Therapists, and Speech Therapists shall be considered a part of the bargaining unit.",10,high,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding,"This Agreement is made and entered into by and between the Board of Education of Jefferson County, Kentucky... The Parties mutually and in good faith agree to the following:",5,high,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"Tribunal Resolution Agreement means an agreement between the Employer, the Association, and an employee to resolve a tribunal proceeding under KRS 161.790.",8,high,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"""Tribunal Resolution Agreement means an agreement between the Employer, the Association, and an employee to resolve a tribunal proceeding under KRS 161.790.""
""The Employer and the Employees agree to implement and comply with all applicable provisions of Commonwealth of Kentucky law governing student discipline records and reporting procedures.""
""The Board of Education of Jefferson County, Kentucky hereby specifically retains and reserves unto itself, the Superintendent, the Principal/administrator, or designee, and other administrative personnel of the school system all powers, rights, authority, duties and responsibilities, and the exercise thereof, as conferred upon and delegated to and vested in them by the Constitutions and the Laws and Regulations of the United States of America and the Commonwealth of Kentucky except as otherwise specifically provided for in this agreement.""
""Nothing contained herein shall be construed to deny or restrict any rights any employees may have under the Constitutions and Laws of the United States or of the Commonwealth of Kentucky.""
""The District will make available all ongoing professional development and training required by federal and state law and board policy.""","""Tribunal Resolution Agreement means an agreement between the Employer, the Association, and an employee to resolve a tribunal proceeding under KRS 161.790.""
""The Employer and the Employees agree to implement and comply with all applicable provisions of Commonwealth of Kentucky law governing student discipline records and reporting procedures.""
""The Board of Education of Jefferson County, Kentucky hereby specifically retains and reserves unto itself, the Superintendent, the Principal/administrator, or designee, and other administrative personnel of the school system all powers, rights, authority, duties and responsibilities, and the exercise thereof, as conferred upon and delegated to and vested in them by the Constitutions and the Laws and Regulations of the United States of America and the Commonwealth of Kentucky except as otherwise specifically provided for in this agreement.""
""Nothing contained herein shall be construed to deny or restrict any rights any employees may have under the Constitutions and Laws of the United States or of the Commonwealth of Kentucky.""
""The District will make available all ongoing professional development and training required by federal and state law and board policy.""","8, 15, 9, 15, 19",high,Updated evidence and page fields to include all quoted sentences from the answer for completeness. All quotes are explicitly present in the document and directly support the answer.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","""Exceptional Child Education Pupil means a pupil covered under the provisions of IDEA – Individuals with Disabilities Education Act as amended.""
""The Board of Education of Jefferson County, Kentucky hereby specifically retains and reserves unto itself, the Superintendent, the Principal/administrator, or designee, and other administrative personnel of the school system all powers, rights, authority, duties and responsibilities, and the exercise thereof, as conferred upon and delegated to and vested in them by the Constitutions and the Laws and Regulations of the United States of America and the Commonwealth of Kentucky except as otherwise specifically provided for in this agreement.""
""Nothing contained herein shall be construed to deny or restrict any rights any employees may have under the Constitutions and Laws of the United States or of the Commonwealth of Kentucky.""
""The District will make available all ongoing professional development and training required by federal and state law and board policy.""","""Exceptional Child Education Pupil means a pupil covered under the provisions of IDEA – Individuals with Disabilities Education Act as amended.""
""The Board of Education of Jefferson County, Kentucky hereby specifically retains and reserves unto itself, the Superintendent, the Principal/administrator, or designee, and other administrative personnel of the school system all powers, rights, authority, duties and responsibilities, and the exercise thereof, as conferred upon and delegated to and vested in them by the Constitutions and the Laws and Regulations of the United States of America and the Commonwealth of Kentucky except as otherwise specifically provided for in this agreement.""
""Nothing contained herein shall be construed to deny or restrict any rights any employees may have under the Constitutions and Laws of the United States or of the Commonwealth of Kentucky.""
""The District will make available all ongoing professional development and training required by federal and state law and board policy.""","6, 9, 15, 19",high,Updated evidence to include all quoted sentences supporting the answer. All quotes are explicitly present in the document and directly cite federal laws or US constitutional/legal provisions.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,IDEA – Individuals with Disabilities Education Act as amended; Constitutions and Laws of the United States; federal and state law,"""IDEA – Individuals with Disabilities Education Act as amended.""
""Constitutions and the Laws and Regulations of the United States of America""
""Constitutions and Laws of the United States""
""federal and state law""","6, 9, 15, 19",high,Updated evidence to include all federal law citations that support the listed items in the answer. Stage 1 evidence only covered IDEA; expanded to fully justify the answer.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,"employees who function as teachers and are paid on the Teachers Salary Schedule, Job Family III.",9,high,"Stage 1 answered not_discussed. Updated to yes based on Article 3 (p. 9) explicitly referencing the 'Teachers Salary Schedule'. Remaining questions pertain to Article 27 (Compensation Schedules, p. 79), which is not included in the provided truncated document text."
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,not_discussed,,not_applicable,high,"Document text is truncated at page 24. Article 27 (Compensation Schedules, p. 79) is referenced in the TOC but not provided, so coverage years cannot be verified."
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,not_discussed,,not_applicable,high,"Document text is truncated at page 24. Relevant provisions regarding step advancement are likely in Article 27, which is not included."
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,Document text is truncated at page 24. Prior experience credit policies are not present in the provided text.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",not_discussed,,not_applicable,high,Document text is truncated at page 24. Performance pay details are not present in the provided text.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_applicable,high,Document text is truncated at page 24. Evaluation criteria for pay eligibility are not present in the provided text.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,not_discussed,,not_applicable,high,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,the employer will pay a stipend to employees covered under this collective bargaining agreement. Employees at enhanced support schools will receive an annual stipend paid quarterly on the payment schedule noted below:,100,high,[cross-question]
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",not_discussed,,not_applicable,high,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",not_discussed,,not_applicable,high,
