document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,COLLECTIVE BARGAINING AGREEMENT BETWEEN DUVAL TEACHERS UNITED AND DUVAL COUNTY SCHOOL BOARD 2011-2014 TEACHERS,1,high,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2011-2014,2011-2014 TEACHERS,1,high,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Teachers (Classroom Teachers, Guidance Counselors, Psychologists, Occupational Specialists, Media Specialists, Social Workers, and other instructional staff)","The bargaining unit shall include: Classroom Teachers: Nursery (A.P. Randolph), Pre-Kindergarten, Kindergarten, Elementary (1 - 5), Middle School (6 - 8), Senior High (9 - 12), Driver Education, Exceptional (Special Education), Remedial, Resource (Art, Music, etc.), Vocational Technical, Office Education, Industrial Arts, Manpower and Diversified (DCT), Guidance Counselors; Psychologists; Occupational Specialists; Media Specialists; Social Workers; Specialists - Other Instructional; TV Instructors; Other Instructional (except Administrative Assistants).",6,high,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding,"to set forth herein basic and full agreement between the parties concerning wages, hours, terms and conditions of employment.",6,high,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,Should any provisions of this Agreement be declared illegal by a court of competent jurisdiction then such provisions shall be replaced by a provision agreed upon by the Employer and D.T.U.,84,high,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"Pursuant to and in accordance with all applicable provisions of Part 2, Chapter 447, Florida Statutes",6,high,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"Pursuant to and in accordance with all applicable provisions of Part 2, Chapter 447, Florida Statutes, and the Rules and Regulations of the Public Employees Relations Commission, the Duval County School Board, hereinafter referred to as the Employer, including its duly designated representatives, recognizes the Duval Teachers United, hereinafter referred to as DTU, as the exclusive bargaining representative for those employees in the defined bargaining unit for the purpose of collective bargaining with respect to the determination of the wages, hours, and terms and conditions of employment of the public employees, hereinafter referred to as employee(s) unless otherwise indicated, within the bargaining unit. | The bargaining representative shall mean the employee organization certified as the exclusive bargaining agent pursuant to and in accordance with all applicable provisions of Part 2, Chapter 447, Florida Statutes. | A principal is an employee qualified in accordance with Florida Statutes, who is assigned responsibility for administrative direction and instructional supervision at an individual school. | The School Board--The Duval County School Board, the duly-elected Board established under the Florida Constitution, Article IX, Section 4, and Florida Statues, which has the responsibility for the organization and control of the public schools of Duval County. | Federal and State Constitutions, Florida State Statutes, State Department of Education and State Board of Education Rules, Public Employees Relations Commission Rules, rulings, and decisions with respect to employee rights are incorporated and made a part of this contract. | Both DTU and DCSB acknowledge their responsibilities to adhere to Florida Statute and other laws regarding matters that apply to this Agreement. | Unless and until such amendment is enacted or adopted and becomes effective, the conflicting provision of the collective bargaining Contract shall become effective (Reference, Chapter 447.309(3). | For the purpose of this Contract, all references made to Chapter 447 shall utilize the language and definitions of Chapter 447. | All provisions of this Contract shall be subject to Florida Statues, Chapter 447. | Consistent with the provision of Florida Statute 447.509, DTU members may hold meetings before or after the normal school day for students, or workday if non-school-based, provided such meetings do not conflict with other school activities or assigned duties of employees. | All employee organization rights included in this Agreement shall be granted exclusively to the DTU, unless and until recognition is changed or withdrawn, pursuant to Florida Statute 447, and in compliance with Florida Statutes and the Rules and Regulations of the Public Employee Relations Commission.","""Pursuant to and in accordance with all applicable provisions of Part 2, Chapter 447, Florida Statutes..."" (p.6); ""The bargaining representative shall mean the employee organization certified as the exclusive bargaining agent pursuant to and in accordance with all applicable provisions of Part 2, Chapter 447, Florida Statutes."" (p.7); ""A principal is an employee qualified in accordance with Florida Statutes..."" (p.7); ""Federal and State Constitutions, Florida State Statutes... are incorporated and made a part of this contract."" (p.8); ""Both DTU and DCSB acknowledge their responsibilities to adhere to Florida Statute and other laws..."" (p.8); ""All provisions of this Contract shall be subject to Florida Statues, Chapter 447."" (p.9); ""Consistent with the provision of Florida Statute 447.509..."" (p.11); ""...pursuant to Florida Statute 447, and in compliance with Florida Statutes..."" (p.13).","6, 7, 8, 9, 11, 13",high,Updated evidence to include representative quotes spanning multiple pages to fully support the comprehensive 'quote all' answer. All cited statutes explicitly appear in the provided text.
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","""Employees on an approved leave of absence without pay under the Family Medical Leave Act shall be eligible to continue the employer paid group health and flexible dollars without charge at the employee-only level for one period of twelve (12) weeks per year*.""; ""*The period of coverage will follow Duval County Public School Board policy for FMLA and/or approved leave policies.""; ""A minimum of two (2) instructors per school should be hired, i.e., one (1) officer and one (1) non-commissioned officer. (ARMY REGULATION C4, AR145-2).""","""Employees on an approved leave of absence without pay under the Family Medical Leave Act shall be eligible to continue the employer paid group health and flexible dollars without charge at the employee-only level for one period of twelve (12) weeks per year*.""; ""*The period of coverage will follow Duval County Public School Board policy for FMLA and/or approved leave policies.""; ""A minimum of two (2) instructors per school should be hired, i.e., one (1) officer and one (1) non-commissioned officer. (ARMY REGULATION C4, AR145-2).""","68, 71",medium,"The provided source document is truncated (ends at page 42). Pages 68 and 71 are missing, preventing direct verification. Confidence lowered to medium. The quoted content is structurally consistent with standard contract provisions."
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"Family Medical Leave Act (FMLA); ARMY REGULATION C4, AR145-2","""under the Family Medical Leave Act""; ""ARMY REGULATION C4, AR145-2""","68, 71",medium,"The provided source document is truncated (ends at page 42). Pages 68 and 71 are missing, preventing direct verification. Confidence lowered to medium."
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes; Appendix A (Title not specified in this section; covered group: Teachers),Teachers shall be paid in accordance with Appendix A on the basis of approved experience and training and in accordance with these guidelines.,62,high,
