document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
anchorage_school_district__54__0f80b912,54.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,Agreement Between the Anchorage Education Association and the Anchorage School District,1,high,
anchorage_school_district__54__0f80b912,54.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2007–June 30, 2010","July 1, 2007–June 30, 2010",1,high,
anchorage_school_district__54__0f80b912,54.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Teachers/Certificated staff (Anchorage Education Association),Agreement Between the Anchorage Education Association and the Anchorage School District,1,high,
anchorage_school_district__54__0f80b912,54.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,Agreement Between the Anchorage Education Association and the Anchorage School District,1,high,
anchorage_school_district__54__0f80b912,54.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,Alaska statute 14.20.165,15,high,
anchorage_school_district__54__0f80b912,54.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"In the event a tenured member retires because of disability and subsequently recovers, the member shall have rehire privileges as defined by Alaska statute 14.20.165 and appropriate regulations.
The District shall insure or indemnify and protect members from claims, demands, suits or judgments, as prescribed in AS 14.12.115 and Board Policy 728.22, while they are participating in District sanctioned/sponsored activities that might occur before and after the school day and on weekends or holidays.
Members may purchase, at their expense, at the then current rates, life insurance for eligible dependents in accordance with current Alaska Statutes and as described in a master contract between the District and the insurance carrier.",Alaska statute 14.20.165; AS 14.12.115; current Alaska Statutes,"14, 15",high,
anchorage_school_district__54__0f80b912,54.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","5. Improving the content knowledge of a member pursuing NCLB highly qualified status, as directed by the principal or Human Resources Department.","5. Improving the content knowledge of a member pursuing NCLB highly qualified status, as directed by the principal or Human Resources Department.",7,high,
anchorage_school_district__54__0f80b912,54.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,NCLB (No Child Left Behind Act),"5. Improving the content knowledge of a member pursuing NCLB highly qualified status, as directed by the principal or Human Resources Department.",7,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,105 SALARY SCHEDULE 2007-2008 Salary Schedule... 2008-2009 Salary Schedule... 2009-2010 Salary Schedule,2,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,"2007-2008, 2008-2009, 2009-2010",2007-2008 Salary Schedule... 2008-2009 Salary Schedule... 2009-2010 Salary Schedule,2-4,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,Contracted members serving a school term of 140 full-time or part-time instructional days or more shall be credited with a year of teaching service. An experience step and educational attainment shall be provided to eligible members in each year of this agreement. Vertical movement on the salary schedule shall be limited in any one year to two steps.,5,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"The District shall provide up to five years of prior experience credit for placement on the salary schedule, at time of hire.",5,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,Activities authorized by the Board will be compensated by assignment to one of the seven ranges shown in the following schedule. The range number at the right of each activity is the range assigned for added duty compensation amounts.,10,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",yes,"B. Department Chair in Special Education
     A teacher who serves as Special Education Department Chair shall be paid according to the following schedule and may be assigned direct teaching responsibilities:",12,high,"Stage 1 incorrectly coded as not_discussed. Section 155.B explicitly provides a salary schedule for Special Education Department Chairs, constituting additional pay for this special education role. [recall-recovery]"
anchorage_school_district__54__0f80b912,54.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",yes,"H. The following are hard-to-fill positions nationwide. The District may wish to compensate these positions with a supplemental wage: Audiologists, Psychologists, Occupational Therapists, Physical Therapists, Teachers of the Blind and Visually Impaired, Speech Language Pathologists, World Language Immersion Teachers. A committee will meet to make recommendations regarding the supplemental wage. The Executive Director of Human Resources or his designee will chair the committee. AEA may appoint two representatives to the committee. Other members of the committee will include a principal representative and administrative representatives from the Special Education, Curriculum, and Human Resources departments. Recommendation adoption would be at the sole discretion of the superintendent.",5-6,high,[recall-recovery]
anchorage_school_district__54__0f80b912,54.pdf,pay_hardtostaff_schools_012,compensation,"Does the document provide incentives specifically for teaching in hard-to-staff, high-need, Title I, or priority schools, regardless of subject?",not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_experience_credit_indistrict_013,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,yes,"F. The District shall provide up to five years of prior experience credit for placement on the salary schedule, at time of hire",5,high,[cross-question]
anchorage_school_district__54__0f80b912,54.pdf,pay_experience_credit_outofdistrict_014,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_experience_credit_outofstate_015,compensation,Does the document specify how out-of-state teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_experience_credit_military_public_016,compensation,Does the document credit military service or other public service for salary placement?,not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,pay_national_board_017,compensation,Does the document provide extra pay for National Board certification or similar advanced certification?,$2000 salary supplement each year for the life of the certificate or 10 years,"Members who hold Certificates from the National Board of Professional Teaching Standards shall receive a $2000 salary supplement each year for the life of the certificate or 10 years, whichever is shorter.",5,high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_health_001,benefits,Does the document state that health or medical insurance is available to teachers?,yes,comprehensive health plan for Anchorage School District teachers,14,high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_health_contribution_002,benefits,What employer contribution toward health insurance is stated?,"$890.00/month (2007-2008); $975.00/month (2008-2009); $1,060.00/month (2009-2010)",the District shall contribute $890.00 per member who elects health coverage through the NEA Alaska Health Plan per month toward the cost of health care. The District contribution will increase to $975.00 for 2008-2009 and to $1060.00 for 2009-2010.,14,high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_health_employee_premium_003,benefits,What employee health insurance premium or contribution is stated?,"$890.00 per month for 2007-2008, $975.00 for 2008-2009, and $1,060.00 for 2009-2010.","For the 2007-2008 year, the District shall contribute $890.00 per member who elects health coverage through the NEA Alaska Health Plan per month toward the cost of health care. The District contribution will increase to $975.00 for 2008-2009 and to $1060.00 for 2009-2010.",13,medium,"Corrected 'not_discussed' to the specific contribution amounts stated in the evidence. The original answer was self-contradictory as it quoted the provision but claimed it was not discussed. Changed confidence to medium because the text explicitly details the District's contribution toward health care, rather than the employee's premium contribution. [recall-recovery]"
anchorage_school_district__54__0f80b912,54.pdf,benefits_dependent_health_004,benefits,"Does the document mention dependent, spouse, family, or domestic partner health coverage?",not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_health_plan_type_005,benefits,What health plan types are described?,discussed,"For the 2007-2008 year, the District shall contribute $890.00 per member who elects health coverage through the NEA Alaska Health Plan per month toward the cost of health care.",14,high,Stage 1 incorrectly marked as not_discussed with no evidence. The document explicitly names and describes the NEA Alaska Health Plan in Article 205.A. Answer revised to discussed. [cross-question]
anchorage_school_district__54__0f80b912,54.pdf,benefits_dental_006,benefits,Does the document state that dental insurance is available?,not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_vision_007,benefits,Does the document state that vision or optical insurance is available?,not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_life_008,benefits,Does the document provide district-paid or voluntary life insurance?,yes,"A. The District shall provide, on a non-contributory basis, a group Life and Accidental Death and Dismemberment Insurance Plan. Coverage shall be for three times the member’s annual salary rounded to the next higher $1,000 to a maximum of $100,000. B. Members may purchase, at their expense, and at the then current group rate, supplemental term life insurance...",15,high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_disability_009,benefits,Does the document mention short-term or long-term disability coverage?,not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_retirement_contribution_010,benefits,What employer retirement or pension contribution is stated?,discussed,The Board shall continue the retirement contributions toward the salary the member would have received when the member pays the District and member contribution as required by state law.,21,high,"Stage 1 incorrectly coded as 'not_discussed'. The document explicitly addresses employer retirement contributions in Section 360.D.4, confirming the Board continues contributions toward the member's salary. Revised to 'discussed'. [recall-recovery]"
anchorage_school_district__54__0f80b912,54.pdf,benefits_leave_continuation_011,benefits,Does the document state whether insurance benefits continue during paid or unpaid leave?,yes,"E. Members on District-approved long-term unpaid leave, laid-off members, or members who terminate their employment may elect to pay the full cost of the health plan then in effect... E. A member on an approved long-term unpaid leave of absence may elect to continue the life insurance coverage in force during the member’s employment. If such election is made, the member shall pay all premiums for the insurance at the then current group rate.","14, 15",high,
anchorage_school_district__54__0f80b912,54.pdf,benefits_retiree_012,benefits,"Does the document provide retiree health, dental, life, or other post-employment benefits?",not_discussed,,not_applicable,high,
anchorage_school_district__54__0f80b912,54.pdf,leave_sick_days_001,leave,How many paid sick leave days are granted per year?,1.33 days per month (advanced at the beginning of the school year),Teachers shall accrue paid sick leave without limit at the rate of one and one-third days for each calendar month or each major portion of each calendar month of actual service.,20,high,
anchorage_school_district__54__0f80b912,54.pdf,leave_sick_accrual_002,leave,"Does sick leave accumulate or carry over, and what cap is stated?",Accumulates without limit,Teachers shall accrue paid sick leave without limit at the rate of one and one-third days for each calendar month...,20,high,
anchorage_school_district__54__0f80b912,54.pdf,leave_sick_family_003,leave,May teachers use sick leave for family illness or family care?,yes,"In cases of death in the immediate family, or cases of serious illness or accident requiring hospitalization of a member’s immediate family member, the member at that time shall be entitled to use up to five days of sick leave.",16,high,
anchorage_school_district__54__0f80b912,54.pdf,leave_personal_days_004,leave,How many paid personal leave days are granted per year?,2.5,Full-time members shall be entitled to two and one-half days of personal leave with pay each year.,17,high,
anchorage_school_district__54__0f80b912,54.pdf,leave_personal_restrictions_005,leave,What restrictions apply to personal leave use?,"Restricted during the first or last five student days of the term, in-service days, and before/after Winter or Spring vacations; requires 24-hour advance notice; subject to supervisor approval (max 10% of staff or two members per day); must not disrupt the educational program.","Personal leave may not be used during the first or last five student days of the school term, unit or District in-service days. Members may not use personal leave in any combination that includes both the day before and the day after either Winter or Spring vacations. ... Employees shall request personal leave at least 24 hours prior to the beginning of the leave. ... Leave approval will be at the discretion of the immediate supervisor who may deny personal leave if the number of members requesting leave for any one day exceeds 10% of the teaching staff or two members, whichever is more at the unit level, or otherwise threatens to disrupt the unit’s educational program.",17,high,
anchorage_school_district__54__0f80b912,54.pdf,leave_personal_conversion_006,leave,"Does unused personal leave convert to sick leave, cash, or another benefit?",yes,Unused personal leave days in excess of five will be cashed out at the end of the school year at the member’s per diem rate for that year. A member may cash out previously accrued unused personal leave days at any time.,17,high,
anchorage_school_district__54__0f80b912,54.pdf,leave_bereavement_days_007,leave,How many bereavement leave days are available?,5 days (uses sick leave; 7 days if out-of-state travel; extendable to 10 days),"entitled to use up to five days of sick leave. If these circumstances require out-of-state travel, the member shall be entitled to use up to seven days of sick leave. ... The building administrator/supervisor may extend the days to a total of ten (10) days of sick leave, if available.",16,high,
