review_id,document_id,district,file_name,question_id,question,a_answer,a_evidence,a_page,a_confidence,a_coder_notes,a_status_correct,a_value_correct,a_evidence_correct,a_page_correct,a_overall_correct,b_answer,b_evidence,b_page,b_confidence,b_coder_notes,b_status_correct,b_value_correct,b_evidence_correct,b_page_correct,b_overall_correct,reviewer_notes
62dfa12b5a012887,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_doc_type_001,What type of district document is this PDF?,Code CBA,"""Agreement between the Manchester Board of School Committee and the Manchester Education Association 2007-2010""",1,high,,,,,,,Code CBA,Agreement between the Manchester Board of School Committee and the Manchester Education Association 2007-2010,1,high,,,,,,,
dc11b01d7c134c65,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_effective_dates_002,What school years or effective dates does the document cover?,"July 1, 2007 through June 30, 2010","The provisions of this Agreement shall be effective as of July 1, 2007, unless otherwise indicated within this Agreement, and will continue in full force and effect until June 30, 2010""",40,high,,,,,,,"July 1, 2007 through June 30, 2010","""July 1, 2007 through June 30, 2010""",4,high,,,,,,,
9173280934ef634a,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_bargaining_unit_003,Which employee group or bargaining unit is covered?,"Full-time classroom teachers and related certificated/licensed staff (specialists, counselors, psychologists, librarians, instructional coordinators, social workers, assistant principals)","""All full-time classroom teachers, including teachers of art, music, physical education, the learning disabled, licensed/or certified speech and language specialists/pathologists, hearing specialists, licensed occupational therapists, reading/math supervisors, Elementary Teaching Assistant Principals, Guidance Counselors, School Psychologists, Librarians/Media Specialists, Building Level Instructional Coordinators, Student Assistant Coordinators, Certified Social Workers""",4,high,,yes,yes,yes,no,no,"certificated or licensed employees, including full-time classroom teachers, specialists, counselors, and librarians","the Board recognizes the Association as the bargaining representative of the following certificated or licensed employees of the School System of Manchester. All full-time classroom teachers, including teachers of art, music, physical education, the learning disabled, licensed/or certified speech and language specialists/pathologists, hearing specialists, licensed occupational therapists, reading/math supervisors, Elementary Teaching Assistant Principals, Guidance Counselors, School Psychologists, Librarians/Media Specialists, Building Level Instructional Coordinators, Student Assistant Coordinators, Certified Social Workers, and permanent replacements or permanent additions hired pursuant to the first paragraph of Article Nine, Section A.4.",5,high,,yes,yes,yes,yes,yes,"Article One (RECOGNITION) recognizes the Association for ""the following certificated or licensed employees"" and enumerates ""All full-time classroom teachers, including teachers of art, music, physical education, ... Certified Social Workers, and permanent replacements or permanent additions...""; both quotes are verbatim contiguous text and both answers describe the covered unit correctly. That clause sits on PDF page 5 (confirmed with pdftotext -f 5), whose printed footer reads ""4"" -- printed page = PDF page - 1 through this part of the document. B's page 5 is right; A's page 4 is the printed footer, not the PDF page, so A fails on page only. Minor imprecision in A's summary: the document includes only ""Elementary Teaching Assistant Principals"" and ""Certified Social Workers"" while excluding ""all administrative personnel"" and plain ""social workers,"" but this was not enough to fail the value."
53183354713b808d,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_document_scope_004,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,"""The Board and the Association enter into this Agreement with mutual dedication, recognizing that the experience, creativity and judgment of all parties are necessary to reach the educational needs of the community. The Manchester Board of School Committee (referred to hereinafter as the 'Board') and the Manchester Education Association (referred to hereinafter as the 'Association') agree as follows:""",4,high,,,,,,,binding agreement,"""This Agreement constitutes Board policy for the term of said Agreement, and the Board will carry out the commitments contained herein and give them full force and effect as Board policy.""",39,high,,,,,,,
d37ee28d0bbb8003,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_text_usability_005,Is the PDF text extractable enough for reliable coding?,usable,"The Board of School Committee of the City of Manchester School District, New Hampshire, hereby agrees to employ , who hereby agrees to serve, under the direction of the Superintendent of Schools as a teacher in the public schools of said School District, beginning , provided all pre-employment medical examinations and criminal/background checks have been satisfactorily completed.",44,high,,,,,,,usable,,not_applicable,high,[derived from native text extraction],,,,,,
b43b41ba177143ba,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_cites_state_law_006,"Does the document cite any state laws, statutes, or administrative codes?",yes,"""R.S.A.189: 14-a""",30,high,,,,,,,yes,"""managerial policies referred to in RSA 273-A:1, XI""",5,high,,,,,,,
1c4a738018f17854,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_state_law_citations_007,Quote all sentences citing state laws or statutes.,"The parties agree, in the interest of good faith effort to reach agreement, to negotiate on wages, hours and conditions of employment, other than those managerial policies referred to in RSA 273-A:1, XI, which are the exclusive prerogative of the Board.","The parties agree, in the interest of good faith effort to reach agreement, to negotiate on wages, hours and conditions of employment, other than those managerial policies referred to in RSA 273-A:1, XI, which are the exclusive prerogative of the Board.",5,high,,yes,no,yes,no,no,not_discussed,,not_applicable,low,[grounding failure: evidence is absent from cited passage],no,no,no,no,no,"The question asks for all sentences citing state law, and this contract has at least five distinct ones: Article Two A.1 ""managerial policies referred to in RSA 273-A:1, XI"" (PDF p. 6); Article Twenty sick-leave-bank ""as set forth in New Hampshire R.S.A.189: 14-a ... rights under R.S.A. Chapter 189 or any other provisions of the Revised Statutes Annotated"" (PDF p. 30); the parallel Article Twenty-Two E.4 sentence (PDF p. 33); Article Twenty-Five arbitration ""appeal to the New Hampshire Superior Court under the provision of Revised Statutes Annotated, Chapter 542, as amended ... subject to the provisions of New Hampshire Revised Statutes Annotated, Chapter 542"" (PDF p. 38); and Appendix C ""subject to ... the Statutes of the State of New Hampshire"" (PDF p. 45). A's quote is verbatim but captures only the RSA 273-A citation, so the value is materially incomplete, and its page 5 is the printed footer of PDF page 6 (offset of one). B's not_discussed is plainly wrong; searches for ""RSA statute"", ""Revised Statutes Annotated"", ""New Hampshire law"", plus regex sweeps for statute/Chapter/Act/state law over all 54 pages all return hits, so the derived value/evidence/page fields are scored no rather than na because the absence claim is incorrect. Both candidates are wrong."
34ddfa49e1e666e1,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_cites_federal_law_008,"Quote all sentences citing federal laws, statutes, or regulations.","The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations. The Plans will be maintained for the benefit of the members of the bargaining unit as long as they are approved by the Internal Revenue Service and in compliance with applicable Federal laws and regulations.","The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations. The Plans will be maintained for the benefit of the members of the bargaining unit as long as they are approved by the Internal Revenue Service and in compliance with applicable Federal laws and regulations.",11,high,,yes,no,yes,yes,no,"The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations.","The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations.",10,high,,yes,no,yes,no,no,"Article Five I. reads ""The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations. The Plans will be maintained ... as long as they are approved by the Internal Revenue Service and in compliance with applicable Federal laws and regulations."" Confirmed verbatim on PDF page 11 (pdftotext -f 11), printed footer ""10"", so A's page 11 is right and B's page 10 is the printed footer (offset of one). Both values are incomplete for a ""quote all sentences"" question: neither includes Article Twenty-Two's ""NOTE: The parties agree to execute a memorandum of understanding agreeing to accept the Board's policy regarding FMLA leave..."" (PDF p. 34), the document's only named federal statute; B additionally drops the second half of the Article Five I. paragraph, the clause that actually invokes the IRS and ""applicable Federal laws and regulations."" Both candidates are therefore wrong, though A is materially closer (right page, full paragraph)."
f2a06ff62a19af21,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,meta_federal_law_citations_009,Which federal laws or statutes are cited?,None specifically cited; refers generally to 'current federal laws and regulations'.,"The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations.",10,high,,yes,no,yes,no,no,not_discussed,,not_applicable,high,,no,no,no,no,no,"Federal law is referenced in this contract, so B's not_discussed is wrong: Article Five I. ""in accordance with current federal laws and regulations ... approved by the Internal Revenue Service and in compliance with applicable Federal laws and regulations"" (PDF p. 11), and Article Twenty-Two's ""NOTE: The parties agree to execute a memorandum of understanding agreeing to accept the Board's policy regarding FMLA leave"" (PDF p. 34). Searches for ""federal laws regulations"", ""Internal Revenue Service"", ""FMLA Family Medical Leave"", plus regex sweeps for federal/U.S.C./Title VII/COBRA/ERISA/Section 125 across all 54 pages confirm the topic is present, so B's derived fields are scored no rather than na. A's quote is verbatim but its answer ""None specifically cited"" misses FMLA, a named federal statute, and its page 10 is the printed footer of PDF page 11 (offset of one). Both candidates are wrong."
381dce107a8a9a8e,manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,pay_salary_schedule_001,Does the document include a teacher salary schedule or salary scale?,yes,"""The salaries of all teachers are set forth in Appendix B which is attached hereto and made a part hereof.""",8,high,,,,,,,yes,The salaries of all teachers are set forth in Appendix B which is attached hereto and made a part hereof.,7,high,,,,,,,
