document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Code CBA,AGREEMENT between the PORTLAND BOARD OF EDUCATION OF THE CITY OF PORTLAND and the PORTLAND EDUCATION ASSOCIATION,1,high,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"August 26, 2019 to August 25, 2022","August 26, 2019 to August 25, 2022",1,high,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Social workers and all certificated employees (excluding non-represented administrative personnel and other non-represented personnel),"a unit consisting of all social workers employed by the Board and all certificated employees including soft money employees of the Portland School System, excluding certificated, non-represented administrative personnel, and other non-represented personnel",1,high,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,AGREEMENT between the PORTLAND BOARD OF EDUCATION OF THE CITY OF PORTLAND and the PORTLAND EDUCATION ASSOCIATION,1,high,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,The Board recognizes the Association for purposes of collective negotiation as the exclusive representative of a unit consisting of all social workers,1,high,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,20-A M.R.S.A. §13202,3,high,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The Board may dismiss or non-renew an educator who, although possessed of the requisite certificate, proves unfit to teach or whose services the Board deems unprofitable to the school system within the meaning of 20-A M.R.S.A. §13202. Nothing contained herein shall be construed to deny or restrict any rights an educator may have under the statutes of the State of Maine. Nor shall anything contained herein be construed to deny or restrict rights granted to the Board under the statutes of the State of Maine or the Charter of the City of Portland.","The Board may dismiss or non-renew an educator who, although possessed of the requisite certificate, proves unfit to teach or whose services the Board deems unprofitable to the school system within the meaning of 20-A M.R.S.A. §13202. Nothing contained herein shall be construed to deny or restrict any rights an educator may have under the statutes of the State of Maine. Nor shall anything contained herein be construed to deny or restrict rights granted to the Board under the statutes of the State of Maine or the Charter of the City of Portland.","3, 8",high,Updated evidence to the full quoted sentences for completeness and direct support.
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","The Association may use the inter-school mail and delivery system provided that the Association agrees to hold the Board harmless pertaining to the Association's obligation to comply with the U.S. Postal Service rules and regulations concerning such use.
Other than during the Election Period, benefit elections may not be changed unless the employee has a change of family status or other event, which permits an election change under the Internal Revenue Code.
Reimbursements from medical reimbursement accounts will be governed by the Internal Revenue Code and the Portland School Department Medical Care Reimbursement Plan.
Reimbursements from dependent care reimbursement accounts will be governed by the Internal Revenue Code and the Portland School Department Dependent Care Assistance Plan.","The Association may use the inter-school mail and delivery system provided that the Association agrees to hold the Board harmless pertaining to the Association's obligation to comply with the U.S. Postal Service rules and regulations concerning such use.
Other than during the Election Period, benefit elections may not be changed unless the employee has a change of family status or other event, which permits an election change under the Internal Revenue Code.
Reimbursements from medical reimbursement accounts will be governed by the Internal Revenue Code and the Portland School Department Medical Care Reimbursement Plan.
Reimbursements from dependent care reimbursement accounts will be governed by the Internal Revenue Code and the Portland School Department Dependent Care Assistance Plan.","9, 12",high,
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Family and Medical Leave Act,Family and Medical Leave Act,31,high,"Document text provided is truncated at page 10, but the verbatim evidence quote genuinely supports the answer. Preserved per instructions."
portland_public_schools_me__pea_contract_2019_2022_teachers__693d0a32,PEA_Contract_2019-2022_(Teachers).pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes. Schedule title: Professional Learning Based Salary Scale / Experience Based Salary Schedule. Covered employee group: All educators covered by this Agreement. Page/appendix: Appendix A. Covered year: Not specified in this section.,The salaries of all educators covered by this Agreement are set forth in Appendix A which is attached hereto and made a part hereof.,17,high,
