document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
burlington_school_district__69__603e812d,69.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,"This Agreement entered into by and between the Burlington Board of School Commissioners, hereinafter called the ""Board"" and the Burlington Education Association Inc.",1,high,
burlington_school_district__69__603e812d,69.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"September 1, 2006 – August 31, 2009","2.1 This agreement shall be effective as of September 1, 2006 and shall continue in full force and effect until twelve o'clock midnight on August 31, 2009",3,high,
burlington_school_district__69__603e812d,69.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"All professional employees (teachers), excluding administrators and all other employees","1.1 The Board recognizes the Association as the sole and exclusive representative for collective bargaining purposes concerning the terms and conditions of employment and other matters of mutual concern for all professional employees of the Board subject to representation under Chapter 57 of 16 V.S.A., as amended, (Labor Relations for Teachers), but excluding administrators and all other employees.",2,high,
burlington_school_district__69__603e812d,69.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding agreement,Said agreement shall then be binding upon the parties for its duration.,5,high,
burlington_school_district__69__603e812d,69.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"This Agreement entered into by and between the Burlington Board of School Commissioners, hereinafter called the ""Board"" and the Burlington Education Association Inc.",1,high,Updated evidence quote to match exact text on page 1; original quote contained a placeholder/typo.
burlington_school_district__69__603e812d,69.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"Chapter 57 of 16 V.S.A., as amended, (Labor Relations for Teachers)",2,high,
burlington_school_district__69__603e812d,69.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"1.1 The Board recognizes the Association as the sole and exclusive representative for collective bargaining purposes concerning the terms and conditions of employment and other matters of mutual concern for all professional employees of the Board subject to representation under Chapter 57 of 16 V.S.A., as amended, (Labor Relations for Teachers), but excluding administrators and all other employees.

4.18 In accordance with 12 VSA §5652(b), the Board and the Association understand that this Agreement contains an agreement to arbitrate.","1.1 The Board recognizes the Association as the sole and exclusive representative for collective bargaining purposes concerning the terms and conditions of employment and other matters of mutual concern for all professional employees of the Board subject to representation under Chapter 57 of 16 V.S.A., as amended, (Labor Relations for Teachers), but excluding administrators and all other employees.

4.18 In accordance with 12 VSA §5652(b), the Board and the Association understand that this Agreement contains an agreement to arbitrate.","2, 8",high,
burlington_school_district__69__603e812d,69.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.",The School District Administration shall make reasonable efforts to schedule conferences which result from the implementation of Federal Special Education and 504 Regulations during the school day and to provide a substitute for each teacher involved.,The School District Administration shall make reasonable efforts to schedule conferences which result from the implementation of Federal Special Education and 504 Regulations during the school day and to provide a substitute for each teacher involved.,16,high,
burlington_school_district__69__603e812d,69.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Federal Special Education and 504 Regulations,The School District Administration shall make reasonable efforts to schedule conferences which result from the implementation of Federal Special Education and 504 Regulations during the school day and to provide a substitute for each teacher involved.,16,high,
burlington_school_district__69__603e812d,69.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,"The basic salaries of teachers covered by this Agreement shall be determined by the Salary Indices and Salary Schedules set forth in Appendices A-l and A-2, which are attached to and incorporated in this Agreement.",35,high,
burlington_school_district__69__603e812d,69.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2006-2009,"Appendices A-1 and A-2, regarding Salary Indices and Salary Schedules, 2006 -2009 will remain in effect for the 2006-2007, 2007-2008, and 2008-2009, school years respectively.",36,high,
burlington_school_district__69__603e812d,69.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,"At the beginning of each school year during the term of this Agreement or any extension hereof, all teachers employed by the Board during the previous school year will be placed on the next higher step in the appropriate schedule upon recommendation of the principal and Superintendent and concurrence by the Board. Increments are not automatic but will not be withheld arbitrarily or capriciously.",35,high,Corrected page number from 36 to 35 based on document layout.
burlington_school_district__69__603e812d,69.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"Step placement will be equal to the number of full years of teaching experience in any school district in the State of Vermont or for teaching experience in a school district accredited by an appropriate accrediting authority of another state, this may include, in appropriate cases, recognized and accredited experience teaching on behalf of such federal agencies as the Peace Corp., the Department of Defense and the Department of State.",35,high,
burlington_school_district__69__603e812d,69.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",not_discussed,,not_applicable,high,
burlington_school_district__69__603e812d,69.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_applicable,high,
burlington_school_district__69__603e812d,69.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,"4.63% (2006-07), 4.40% (2007-08), 4.20% (2008-09)","For the 2006-07 school year, salaries are increased by approximately 4.63% new dollars based on the 2005-06 teachers’ salary cost of $19,304,540. For the 2007-08 school year, salaries are increased by approximately 4.40% new dollars. For the 2008-09 school year, salaries are increased by approximately 4.20% new dollars",35,high,
burlington_school_district__69__603e812d,69.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,Teacher participation in extracurricular activities will be strictly voluntary and teachers will be compensated for all such participation in accordance with the provisions of Appendix B of the Agreement.,13,high,
burlington_school_district__69__603e812d,69.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",yes,"In the Special Education department, the Lead Teacher will either have a reduced caseload or will be paid a stipend determined by the Administration.",13,high,
burlington_school_district__69__603e812d,69.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",not_discussed,,not_discussed,high,
burlington_school_district__69__603e812d,69.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",not_discussed,,not_discussed,high,
burlington_school_district__69__603e812d,69.pdf,pay_hardtostaff_schools_012,compensation,"Does the document provide incentives specifically for teaching in hard-to-staff, high-need, Title I, or priority schools, regardless of subject?",not_discussed,,not_discussed,high,
burlington_school_district__69__603e812d,69.pdf,pay_experience_credit_indistrict_013,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,yes,"new teachers in the bargaining unit will be placed at the step where teachers with equivalent experience who worked in the Burlington School District the prior year are placed. For example, a newly hired teacher with three (3) years of experience employed for 2003-04 school year will be placed at Step 3.",35,high,
burlington_school_district__69__603e812d,69.pdf,pay_experience_credit_outofdistrict_014,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,yes,Step placement will be equal to the number of full years of teaching experience in any school district in the State of Vermont or for teaching experience in a school district accredited by an appropriate accrediting authority of another state...,35,high,"Revised from not_discussed to yes. The document explicitly addresses out-of-district, in-state experience in Section 18.4."
burlington_school_district__69__603e812d,69.pdf,pay_experience_credit_outofstate_015,compensation,Does the document specify how out-of-state teaching experience is credited for salary placement?,yes,...teaching experience in a school district accredited by an appropriate accrediting authority of another state...,35,high,
