document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Collective Bargaining Agreement (CBA),AGREEMENT between the BOARD OF SCHOOL COMMISSIONERS OF THE CITY OF INDIANAPOLIS and the INDIANAPOLIS EDUCATION ASSOCIATION,1,high,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2014 through June 30, 2015","This Agreement shall be effective as of July 1, 2014, and shall continue in effect through June 30, 2015.",24,high,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Licensed contractual employees (teachers, social workers, guidance counselors, school psychologists, nurses, speech and language pathologists, teachers on special assignment, lead teachers, instructional coaches, and media specialists)","The Board recognizes the Association as the sole and exclusive bargaining representative for all licensed contractual employees of the Board including licensed teachers, social workers, guidance counselors, school psychologists, nurses, speech and language pathologists, teachers on special assignment, lead teachers, instructional coaches, and media specialists, hereinafter the Negotiating Unit",1,high,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding agreement,"This Agreement is entered into, by and between the Board of School Commissioners of the City of Indianapolis, Indiana... and the Indianapolis Education Association",1,high,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"The document text is fully legible, well-structured, and contains clear headings and article sections without formatting or OCR artifacts.",not_applicable,high,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"pursuant to I.C. 20-28-9-1, a teacher who completed a qualifying degree program... providing the applicant meets the requirements of I.C. 5-10-8-2.6(e).","9, 16",high,Updated evidence to verbatim quotes from the document and adjusted page numbers to reflect both citations.
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"Eligibility for continuing in the insurance programs listed in this Article shall be available to those teachers who retire prior to becoming eligible to obtain coverage under Medicare, providing the applicant meets the requirements of I.C. 5-10-8-2.6(e).
There shall be no “step” or “increment” increase and no “lane” change increase based on a teacher having earned additional academia credits, except that pursuant to I.C. 20-28-9-1, a teacher who completed a qualifying degree program and started course work on that degree before July 1, 2011, and completed the degree before September 2, 2014, shall be entitled to the increase in base salary that the same teacher would have received for completing that same degree during the 2013-2014 school year.",I.C. 5-10-8-2.6(e); I.C. 20-28-9-1,"16, 9",high,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","If a teacher takes a leave under the Family and Medical Leave Act to care for a child, parent or spouse, then the teacher, upon request, can use up to an additional 140 accumulated sick hours concurrently with FMLA.
Under certain circumstances a teacher may be required or permitted to utilize other paid leave provided by this Agreement concurrently with Family and Medical Leave Act (“FMLA”) leave, which could result in the teacher receiving pay for some or all of the time the teacher is on FMLA leave.
The Association and the Board agree to continue the current Section 125 plan, which allows for funding of certain insurance, health care, non-reimbursed medical and dependent care expenses as permitted by Section 125 of the Internal Revenue Code.",Family and Medical Leave Act; Section 125 of the Internal Revenue Code,"4, 16",high,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"Family and Medical Leave Act (FMLA), Section 125 of the Internal Revenue Code",Family and Medical Leave Act; Section 125 of the Internal Revenue Code,"4, 16",high,
indianapolis_public_schools__indianapolis_cba_14_15__c1fa04a7,Indianapolis_CBA_14-15.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,SCHEDULE A 2014-2015 Salary Schedule,not_applicable,high,
