document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Code CBA,HILLSBOROUGH CLASSROOM TEACHERS ASSOCIATION and SCHOOL BOARD OF HILLSBOROUGH COUNTY CONTRACT 2013-2016,1,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2013-2016,CONTRACT 2013-2016,1,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Classroom teachers, guidance counselors, Head Start teachers, Speech Language Pathologists, Adult Education teachers, Pre-K teachers, District Resource teachers, pupil personnel, curriculum coordinators, team leaders, department heads, vocational teachers, occupational specialists, media specialists, teachers of the homebound, teachers of the migrants, case workers, diagnosticians, psychologists, ROTC instructors, and any other position on the 'Instructional Represented Positions' salary schedule","The School Board of Hillsborough County (hereinafter referred to as the Board) hereby recognizes the Hillsborough Classroom Teachers Association (hereinafter referred to as the Association) and agrees that the Association shall be the exclusive bargaining agent for classroom teachers, guidance counselors, Head Start teachers, Speech Language Pathologists, Adult Education teachers, Pre-K teachers, District Resource teachers, pupil personnel (exceptional child, social workers), curriculum coordinators, team leaders, department heads, vocational teachers, occupational specialists, media specialists, teachers of the homebound, teachers of the migrants, case workers, diagnosticians, psychologists, ROTC instructors, hereafter referred to as teachers, and any other position identified on the district salary schedule under “Instructional Represented Positions.”",2,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding agreement,"The School Board/Association contract shall be the document, which governs wages and hours, terms and conditions of employment for employees in the unit. Any policy, procedure, guideline or administrative directive in conflict with said contract shall be considered null and void.",2,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,HILLSBOROUGH CLASSROOM TEACHERS ASSOCIATION and SCHOOL BOARD OF HILLSBOROUGH COUNTY CONTRACT 2013-2016,1,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"implementation of the provisions of FS 447.100, consistent with the constitutional authority and responsibility of the School Board of Hillsborough County and the statutes of the State of Florida and the amendments thereto and insofar as applicable, the Administrative rules of the Department of Education 6A and amendments thereof,",1,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"- WHEREAS, it is intended that the following Agreement shall be an implementation of the provisions of FS 447.100, consistent with the constitutional authority and responsibility of the School Board of Hillsborough County and the statutes of the State of Florida and the amendments thereto and insofar as applicable, the Administrative rules of the Department of Education 6A and amendments thereof,
- This agreement is made and entered into pursuant to the provisions of negotiation statutes governing public school teachers, FS 447.100, by and between the School Board of Hillsborough County herein referred to as the Board, and the Hillsborough Classroom Teachers Association, herein referred to as the Association.
- Upon conclusion of negotiations, the respective parties shall implement the ratification process as outlined under the applicable provisions of PERC Rule Chapter 38D-20.
- In the event of a declaration of impasse, all applicable provisions of FS 447 and PERC Rule Chapter 38D-19 shall be implemented.
- Organization rights pursuant to the provisions of Chapter 447.09 are granted to the certified exclusive bargaining agent, the Hillsborough Classroom Teachers Association, and such rights shall not be granted to any other association, union or employee organization.
- Accrued vacation will be paid out at the time of termination in accordance with normal payroll schedules and subject to the payout limitations under state statutes.","WHEREAS, it is intended that the following Agreement shall be an implementation of the provisions of FS 447.100, consistent with the constitutional authority and responsibility of the School Board of Hillsborough County and the statutes of the State of Florida and the amendments thereto and insofar as applicable, the Administrative rules of the Department of Education 6A and amendments thereof,",1,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.",Non-tenured Probationary teachers’ entitlement to health and family care leaves shall be limited to that provided under the Family Medical Leave Act (FMLA).,Non-tenured Probationary teachers’ entitlement to health and family care leaves shall be limited to that provided under the Family Medical Leave Act (FMLA).,67,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Family Medical Leave Act (FMLA),Non-tenured Probationary teachers’ entitlement to health and family care leaves shall be limited to that provided under the Family Medical Leave Act (FMLA).,67,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,no,any other position identified on the district salary schedule under “Instructional Represented Positions.”,2,high,[recall-recovery]
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,not_discussed,,not_applicable,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,A teacher receiving an overall satisfactory evaluation shall be eligible for a salary increase in the year following his/her overall satisfactory evaluation subject to negotiations between the School District of Hillsborough County and the Hillsborough Classroom Teachers Association.,90,high,[cross-question]
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"17.3.3 Teachers employed after July 1, 1981, shall be allowed up to seven years credit for previous experience in public or private schools and colleges, provided they were employed in full-time teaching positions and held at least a four year college degree during the period of employment. 17.3.4 Any person who left a teaching position to serve in the Armed Forces of the United States during a national emergency or in the Peace Corps; and had, at the time of his entering the service or the Peace Corps, a bachelor’s degree, may receive full experience credit up to five years or for the duration of the emergency. 17.4.2 The combined total of work and teaching experience cannot exceed seven years.","78, 79",high,[recall-recovery]
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",yes,"All tenured, non-probationary instructional personnel who are evaluated under a new rubric pursuant to the Empowering Effective Teachers Project (EET) will automatically be considered for performance pay under the district’s Instructional Pay for Performance Plan.",91,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,"Eligibility is determined by the final teacher evaluation score (including all written components) and value added measurement (VAM), with bonuses awarded to those rated as highly effective.","Eligibility for performance pay will be determined by the final teacher evaluation score, including all written components, as well as the value added measurement (VAM). Bonuses will be awarded beginning with the highest evaluation score and will continue to be awarded until all funds are exhausted to all teachers rated as highly effective.",91,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,not_discussed,,not_discussed,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,"19.1.2 Group I Supplements shall include Department Heads, Head Counselors, Head Football Coach, Head Volleyball Coach, Head Basketball Coach (Boys and Girls), Head Baseball Coach, Head Softball Coach, Head Track Coach (Boys and Girls), Head Wrestling Coach, Head Soccer Coach (Boys and Girls), Head Swimming Coach (Boys and Girls), Head Flag Football, Head Lacrosse (Boys and Girls), Varsity Cheerleader Coach, Dancerette Coach, Business Manager, Band Director, Choral Director, Orchestra Director and Subject Area Leader (Middle school). 19.1.3 Group II Supplements shall include Yearbook Sponsor, Newspaper Sponsor, Majorette Sponsor, Drama Director, Middle School Team Leader, Elementary School Team Leader, ESE Specialist, and Elementary Safety Patrol Coordinator. 19.1.4 Group III Supplements shall include all supplemented positions not specifically included in Groups I and II.",82,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",yes,19.1.3 A. Group II supplemented positions shall include... ESE Specialist...,84,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",not_discussed,,not_discussed,high,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",yes,"Highly qualified teachers, as defined by state and federal statute, who teach in Renaissance Schools, as defined by percent of students on free and reduced lunch (Elementary - 90% or above; Middle - 85% or above; High - 75% or above) shall be paid a salary differential of 5% of their base salary with one or more years of verified teaching experience; or 2% of their base salary with no prior teaching experience. Tier 2 salary differential pay will be paid to all eligible instructional personnel at schools that meet prior year school performance goals.",90,high,Corrected page number from 91 to 90 to match the document layout where section 21.4.7 appears. [cross-question]
