document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Code CBA,"Contract between The School Board of Orange County, Florida And The Orange County Classroom Teachers Association",1,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"2021-24 Contract, 2023-24 Edition","2021-24 Contract 2023-24 Edition Ratified April 1, 2024",1,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"All certified non-administrative personnel including teachers, teachers-countywide, teachers-exceptional, teachers-gifted, speech therapists, teachers-specific learning disabilities, teachers-adult full-time, guidance personnel, occupational specialists, teachers-adult basic education, librarians/media specialists, deans, department chairpersons, compensatory education teachers, registered nurses, social workers, adjuncts/technical adult, and school psychologists.","All certified non-administrative personnel including the following: teachers, teachers-countywide, teachers-exceptional, teachers-gifted, speech therapists, teachers-specific learning disabilities, teachers-adult full-time, guidance personnel, occupational specialists, teachers-adult basic education, librarians/media specialists, deans, department chairpersons and compensatory education teachers, registered nurses, social workers, adjuncts/technical adult, and school psychologists.",3,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,"The agreements in this Contract shall supersede any rules, regulations, or practices of the Board which are contrary to or inconsistent with the terms recorded herein.",4,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"Contract between The School Board of Orange County, Florida And The Orange County Classroom Teachers Association",1,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"pursuant to the provisions of Chapter 447, Florida Statutes",3,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The Board hereby recognizes and acknowledges the Orange County Classroom Teachers Association, Inc., as the exclusive bargaining agent and agrees to negotiate with the Association’s designated representative pursuant to the provisions of Chapter 447, Florida Statutes, for all certified non-administrative personnel as defined herein including employees on Board-approved leave of absence.
The Association acknowledges and recognizes the School Board of Orange County, Florida, as the duly elected representative of the people of Orange County, Florida, and agrees to negotiate with the Chief Executive Officer or his representative pursuant to the provisions of Chapter 447, Florida Statutes.
The parties agreed to implement a Collective Bargaining Process in accordance with Chapter 447, Florida Statutes and any appropriate rules and procedures.
If negotiations reach impasse, the procedures as set forth in the Florida Statutes and/or the rules of the Public Employees Relations Commission shall be followed.
The Board shall assure the grievant and any witnesses freedom from restraint, interference, coercion, discrimination or reprisal in the processing of a grievance in accordance with Florida Statute.
The Board shall provide the Association access to public records not exempted by Florida Statutes at mutually agreeable times and with a staff member present.","The Board hereby recognizes and acknowledges the Orange County Classroom Teachers Association, Inc., as the exclusive bargaining agent and agrees to negotiate with the Association’s designated representative pursuant to the provisions of Chapter 447, Florida Statutes, for all certified non-administrative personnel as defined herein including employees on Board-approved leave of absence.
The Association acknowledges and recognizes the School Board of Orange County, Florida, as the duly elected representative of the people of Orange County, Florida, and agrees to negotiate with the Chief Executive Officer or his representative pursuant to the provisions of Chapter 447, Florida Statutes.
The parties agreed to implement a Collective Bargaining Process in accordance with Chapter 447, Florida Statutes and any appropriate rules and procedures.
If negotiations reach impasse, the procedures as set forth in the Florida Statutes and/or the rules of the Public Employees Relations Commission shall be followed.
The Board shall assure the grievant and any witnesses freedom from restraint, interference, coercion, discrimination or reprisal in the processing of a grievance in accordance with Florida Statute.
The Board shall provide the Association access to public records not exempted by Florida Statutes at mutually agreeable times and with a staff member present.","3, 4, 8, 17",high,"Updated evidence to include all six sentences cited in the Stage 1 answer. The original evidence field only contained the first quote, but the question requires quoting all sentences citing state laws/statutes. All sentences are verified in the document."
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","If the employee’s condition is one that should be considered under provisions of the Americans with Disabilities Act (ADA), the employee will be directed to apply for an ADA accommodation with the District’s EEO/ADA Coordinator in lieu of a hardship transfer.","If the employee’s condition is one that should be considered under provisions of the Americans with Disabilities Act (ADA), the employee will be directed to apply for an ADA accommodation with the District’s EEO/ADA Coordinator in lieu of a hardship transfer.",40,high,"Kept Stage 1 evidence and answer. The appended document text was truncated before page 40, but the verbatim quote provided by Stage 1 directly supports the answer per audit instructions."
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Americans with Disabilities Act (ADA),Americans with Disabilities Act (ADA),40,high,No changes. Answer and evidence align with Stage 1 and correctly identify the cited federal law.
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,"Salaries shall be as set forth in Appendix A, which is incorporated into, and hereby made a part of this Contract and shall be retroactive to the first duty day of the current school year.",71,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2023-24,"For school year 2023-24, there will be no retroactive pay for any teacher who leaves the district prior to final ratification.",71,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,There will be a cost of living adjustment of 2% for all personnel regardless of instructional practice score. Teachers with a summative performance rating of Effective shall receive an additional 5.75%... Teachers with a summative performance rating of Highly Effective shall receive an additional 7.7%.,71,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,Credit shall be given for each year of full-time public school teaching service earned in the state of Florida which is verified by previous employer(s). Experience credit shall be reviewed and pay shall be based on what similar teachers with the same amount of experience credit are compensated.,76,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",yes,Teachers with a summative performance rating of Effective shall receive an additional 5.75% Teachers with a summative performance rating of Highly Effective shall receive an additional 7.7%.,71,high,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,"Performance pay eligibility is determined by a Summative Evaluation score, which is calculated by combining finalized Student Growth scores and the Instructional Practice score after district verification and completion of local student learning growth model calculations.","Raises based on performance shall be paid after the Student Growth scores have been finalized and combined with the Instructional Practice score to create the Summative Evaluation score. This will occur after all assessment scores used in the calculation of local student learning growth models are received by the district, verified, and final calculations completed.",71,high,
