question_id,gold_status,required,optional,gold_pages,provision
benefits_disability_009,not_discussed,,,,"No disability coverage of any kind. The only benefit clauses are Section C Health Care Benefits and Section D Retirement Issues (p.4). Searched: ""disability / short-term / long-term / income protection"" (0 hits); ""illness / injury / sick / sabbatical"" (0 hits); ""insurance"" (3 hits, all health care or post-retirement health care); semantic ""short term and long term disability income protection"" (best hit 0.62 = the retirement paragraph)."
benefits_health_plan_type_005,discussed_unclear,,medical insurance;health care benefits,4,"Section C (p.4) says only that ""All current health care benefits provided in the teachers medical insurance continue for the term of this tentative agreement without new cost to the employee or reduction or interruption of benefits""; p.1 summary says ""Full health care insurance with no new increases."" No plan type is named anywhere — zero hits for HMO, PPO, POS, high-deductible, self-insured, or any carrier or plan name. An answer of ""not_discussed"" or ""no plan type named"" is equally defensible."
class_elementary_max_002,not_discussed,,,,"No elementary (or any regular-classroom) class-size maximum or target. Searched: ""class size / class-size / pupil / enrollment cap / maximum / ratio""; ""K-3 / elementary / grade / roster / students per teacher""; semantic ""maximum number of students per class in elementary grades"" (best hit 0.69, an unrelated VIEW pay table). Nearest text is the PRC advisory cap on p.13 — ""Each cohort subgroup shall have a maximum of twenty (20) students per PRC teacher"" — which is a 9th/10th-grade high-school advisory group, not an elementary class-size limit."
class_overage_remedy_004,not_discussed,,,,"No class-size limits exist in this document, so no overage remedy. Searched: ""overage / overload / exceed / excess / waiver""; ""aide / paraprofessional assistance / additional compensation for extra students""; semantic ""remedy when a class exceeds the class size limit"" (best hit 0.63, unrelated). The only per-student-load payments are the Enrichment Period stipends for teaching extra classes (p.8), which are not an overage remedy."
conduct_acceptable_use_006,not_discussed,,,,"No acceptable-use, technology, internet, email or network rules. Searched: ""acceptable use / internet / email / e-mail / computer / network / district equipment"" (0 hits); ""technology"" (1 hit, p.7, ""Instructional Technology Recommendation for a Career Ladder Position"" as a VIEW pay menu item); semantic ""use of district computers internet and email"" (best hit 0.55, unrelated). Section R (p.12) discusses ePay payroll stubs, which is not an employee technology-use rule."
conduct_ethics_002,not_discussed,,,,"No code of ethics, standards of conduct or professional-responsibility rules. Searched: ""ethics / ethical / code of conduct / standards of conduct / professional responsibility"" (0 hits); ""conduct"" (1 hit, p.12, ""peer review ... will be conducted""); ""discipline"" (1 hit, p.15, LES service on a school ""Discipline Committee"", i.e. student discipline); semantic ""code of ethics and standards of professional conduct for employees"" (best hit 0.60, the VIEW pay menu). The heading ""EXTENSIONS OF PROFESSIONALISM"" (p.8) is a VIEW bonus category, not a conduct code."
discipline_just_cause_001,not_discussed,,,,"No just-cause or cause standard for discipline. Searched: ""just cause / proper cause / cause"" — ""cause"" appears 5 times only as a verb (""may not cause an existing teacher to be displaced""); ""discipline / suspension / reprimand / warning / grievance / arbitration"" (0 relevant hits); semantic ""teacher may be dismissed or discharged only for just cause"" (best hit 0.54, the Turnaround Teacher seniority paragraph). Section T (p.33) continues all other articles of the 2007-2010 CBA in effect but does not restate any discipline standard."
discipline_dismissal_002,not_discussed,,,,"No dismissal, termination, discharge or non-renewal procedure. Searched: ""dismiss / terminate / discharge / non-renewal / cancellation / hearing / notice of charges"" — ""dismiss"", ""discharge"" and ""hearing"" get 0 hits and ""termin-"" hits are all ""determine(d)""; semantic ""termination and dismissal hearing procedures"" (best hit 0.60, unrelated). The document does contain reduction-in-force, furlough and displacement language (pp.10-11) and consequences of an unsatisfactory rating (loss of step advancement p.32; removal from a PRC team p.14), but none of that is a dismissal or discharge procedure. Judgement call: a coder who counted RIF/furlough as ""termination"" would answer yes."
evaluation_observation_count_003,not_discussed,,,,"Evaluation is discussed at length but no number of formal observations is ever stated. Relevant text: RISE Rubric fifth Career Ladder domain and ""formal evaluation process"" (p.9); CRI pre- and post-visit conferences around a six-week immersion (p.11); ITL2 formative and summative evaluation of peers (p.12); ""Redefined Learning Walk Team Visits/Observation Scores"" as a VIEW menu item (p.7). Searched: ""observation / observations / classroom visit / walkthrough / learning walk""; ""formal / informal / announced / unannounced""; ""number of / times per year / annually evaluated""; semantic ""number of formal classroom observations each year"" (best hit 0.73, the VIEW menu table, no count). Fine-grained absence."
evaluation_observation_duration_004,not_discussed,,,,"No observation length or minimum duration. Searched: ""minutes / duration / class period / full period / length of observation"" — the four ""minute"" hits are all the ""7 hour 16 minute"" workday (pp.1, 11, 32); ""period"" hits are Enrichment Periods and duty periods; semantic ""length of a classroom observation in minutes"" (best hit 0.69, unrelated). The only durations attached to evaluation activity are the CRI six-week immersion window (p.11), which is not an observation length."
leave_fmla_012,not_discussed,,,,"No FMLA or family/medical leave rights. Searched: ""FMLA / Family and Medical Leave / serious health condition / 12 weeks"" (0 hits); ""leave"" (1 hit) and ""absence"" (2 hits) only; semantic ""family and medical leave act 12 weeks serious health condition"" (best hit 0.65, a salary-schedule footnote). The sole leave reference is p.13: ""Voluntary or involuntary leaves of absence (LOA) will affect the cohort bonus amount according to the LOA provisions in this agreement"" — a cross-reference to LOA provisions not reproduced here, with no FMLA content."
leave_parental_paid_009,not_discussed,,,,"No paid parental, maternity, paternity, adoption or bonding leave. Searched: ""parental / maternity / paternity / adoption / bonding / childbirth / child rearing / child care leave"" (0 hits); ""family"" (2 hits, both the job title ""Family Services Specialists""); semantic ""paid maternity or child rearing leave"" (best hit 0.62, the table of contents). No leave article at all in this tentative agreement."
meta_cites_federal_law_008,discussed_unclear,,403(b),4,"No federal statute or regulation is named: zero hits for ""federal"", ""U.S.C."", ""CFR"", ""Act"" (as a statute), FMLA, ADA, Title VII/IX, FLSA, USERRA, IDEA. The only arguable citation is Section D.3 (p.4, verified against the scan): ""Effective January 1, 2011, the Board and the PFT will implement an Enhanced TSA Severance Pay plan that utilizes a 403(b) structure to maximize tax savings and flexibility for retirees"" — an Internal Revenue Code section number. ""AYP"" (pp.1, 4, 8) is an NCLB term but is not cited as law. Accept either ""no federal law cited"" or the 403(b) sentence."
meta_cites_state_law_006,no,,PA Department of Education,,"No state statute, code or administrative regulation is cited: zero hits for ""law"", ""statute"", ""Code"" (as in School Code), ""regulation"", ""Commonwealth"", ""Act 93"", ""24 P.S."" The only state reference is p.5: growth ""compared ... to the growth of schools in Pennsylvania as verified annually by the PA Department of Education"" — an agency data source, not a legal citation. Internal cross-references (Article 30 Section 12.c, Article 130 Severance Pay) are to the parties' own 2007-2010 CBA, not to state law."
pay_experience_credit_indistrict_013,not_discussed,,,,"No rule for crediting prior in-district service at initial salary placement. Searched: ""in-district / same district / prior service / continuous service / reinstatement / rehire / former employee""; ""credit / years of experience / initial placement""; semantic ""credit for prior teaching experience salary placement"" (best hits 0.70-0.71, table of contents and unrelated schedules). The one adjacent clause, ""C. Experienced hire placement guidelines"" (p.33), governs ""newly hired teachers, with experience"" and does not address prior PPS service; the ""either in Pittsburgh Public Schools or from another district"" phrase there concerns three years of student-growth measures for level advancement, not initial step placement."
pay_experience_credit_outofstate_015,discussed_unclear,,Salary Schedule Placement Rubric,33,"Career Ladder Salary Schedule guideline C.1 (p.33, verified against the scan): ""The step placement of newly hired teachers, with experience, shall be based upon a Salary Schedule Placement Rubric."" Experienced-hire credit is therefore acknowledged but the rubric is not reproduced, no year-for-year or maximum-credit rule is stated, and out-of-state (or even out-of-district) experience is never distinguished — the nearest is that experienced hires need three years of student-growth measures ""either in Pittsburgh Public Schools or from another district"" before a level advancement. So the topic is touched but the ""how"" is absent."
