document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,1,All permanent part-time employees covered by this Agreement shall receive full insurance benefits.,All permanent part-time employees covered by this Agreement,worker,worker,shall,False,active,rights_active,right,right,True,1.0,benefits,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,1,Leave benefits shall be accumulated on a pro-rata basis.,Leave benefits,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,leave,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,1,Salary benefits shall be calculated on a pro-rata basis related to hours worked.,Salary benefits,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,3,"Any employee elected as an officer of the Union or who is appointed to the Union’s staff shall, under proper application, be given leave of absence without pay.",Any employee elected as an officer of the Union or who is appointed to the Union’s staff,management,worker,shall,False,passive,rights_passive,right,right,True,1.0,leave,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,3,"Any employee who is elected as an officer of the Union shall, upon proper application, be given a leave of absence with pay for the term of his/her office subject to the Union’s prompt reimbursement on a monthly basis for all costs incurred by the Board for the Union officer’s complete pay and benefits as they currently exist and as such pay and benefits may be modified during the course of the Union officer’s term of office.",Any employee who is elected as an officer of the Union,worker,worker,shall,False,passive,rights_passive,right,right,True,1.0,leave,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,3,The Board agrees to recommend to the Teachers’ Retirement Board that time spent on leave be granted as service credit for retirement,The Board,management,worker,,False,active,obligation_verb,obligation,obligation,True,0.85,benefits,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,3,and that the employee be permitted to pay regular monthly contributions.,the employee,worker,worker,,False,passive,permission_verb,permission,permission,True,0.85,benefits,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,3,"Upon their return to service, they shall be placed in an assignment comparable to that which they left.",they,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,transfers,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,3,The employee shall be granted salary credit and seniority for up to six (6) years spent on leave working for the Union.,The employee,management,worker,shall,False,passive,rights_passive,right,right,True,1.0,seniority,True,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,Baltimore City Public School System,3,Such leave shall not be granted for more than seven (7) persons in any one (1) year.,Such leave,other,management,shall,True,passive,prohibition_verb,permission,prohibition,False,1.0,leave,True,Inanimate subject
