document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,Collective Bargaining Agreement between Seattle Public Schools and Seattle Education Association Certificated Non-Supervisory Employees 2018-2019,1,high,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"September 1, 2018 through August 31, 2019","The term of this Agreement shall be effective September 1, 2018 through August 31, 2019",4,high,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Certificated non-supervisory employees (teachers, substitutes, counselors, librarians, social workers, school psychologists, nurses, OTs, PTs, SLPs, vocational instructors, traffic education instructors, head teachers, administrators, consulting teachers, instructional coaches, audiologists)","The SPS recognizes the SEA as the exclusive representative of certificated non-supervisory educational employees as defined in Chapter 41.59 RCW under the following titles: teacher; substitute; counselor; librarian; social worker; school psychologist; nurse; occupational therapist; physical therapist; speech language pathologist; vocational instructor; certificated classroom traffic education instructor; head teacher; house administrator; consulting teacher e.g., mentor; instructional coach; audiologist",3,high,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,"Except as otherwise provided in this Agreement, this Agreement is complete in and of itself and sets forth all terms and conditions of all the agreements between the SPS and the SEA pursuant to Chapter 41.59 RCW.",4,high,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,There shall be only two files established for maintenance of employee performance and discipline records.,27,high,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"28A.405.210, 28A.405.240, and 28A.405.900 RCW",3,high,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The SPS and the SEA, as the exclusive representative of the certificated non-supervisory educational employees, have a mutual responsibility to bargain in good faith in an effort to reach agreement in accordance with Chapter 41.59 RCW.

The SPS recognizes the SEA as the exclusive representative of certificated non-supervisory educational employees as defined in Chapter 41.59 RCW under the following titles: teacher; substitute; counselor; librarian; social worker; school psychologist; nurse; occupational therapist; physical therapist; speech language pathologist; vocational instructor; certificated classroom traffic education instructor; head teacher; house administrator; consulting teacher e.g., mentor; instructional coach; audiologist; and excluding the chief administrative officers of the SPS, confidential employees and supervisory employees as defined in Chapter 41.59 RCW.

Individual contracts for employees shall be in conformance with 28A.405.210, 28A.405.240, and 28A.405.900 RCW, and other applicable laws.

Except as otherwise provided in this Agreement, this Agreement is complete in and of itself and sets forth all terms and conditions of all the agreements between the SPS and the SEA pursuant to Chapter 41.59 RCW.

Adjustment or modification of any provisions of this Agreement found to be contrary to law will be subject to bargaining provisions of Chapter 41.59 RCW.

Thereafter, representatives of the SEA and the SPS shall meet at reasonable times and shall bargain in good faith in an effort to reach agreement with respect to wages, hours, and terms and conditions of employment as provided in Chapter 41.59 RCW.","The SPS and the SEA, as the exclusive representative of the certificated non-supervisory educational employees, have a mutual responsibility to bargain in good faith in an effort to reach agreement in accordance with Chapter 41.59 RCW.

The SPS recognizes the SEA as the exclusive representative of certificated non-supervisory educational employees as defined in Chapter 41.59 RCW under the following titles: teacher; substitute; counselor; librarian; social worker; school psychologist; nurse; occupational therapist; physical therapist; speech language pathologist; vocational instructor; certificated classroom traffic education instructor; head teacher; house administrator; consulting teacher e.g., mentor; instructional coach; audiologist; and excluding the chief administrative officers of the SPS, confidential employees and supervisory employees as defined in Chapter 41.59 RCW.

Individual contracts for employees shall be in conformance with 28A.405.210, 28A.405.240, and 28A.405.900 RCW, and other applicable laws.

Except as otherwise provided in this Agreement, this Agreement is complete in and of itself and sets forth all terms and conditions of all the agreements between the SPS and the SEA pursuant to Chapter 41.59 RCW.

Adjustment or modification of any provisions of this Agreement found to be contrary to law will be subject to bargaining provisions of Chapter 41.59 RCW.

Thereafter, representatives of the SEA and the SPS shall meet at reasonable times and shall bargain in good faith in an effort to reach agreement with respect to wages, hours, and terms and conditions of employment as provided in Chapter 41.59 RCW.","3, 4, 5",high,Updated evidence to include all six sentences citing state laws (Chapter 41.59 RCW and 28A.405 RCW) as originally requested. The Stage 1 evidence only quoted the first sentence.
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Except as specifically and expressly covered and controlled by the language of this Agreement or federal or State laws and/or regulations, all matters relating to program, facilities, budget, personnel, and staffing shall be determined and administered by the SPS through the policies, procedures, and practices as it may select.
The limitations in this section shall not be applied in a manner that would require the SPS to violate State or federal law.
SEA and the District agree that tests required by federal or state law are exempted from this section, except for section 7.a, Minimizing Disruptions.
Federal, state, and local laws/regulations contained in District School Board policies and procedures or in the collective bargaining agreement cannot be waived unless federal, state, or local approval for such waiver is obtained.","Except as specifically and expressly covered and controlled by the language of this Agreement or federal or State laws and/or regulations, all matters relating to program, facilities, budget, personnel, and staffing shall be determined and administered by the SPS through the policies, procedures, and practices as it may select.
The limitations in this section shall not be applied in a manner that would require the SPS to violate State or federal law.
SEA and the District agree that tests required by federal or state law are exempted from this section, except for section 7.a, Minimizing Disruptions.
Federal, state, and local laws/regulations contained in District School Board policies and procedures or in the collective bargaining agreement cannot be waived unless federal, state, or local approval for such waiver is obtained.","23, 24, 26",high,
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"federal requirements, Federal Government, 504 Plans","Adhere to Washington Administrative Code, State and federal requirements and SPS policy (for example: Vocational Education Programs, Special Education Programs, and 504 Plans).
Students shall be removed from the classroom only for the violation of established rules as set forth in the SPS Statement of Rights and Responsibilities, the laws of the State of Washington, Chapter 392-400 WAC, or the rules and regulations of the SPS and the Federal Government.","29, 30, 37",high,"Updated page reference to 30, as the identical sentence citing the Federal Government appears in Article III, Section G.2.b on page 30 of the provided text, in addition to page 37."
seattle_public_schools__seattle_final_cba_2018_2019__00d26772,Seattle_final_CBA_2018-2019.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,Yes. Appendix A covers the 2018-2019 salary schedule for Certificated Non-Supervisory Employees.,See Appendix A for the 2018-2019 salary schedule.,36,high,
