document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
burlington_school_district__69__603e812d,69.pdf,Burlington School District,2,"those teachers employed in Burlington Technical Center positions are entitled to use the displacement procedures provided for by Article XIV, Bumping, of this Agreement to attempt to displace other Burlington School District teachers.",those teachers employed in Burlington Technical Center positions,worker,worker,,False,active,rights_passive,right,right,True,0.85,job_security,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,"each reserves the right to act hereunder by committee (which committee will not exceed fifteen (15) in number), individual member, or designated representative whether or not a member.",each,other,worker,,False,active,rights_active,right,right,True,0.85,other,True,Subject 'each' refers collectively to both the Board and the Association.
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,"the determination of educational policy, the operation and management of the schools and the control, supervision, and direction of the staff are vested exclusively in the Board.","the determination of educational policy, the operation and management of the schools and the control, supervision, and direction of the staff",management,management,,False,passive,plain,other,other,True,0.0,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,"The Association will cooperate with and make recommendations to the school administration respecting curriculum development, program coordination, and special in-service training programs.",The Association,worker,management,will,False,active,plain,obligation,obligation,True,0.9,professional_development,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,This Agreement may be extended from time to time beyond its expiration date by mutual agreement of the representatives of the Burlington Board of School Commissioners and the Burlington Education Association.,This Agreement,other,management,may,False,passive,plain,permission,permission,True,0.3,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,"the Board and the Association agree to meet not later than the December 15, prior to the expiration of this agreement for the purpose of negotiations in a good faith effort to reach agreement as set forth in section 3.2 of this Article III.",the Board and the Association,other,worker,,False,active,plain,other,obligation,False,0.0,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,"the Board and Association will present relevant data, exchange points of view and make proposals and counter-proposals.",the Board and Association,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,"The Association and Board will submit requests on negotiable matters not later than December 15, prior to the expiration of this Agreement.",The Association and Board,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,The Board will provide the Association with a complete tentative line budget for the next fiscal year as well as budgetary proposals recommended to the Board by its Finance Committee and all actual appropriations as soon as available.,The Board,management,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,3,"The Board will make available to the Association all pertinent records, data and information of public nature relating to the Burlington School District.",The Board,management,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,"Provided, neither party shall have any obligation to discuss any contract proposal between it and another bargaining unit unless it unilaterally decides to do so.",neither party,other,management,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,either party may declare an impasse.,either party,other,management,may,False,active,plain,permission,permission,True,0.3,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,"Within three (3) calendar days after the declaration of impasse, the parties will attempt to select a person to serve as mediator and to obtain a commitment from such person to serve.",the parties,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,either party may request the American Arbitration Association to appoint a mediator after the receipt of such request in accordance with rules and procedures prescribed by it for making such appointments.,either party,other,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,"The mediator will not, however, without the consent of both parties, make findings of fact or recommend terms of settlement.",The mediator,other,worker,will,True,active,prohibition_verb,permission,prohibition,False,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,"The costs for the services of the mediator, including, if any, his/her per diem expenses, and his/her actual and necessary travel and subsistence expenses, will be shared equally by the Board and the Association.","The costs for the services of the mediator, including, if any, his/her per diem expenses, and his/her actual and necessary travel and subsistence expenses",worker,management,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,"either party may, by written notification to the other, request that said controversy be submitted to fact-finding.",either party,other,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,"Within five (5) days after receipt of the aforesaid written request, each party will attempt to designate a third person to serve as chairman of the panel and to obtain a commitment from said person to serve.",each party,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,"either party may request the American Arbitration Association to designate a chairman, after receipt of such request, in accordance with rules and procedures prescribed by it for making such designations.",either party,other,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,4,"The chairman so designated will not, without consent of both parties, be the same person who was appointed mediator under the preceding paragraph.",The chairman so designated,other,management,will,True,active,prohibition_verb,permission,prohibition,False,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,5,"The panel will, within ten (10) calendar days after the designation of the chairman, meet with the parties or their representatives, or both, forthwith, either jointly or separately,",The panel,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,5,and make inquiries it deems appropriate.,The panel,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,Elliptical subject
burlington_school_district__69__603e812d,69.pdf,Burlington School District,5,All such proceedings will be conducted in accordance with the rules and procedures of the American Arbitration Association.,All such proceedings,other,management,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,5,the panel will make findings of fact,the panel,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,5,"and recommend terms of settlement of the controversy,",the panel,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,Elliptical subject
burlington_school_district__69__603e812d,69.pdf,Burlington School District,5,"provided, however, its authority will be limited to making findings of recommendations with respect to negotiable subjects only.",its authority,other,management,will,False,active,plain,obligation,prohibition,False,0.9,other,True,
burlington_school_district__69__603e812d,69.pdf,Burlington School District,5,Said recommendations will be advisory only,Said recommendations,other,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
