document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,collective bargaining agreement,Document classified from title/file and first pages as collective bargaining agreement.,document,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2023 through June 30, 2025","July 1, 2023 through June 30, 2025",title/duration section,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,certificated personnel,Covered group coded as certificated personnel.,recognition/title,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,Document scope is binding agreement.,title/scope,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,Extracted text contains substantial searchable text; no whole-document OCR limitation detected.,document,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"redited with ten (10) days (seventy (70) hours) of sick leave allowance, per Education Code 44978 proportional to the unit member’s full time equivalent (FTE), to be used for absences caused by illness",33,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_state_law_citations_007,document metadata,Which state laws or statutes are cited?,Education Code 44978; Education Code 44969; Education Code 44252,"redited with ten (10) days (seventy (70) hours) of sick leave allowance, per Education Code 44978 proportional to the unit member’s full time equivalent (FTE), to be used for absences caused by illness",33,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_cites_federal_law_008,document metadata,"Does the document cite any federal laws, statutes, or regulations?",yes,us one year (twelve months) period. 10.3.3 Family Leave: Family Medical Leave Act (FMLA) and California Family Rights Act (CFRA) 10.3.3.1 Employees who have completed one year (twelve months) of serv,45,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,FMLA,us one year (twelve months) period. 10.3.3 Family Leave: Family Medical Leave Act (FMLA) and California Family Rights Act (CFRA) 10.3.3.1 Employees who have completed one year (twelve months) of serv,45,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,total of sick leave days recorded on the monthly pay statement. 10.2.2.5 Paid sick leave days shall be considered days worked for purposes of movement on the salary schedule. 28,33,medium,Schedule referenced; full dollar table may not be extractable.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2023-2025,total of sick leave days recorded on the monthly pay statement. 10.2.2.5 Paid sick leave days shall be considered days worked for purposes of movement on the salary schedule. 28,33,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_salary_steps_003,compensation,How many salary steps are listed on the main teacher salary schedule?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_salary_lanes_004,compensation,How many education lanes are listed on the main teacher salary schedule?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_lane_names_005,compensation,What are the names or credentials of the education lanes?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_ba_start_006,compensation,What is the starting salary for the BA or lowest teacher lane?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_ma_start_007,compensation,What is the starting salary for the MA or master's lane?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_phd_start_008,compensation,What is the starting salary for the doctorate or PhD lane?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_ba_max_009,compensation,What is the maximum salary for the BA or lowest teacher lane?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_ma_max_010,compensation,What is the maximum salary for the MA or master's lane?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_phd_max_011,compensation,What is the maximum salary for the doctorate or PhD lane?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_overall_max_012,compensation,What is the highest salary listed anywhere on the main teacher salary schedule?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_ba_phd_gap_013,compensation,What is the dollar difference between Step 1 BA and Step 1 doctorate pay?,discussed_unclear,"Appendix B is titled Salary Schedules, but the extractable text does not include table values.",appendix/salary article,low,Salary schedule referenced but details not reliably extractable from this PDF text.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_step_increment_014,compensation,Does the document explain annual step advancement or salary increments?,yes,total of sick leave days recorded on the monthly pay statement. 10.2.2.5 Paid sick leave days shall be considered days worked for purposes of movement on the salary schedule. 28,33,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_lane_advancement_015,compensation,Does the document explain requirements for moving to a higher education lane?,yes,"hall be returned to the position they held prior to the leave. 10.3.4.5 See section 11.9 for payment policy upon return from leave. 11. Salaries, Increments, and Classification Changes 11.1 For tenure-track teachers not serving the full school year, per diem rates will be based on the annual salary that would be earned at a given classification and rating by a teacher who served for the full school year.",46,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_prior_experience_016,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,of the service which the college or school district in which the instructor or teacher was formerly employed required of regular full-time instructors or teachers. Outside teaching experience in more than one (1) college or school district in any one (1) school year may be combined for granting such outside credit. 11.7.6.4 There shall be no limit on the number of year for year credit for verified outside,54,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_new_hire_placement_017,compensation,Does the document state initial salary placement rules for newly hired teachers?,yes,total of sick leave days recorded on the monthly pay statement. 10.2.2.5 Paid sick leave days shall be considered days worked for purposes of movement on the salary schedule. 28,33,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_performance_pay_018,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",yes,"t with the Union in establishing the criteria and selection process for the Master Teacher Program. The District and Union shall consult on the criteria and selection process as well as the evaluation of the Program. Hard to Staff Schools: In recognition of the additional work teachers do beyond the school day, and in the interest of providing additional pay for additional work at hard-to-staff schools, the Distri...",169,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_cost_of_living_019,compensation,Does the document specify across-the-board raises or COLA percentages?,10,"tionately. 11.1.2 Salary tables and pay rates are located in Appendix B. 11.2 Salary Increases 11.2.1 2023- 2024 School year 11.2.1.1 Effective July 1, 2023, the salary schedules shall be adjusted to reflect an increase of $9,000 at each step. Effective July 1, 2023, the daily and hourly rates in Appendix B shall be adjusted to reflect a ten percent (10%) increase. 11.2.1.2 For Summer School (B11), the foreg",47,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_pay_frequency_020,compensation,Does the document state teacher pay frequency or pay dates?,aining unit members not already receiving pay in this manner may provide the requisite information to the Payroll Department to enable implementation of payment by direct deposit. 11.9.9.3 Bargaining unit members who elect not to receive salary payments through direct deposit shall be paid through alternate electronic means (such as a “pay card”). Unit members shall be entitled to make at least one free,aining unit members not already receiving pay in this manner may provide the requisite information to the Payroll Department to enable implementation of payment by direct deposit. 11.9.9.3 Bargaining unit members who elect not to receive salary payments through direct deposit shall be paid through alternate electronic means (such as a “pay card”). Unit members shall be entitled to make at least one free,59,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_extra_duty_schedule_021,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,"chool, Saturday school, Evening School, or Pre-K summer program teachers. 35.4 Teachers shall be paid pursuant to Appendix B.11. 35.5 Teachers shall be issued supplemental pay warrants for regular service in these programs. 36. Teacher Interns 36.1 Teacher interns shall be members of the bargaining unit. 36.2 Teacher interns shall be placed on the Teachers’ Salary Schedule. Occupational",137,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_coaching_stipends_022,compensation,Does the document specify coaching stipends?,yes,"where twelve (12) or more Academic Athletic Association teams are fielded shall receive the differential specified above. 11.7.11.2.2 Department heads who also serve as athletic directors in high schools shall receive the differential specified above for their department head work and the extended day pay rate for their athletic director work. 11.7.11.2.3 For the term of this Agreement, high school counselors sh",56,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_activity_stipends_023,compensation,"Does the document specify club, activity, or student organization sponsor stipends?",yes,"applicable factors. Within fifteen (15) workdays of the consultation, one of the following may be implemented: 9.6.2.1 Overload Pay: The unit member shall receive a stipend of six hundred dollars ($600) per semester for each student over the caseload goal provided that the unit members caseload is not more than two (2) students over the goal; or 9.6.2.2 Additional Staff: Additional appropriate staf",29,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_department_chair_024,compensation,"Does the document specify compensation for department chairs, team leaders, or similar teacher leaders?",yes,$1000 Leader (NPTL) of required activities 47 hours per Health Education Teacher Leader completion $1400 of required activities HST – Health Liaison (includes $200 27 hours per stipend for Tobacco Youth Outreach completion,158,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_summer_school_025,compensation,"Does the document specify pay for summer school, intersession, evening school, or extended school year?",9000,"tionately. 11.1.2 Salary tables and pay rates are located in Appendix B. 11.2 Salary Increases 11.2.1 2023- 2024 School year 11.2.1.1 Effective July 1, 2023, the salary schedules shall be adjusted to reflect an increase of $9,000 at each step. Effective July 1, 2023, the daily and hourly rates in Appendix B shall be adjusted to reflect a ten percent (10%) increase. 11.2.1.2 For Summer Scho",47,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_extra_period_026,compensation,Does the document specify pay for teaching an additional period or extended instructional day?,600,"y, service minutes, workload, and other applicable factors. Within fifteen (15) workdays of the consultation, one of the following may be implemented: 9.6.2.1 Overload Pay: The unit member shall receive a stipend of six hundred dollars ($600) per semester for each student over the caseload goal provided that the unit members caseload is not more than two (2) students over the goal; or 9.6.2.2",29,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_class_coverage_027,compensation,Does the document specify pay for covering classes when substitutes are unavailable?,discussed_unclear,"UESF Collective Bargaining Agreement (Certificated) July 1st, 2023 thru June 30th, 2025 11.7.8 Substitute Pay Rates 11.7.8.1 The substitute pay levels are included on Salary Schedule B11. Day to Day Substitutes shall be paid at the HXO2 rate in salary schedule B11. Effective July 1, 2023, 160-day TK-12 (QTEA) substitutes (QX01) substitutes shall be paid at $",55,low,Relevant source text found but value requested by the codebook is not explicit in the extract.
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_homebound_tutoring_028,compensation,"Does the document specify pay for tutoring, homebound instruction, test-item writing, or similar hourly instructional work?",9000,"11.2.1.1 Effective July 1, 2023, the salary schedules shall be adjusted to reflect an increase of $9,000 at each step. Effective July 1, 2023, the daily and hourly rates in Appendix B shall be adjusted to reflect a ten percent (10%) increase. 11.2.1.2 For Summer School (B11), the foregoing increases shall take effect beginning with the first teacher workday of the summer session in 2024. 11.2.",47,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_pd_stipend_029,compensation,Does the document specify stipends or hourly pay for professional development outside normal duty time?,150000,"in, a maximum of $150,000/year shall be allocated for ERIP consultancies; 22.2.7 The rate of per diem pay for said consultancies shall be $200; 22.2.8 The maximum amount of any consultancy shall not exceed the statutory provisions; 22.2.9 The District shall annually determine the number, duration, timing and purpose of the consultancies to be offered in consultation with the Union; and 22.2.1",104,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_recruitment_retention_030,compensation,"Does the document include recruitment, retention, signing, hard-to-staff, or priority-school incentives?",yes,"tion of the Program. Hard to Staff Schools: In recognition of the additional work teachers do beyond the school day, and in the interest of providing additional pay for additional work at hard-to-staff schools, the District shall compensate each full-time certificated staff member at a hard-to-staff school an additional Two Thousand Dollars ($2,000.00) per school year (pro-rated for part-time service). This additi...",169,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_national_board_031,compensation,Does the document provide extra pay for National Board certification or similar advanced certification?,5000,"that there are three or more hours when either the Site Administrator or Lead Teacher is absent due to illness, vacation, or other approved leave. 11.7.11.8 National Board for Professional Teacher Standards (NBPTS) — A teacher who holds current NBPTS certification shall receive an added annual salary payment of $5,000 above regular salary schedule placement, provided that the teacher is",57,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_longevity_032,compensation,"Does the document provide longevity pay, career increments, or service-based stipends beyond the regular schedule?",yes,") of base salaries, defined as the salary after the four percent (4%) July 1, 2018 salary increase. 11.2.4.1.3 In addition to the foregoing, unit members shall receive a one-time, off the schedule payment equal to one percent (1%) of their base salary, defined as the salary after the four percent (4%) July 1, 2018 salary increase. 11.2.4.1.4 The 18 hours of QTEA PD hours for EED and TK-12th grade tea",49,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_travel_mileage_033,compensation,"Does the document specify mileage, travel, or required travel reimbursement?",2000,"assistance shall be provided: 18.11.1.1 Tuition payments required of the unit member in order to obtain the required authorization(s) shall be eligible for tuition reimbursement up to $2,000 per year for up to three (3) years from the Proposition A MOU tuition reimbursement fund (see Appendix F) or other funding sources identified by the District. These reimbursements shall be made on an annual",88,high,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_unused_leave_payout_034,compensation,"Does the document provide payout, conversion, or terminal pay for unused sick or personal leave?",yes,"See Section 11.10.2 for salary payment schedule upon return from leave. 10.1.2 Long-term public service leave — A teacher elected to a public office shall be granted a leave of absence from his/her duties as a teacher in the District. 10.1.2.1 During the term of such leave of absence, the teacher may be employed by the District to perform part-time service with salary pro-rated. 10.1.2.2 Within six (6) months afte...",31,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_retirement_incentive_035,compensation,Does the document provide an early retirement incentive or district retirement stipend?,yes,"April 30th, to discuss a mutually agreeable program for the teacher. 22.2 Early Retirement Program 22.2.1 Application - In order to be considered for the Early Retirement Incentive Program (ERIP) application shall be filed no later than March 15th of the year for which application was made. The Union and District may mutually agree to extend this deadline.",103,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_experience_credit_indistrict_037,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,yes,total of sick leave days recorded on the monthly pay statement. 10.2.2.5 Paid sick leave days shall be considered days worked for purposes of movement on the salary schedule. 28,33,medium,
san_francisco_unified_school_district__uesf_certificated_cba_2023_2025_executed__564b0704,UESF_Certificated_CBA_2023-2025_Executed.pdf,pay_experience_credit_outofdistrict_038,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,yes,total of sick leave days recorded on the monthly pay statement. 10.2.2.5 Paid sick leave days shall be considered days worked for purposes of movement on the salary schedule. 28,33,medium,
