document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,2014 – 2017 AGREEMENT,1,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2014-2017,2014 – 2017 AGREEMENT,1,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,United Teachers Los Angeles (UTLA) / Teachers,UNITED TEACHERS LOS ANGELES,1,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,2014 – 2017 AGREEMENT,1,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"""It is agreed that the professional workday of a full-time regular employee requires no fewer than eight hours...""",29,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,1.3 Compliance with SB 1665 (Scott Bill),81,high,Updated page to 81 based on Table of Contents alignment.
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"This Agreement is entered into under authority of Government Code Section 3540.1(h). Certain of the rights of the District set forth in this Article are subject to the consultation rights of UTLA under Section 3543.2 of the Government Code. It is agreed that all matters which are beyond the scope of negotiations under Government Code Section 3543.2, and also all rights which are not limited by the terms of this Agreement, are retained by the District. Subject to the consultation rights of UTLA under Government Code Section 3543.2, determine the educational policies, objectives, standards, and programs, including but not limited to those relating to curriculum, textbook selection, educational equipment and supplies, admissions, attendance, student assignments, grade level advancement, student guidance, student testing, student integration, student conduct and discipline (subject to Article XXIV), food services, student transportation, and the type of extracurricular and co-curricular activities; While there are not to be any negotiations at the site level (such activity being limited to the designated representatives of the Board of Education and UTLA), when faculty views are sought by the site administrator with respect to subject matters which fall within the scope of negotiations under the Educational Employment Relations Act, the UTLA Chapter Chair is to be treated as the sole representative of the faculty;",This Agreement is entered into under authority of Government Code Section 3540.1(h).,"1, 4, 5, 7",high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Pursuant to United States Postal laws, the school mail is not available for distribution of UTLA material.","Pursuant to United States Postal laws, the school mail is not available for distribution of UTLA material.",6,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,United States Postal laws,"Pursuant to United States Postal laws, the school mail is not available for distribution of UTLA material.",6,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,Preparation Salary (T and L) Tables,156,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2014-2015 and 2015-2016,2014-2015 Salaries: ... 2015-2016 Salaries:,154,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,An employee not on the maximum step of the schedule shall receive a step advancement effective at the beginning of the employee's regular annual assignment basis in accordance with the following:,166,high,
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__f5bc7a16,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,Step placement shall be determined from the following table up to a maximum of Step 10. Years of Acceptable Experience ... 0: Step 1 ... 9 (or more): Step 10 (maximum placement),157,high,
