document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Code CBA,Negotiated Agreement between Prince George’s County Educators’ Association and the Board of Education of Prince George’s County,1,high,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2017 to June 30, 2019","for the period of July 1, 2017, through June 30, 2019.",3,high,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Unit I (All 10, 11, and 12 month certificated professional employees, Home and Hospital Teachers, and JROTC instructors)","Unit I Member: All 10, 11, and 12 month certificated professional employees of the Board of Education of Prince George’s County (except those identified as administrative and supervisory), Home and Hospital Teachers (HHTs), and JROTC instructors.",4,high,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding,"This Agreement, when ratified and duly signed by the President of PGCEA, the Executive Director of PGCEA, the Chairperson of the Board and the Chief Executive Officer shall be valid and binding for the duration of this Agreement.",3,high,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"Full text is cleanly extracted with clear article headings, page numbers, and formatting.",not_applicable,medium,"Evidence provided is a meta-evaluation rather than a verbatim document quote. Confidence adjusted to medium, but the assessment of extractability is accurate based on the provided text structure."
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"In accordance with Education Article, Annotated Code of Maryland, Section 6-410",3,high,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"• In accordance with Education Article, Annotated Code of Maryland, Section 6-410, PGCEA, or any group of employees represented by PGCEA, shall be prohibited from calling, or directing, or abetting any strike, slow down or any action which interferes with the operation of the schools.
• Nothing contained herein shall be deemed to supersede any provision of the Constitution or the Code of Maryland.
• Nothing in this Agreement is intended to deny or abrogate any of the powers or responsibilities of the Board and the Chief Executive Officer that have been assigned to them by any Maryland Law or regulation of the State Board of Education, except as specifically enumerated as conferred hereafter as a unit member’s rights, privilege, salary or fringe benefit.
• The Board of Education of Prince George’s County, hereafter referred to as the “Board”, recognizes the Prince George’s County Educators’ Association, hereinafter referred to as “PGCEA”, pursuant to Title 6 Education Article of the Annotated Code of Maryland, as the sole and exclusive bargaining representative of Unit I.
• Its function shall be solely to advise the principal/supervisor of any given worksite on internal matters and nothing in this Agreement shall be so construed as to authorize or enable the FAC to effect unilateral changes in county-wide educational policies as may from time to time be established in accordance with the laws of the State of Maryland.
• The arbitrator’s decision must be consistent with the terms of this Agreement, Board of Education Policy, Rules, Regulations and State Law.","In accordance with Education Article, Annotated Code of Maryland, Section 6-410, PGCEA, or any group of employees represented by PGCEA, shall be prohibited from calling, or directing, or abetting any strike, slow down or any action which interferes with the operation of the schools.",3,high,"Answer correctly quotes all state law citations found in the document (Arts 1, 2, 4, 5). Verified against provided text on pages 3, 4, 6, 7. The quoted evidence explicitly supports the first citation."
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Military leave and benefits will be provided consistent with the Board’s administrative procedure, federal, state, and local law and this Agreement.","Military leave and benefits will be provided consistent with the Board’s administrative procedure, federal, state, and local law and this Agreement.",21,high,"Answer and evidence directly support the question. The appended document is truncated before page 21, but the provided verbatim quote explicitly cites federal law, so the answer is preserved per instructions."
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,IRS regulations,IRS regulations,31,high,"Answer and evidence directly support the question. The appended document is truncated before page 31, but the provided verbatim quote explicitly cites a federal regulation, so the answer is preserved per instructions."
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,Shall maintain step on the salary scale.,25,high,"The quoted evidence explicitly references a 'salary scale', which directly contradicts the original 'no' answer. Revised to 'yes'."
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,not_discussed,,not_applicable,high,
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__5f1d8646,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,Progression on the salary schedule is determined by the Unit I member’s anniversary date or the date of advancement to a higher training certification level.,32,high,
