document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Code CBA,COLLECTIVE BARGAINING AGREEMENT,1,high,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2010 - June 30, 2012","July 1, 2010 - June 30, 2012",1,high,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Fresno Teachers Association (CTA/NEA),FRESNO TEACHERS ASSOCIATION/CTA/NEA,1,high,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding,The articles and provisions contained herein constitute a bilateral and binding agreement,2,high,"Updated page reference from 13 to 2, as Table of Contents confirms Article 2 begins on page 2."
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,The document contains fully extractable and clearly legible text for reliable coding.,1,high,Replaced 'N/A' evidence with direct observation confirming text extractability from the provided document.
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"Chapter 10.7, Sections 3540-3549 of the Government Code",2,high,"Updated page reference from 13 to 2, as Table of Contents confirms Article 2 begins on page 2."
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The Fresno Unified School District shall employ only persons qualified as stipulated in the Education Code to teach in Adult Education.
This Agreement is entered into pursuant to Chapter 10.7, Sections 3540-3549 of the Government Code (""Act"").
A ""President's Leave"" shall be granted to the President of the Association in conformance with Section 44987 of the California Education Code.
The District and Association agree to implement the Classroom Teacher Instructional Improvement Program in accordance with Education Code Sections 44700 through 44705 and the following provisions of this article.
Adult School teachers may obtain tenure in accordance with provisions of the Education Code; however, if a teacher obtains permanent classification in the Adult School and later is eligible for tenure in the regular day school by reason of serving the probationary period therein, he/she shall be given his/her choice as to which he/she shall take.
As complete school year requires service on 75% of the duty days (E.C. 44908).","The Fresno Unified School District shall employ only persons qualified as stipulated in the Education Code to teach in Adult Education.

This Agreement is entered into pursuant to Chapter 10.7, Sections 3540-3549 of the Government Code (""Act"").

A ""President's Leave"" shall be granted to the President of the Association in conformance with Section 44987 of the California Education Code.

The District and Association agree to implement the Classroom Teacher Instructional Improvement Program in accordance with Education Code Sections 44700 through 44705 and the following provisions of this article.

Adult School teachers may obtain tenure in accordance with provisions of the Education Code; however, if a teacher obtains permanent classification in the Adult School and later is eligible for tenure in the regular day school by reason of serving the probationary period therein, he/she shall be given his/her choice as to which he/she shall take.

As complete school year requires service on 75% of the duty days (E.C. 44908).","1, 2, 3, 8, 10",high,Updated evidence to include all six cited state laws/statutes. The original evidence only contained the first two sentences.
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","- All references to ""Medicare"" refer to the Federal Medicare Law as described in Title I8 of the Social Security Act of 1964.","All references to ""Medicare"" refer to the Federal Medicare Law as described in Title I8 of the Social Security Act of 1964.",not_applicable,high,No changes. Evidence explicitly supports the answer.
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"Federal Medicare Law, Social Security Act of 1964 (Title I8), Medicare",Federal Medicare Law as described in Title I8 of the Social Security Act of 1964.,not_applicable,high,No changes. Answer correctly lists the federal statutes cited in the quoted evidence.
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes. Schedule Title: Salary Schedule A / Certificated Employees Factor Placement Schedule. Covered Year: 2009-2010 (adjusted for 2010-2011 and 2011-2012); Factor Schedule labeled 2005. Covered Employee Group: Certificated employees/Teachers. Page/Appendix: Article 50.,"ARTICLE 50 - SALARY... CERTIFICATED EMPLOYEES FACTOR PLACEMENT SCHEDULE (Factor Times Placement on Schedule ""A"") 2005... For the 2010-2011 and 2011-2012 school years: The 2009-2010 salary schedule shall be reduced in direct proportion to the reduction in the duty year as set forth in Article 14... All certificated employees shall be placed on Salary Schedule A according to years of experience and training.",Article 50,high,Updated evidence to explicitly cite the Schedule A and Factor Placement Schedule titles to fully support the coded answer details.
