document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,tentative agreement,Teachers/Professionals Tentative Collective Bargaining Agreement between the Pittsburgh Federation of Teachers and the Pittsburgh Board of Public Education,1,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2010, through June 30, 2015","This five year agreement will be in effect from July 1, 2010, through June 30, 2015.",1,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Teachers/Professionals (PFT-represented staff),Teachers/Professionals Tentative Collective Bargaining Agreement between the Pittsburgh Federation of Teachers and the Pittsburgh Board of Public Education,1,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Tentative agreement,Teachers/Professionals Tentative Collective Bargaining Agreement between the Pittsburgh Federation of Teachers and the Pittsburgh Board of Public Education,1,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"Text is fully extractable, though some tables contain formatting artifacts.",not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",no,,not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,not_discussed,,not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.",not_discussed,,not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,not_discussed,,not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,S. Complete Salary Schedules Teachers .................................................................................................................. page 13,13,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2010-2015,June 2010 | September 2010 | September 2011 | September 2012 | September 2013 | September 2014,13,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,Annual salary increases are in place for every step of every salary schedule in the Professionals’ Collective Bargaining Agreement. Movement from step 9 to step 10a and then to step 10b occurs in the same manner as in the previous contract.,13,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes. Step placement for new hires with experience is based on a 'Salary Schedule Placement Rubric.' Experiencing hires must have three years of student growth measures for level advancement eligibility.,"The step placement of newly hired teachers, with experience, shall be based upon a Salary Schedule Placement Rubric. Experienced hires will be required to have three years of student growth measures, either in Pittsburgh Public Schools or from another district, in order to have an opportunity for level advancement.",29,high,"Updated evidence to include the complete 'Experienced hire placement guidelines' section, which explicitly covers both the placement rubric and the three-year student growth requirement. Moved page reference to TOC page 29."
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",yes,E. STAR-Students and Teachers Achieving Results........................................................................page 2 (School-Based Performance Pay Plan),2,high,
