document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
manchester_school_district__83__de5d62c9,83.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Code CBA,"""Agreement between the Manchester Board of School Committee and the Manchester Education Association 2007-2010""",1,high,
manchester_school_district__83__de5d62c9,83.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2007 through June 30, 2010","""July 1, 2007 through June 30, 2010""",4,high,
manchester_school_district__83__de5d62c9,83.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Full-time classroom teachers and related certificated/licensed staff (specialists, counselors, psychologists, librarians, instructional coordinators, social workers, assistant principals)","""All full-time classroom teachers, including teachers of art, music, physical education, the learning disabled, licensed/or certified speech and language specialists/pathologists, hearing specialists, licensed occupational therapists, reading/math supervisors, Elementary Teaching Assistant Principals, Guidance Counselors, School Psychologists, Librarians/Media Specialists, Building Level Instructional Coordinators, Student Assistant Coordinators, Certified Social Workers""",4,high,
manchester_school_district__83__de5d62c9,83.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,"""The Board and the Association enter into this Agreement with mutual dedication, recognizing that the experience, creativity and judgment of all parties are necessary to reach the educational needs of the community. The Manchester Board of School Committee (referred to hereinafter as the 'Board') and the Manchester Education Association (referred to hereinafter as the 'Association') agree as follows:""",4,high,
manchester_school_district__83__de5d62c9,83.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"The Board of School Committee of the City of Manchester School District, New Hampshire, hereby agrees to employ , who hereby agrees to serve, under the direction of the Superintendent of Schools as a teacher in the public schools of said School District, beginning , provided all pre-employment medical examinations and criminal/background checks have been satisfactorily completed.",44,high,
manchester_school_district__83__de5d62c9,83.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"""managerial policies referred to in RSA 273-A:1, XI""",5,high,
manchester_school_district__83__de5d62c9,83.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The parties agree, in the interest of good faith effort to reach agreement, to negotiate on wages, hours and conditions of employment, other than those managerial policies referred to in RSA 273-A:1, XI, which are the exclusive prerogative of the Board.","The parties agree, in the interest of good faith effort to reach agreement, to negotiate on wages, hours and conditions of employment, other than those managerial policies referred to in RSA 273-A:1, XI, which are the exclusive prerogative of the Board.",5,high,
manchester_school_district__83__de5d62c9,83.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations.","The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations.",10,high,
manchester_school_district__83__de5d62c9,83.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,None specifically cited; refers generally to 'current federal laws and regulations'.,"The Board agrees to maintain a Dependent Care Reimbursement Plan, A Premium Conversion Plan and Health Care Reimbursement Plan in accordance with current federal laws and regulations.",10,high,
manchester_school_district__83__de5d62c9,83.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,The salaries of all teachers are set forth in Appendix B which is attached hereto and made a part hereof.,7,high,
