question_id,gold_status,required,optional,gold_pages,provision
benefits_disability_009,not_discussed,,,,"Read all 4 pages of this 4-page tentative agreement summary. The only benefits settled are health insurance and dental monthly district contributions and the retirement Health Care Savings Plan day threshold (p.1, 'Insurance / Benefits'); short-term or long-term disability / income protection coverage never appears."
benefits_health_plan_type_005,not_discussed,,,,"Read all 4 pages. Page 1 'Insurance / Benefits' sets monthly district contributions for single / family / dual-spouse health coverage and for dental, but those are coverage tiers, not plan types: no HMO, PPO, POS, high-deductible/HSA or other plan type is named anywhere in the document."
class_elementary_max_002,not_discussed,,,,"Read all 4 pages. The TA settles salary schedules, ABE/ECFE wages, insurance contributions, extra-service compensation and miscellaneous language changes; no elementary (or any) class-size maximum, target or enrollment cap appears. The closest item, 'Staffing deadlines moved from March 1 to February 1' (p.1, Miscellaneous), concerns staffing timelines, not class size."
class_overage_remedy_004,not_discussed,,,,"Read all 4 pages. No class-size limit is stated, hence no overage remedy. The adjacent item 'Minor improvement to compensation for covering unfilled classes' (p.1, Extra Service Compensation) pays teachers who cover a class that has no assigned teacher; it is coverage/substitute pay, not a remedy for exceeding a class-size cap."
conduct_acceptable_use_006,not_discussed,,,,"Read all 4 pages. No acceptable-use, email, internet, network or computer-use rules appear; the only technology reference is renaming 'Teachers on Special Assignment in Central Services' to 'ESC TALS and Tech Facilitators' (p.1, Miscellaneous), a title change."
conduct_ethics_002,not_discussed,,,,"Read all 4 pages. The TA contains no code of ethics, standards of conduct, or professional-responsibility rules; it is a bargaining settlement summary covering pay, insurance, extra-service compensation and title/language clarifications."
discipline_just_cause_001,not_discussed,,,,"Read all 4 pages. Neither just cause, proper cause, nor any disciplinary standard appears; the tentative agreement leaves the parent working agreement's discipline provisions untouched and unmentioned."
discipline_dismissal_002,not_discussed,,,,"Read all 4 pages. No dismissal, termination, discharge, non-renewal, contract-cancellation or hearing procedure appears anywhere in the summary or the salary tables."
evaluation_observation_count_003,not_discussed,,,,"Read all 4 pages. No formal observation or evaluation procedure appears. 'QComp' occurs only once, as part of a negotiator's title ('Todd Mensink, ESC QComp', p.1), not as an evaluation provision."
evaluation_observation_duration_004,not_discussed,,,,"Read all 4 pages. No observation is described at all, so no duration or minimum length is specified."
leave_fmla_012,not_discussed,,,,"Read all 4 pages. FMLA, family and medical leave, serious health condition and 12-week entitlements are entirely absent; the TA settles no leave provisions of any kind."
leave_parental_paid_009,not_discussed,,,,"Read all 4 pages. No parental, bonding, maternity, paternity, adoption or child-care leave appears; the TA settles no leave provisions of any kind."
meta_cites_federal_law_008,no,,,,"Read all 4 pages: there are zero citations to federal law, statute or regulation, so there is no sentence to quote. Nothing resembling FMLA, IDEA, Title VII/IX, ADA, FLSA, U.S.C. or C.F.R. appears; 'SPED lead position added at AMSA' (p.1) references a position, not IDEA."
meta_cites_state_law_006,no,,,,"Read all 4 pages: no state statute, education code, administrative rule or state board rule is cited. The only cross-references are internal contract cites ('Article XVIII, Retirement, Section 3'; 'Article X and Appendix B', p.1); 'Health Care Savings Plan' and 'Independent School District No. 11' name Minnesota institutions without citing any Minnesota Statute."
pay_experience_credit_indistrict_013,not_discussed,,,,"Read all 4 pages. Nothing addresses credit for prior in-district or same-district teaching service at initial placement. The one placement item, 'Initial placement credit given for clinical experience of SLPs, OTs, and PTs' (p.1), credits non-teaching clinical experience for a named subset of licensed specialists and states no amount or method for in-district teaching experience."
pay_experience_credit_outofstate_015,not_discussed,,,,"Read all 4 pages. Out-of-state or other-district teaching experience, and any maximum credit for it, never appear; the only initial-placement change is credit for the clinical experience of SLPs, OTs and PTs (p.1), which is not out-of-state teaching experience."
