document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,"MASTER CONTRACT Between the Board of School Trustees of FORT WAYNE COMMUNITY SCHOOLS ... and FORT WAYNE EDUCATION ASSOCIATION, INC.",1,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2021 – June 30, 2023","July 1, 2021 – June 30, 2023",1,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Teachers (professional personnel requiring a classroom teacher’s license or Indiana Workplace License),"The Board recognizes the Association as the exclusive representative for teachers, described and defined as All professional personnel employed by the Board whose official assignment requires a classroom teacher’s license or Indiana Workplace License",8,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,The following Master Contract covering certain terms and conditions of employment for teachers has been developed through negotiation between the Board and its representatives and the Association and its representatives.,6,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,required by IC 20-28-11.5-4(c)(4),7,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The System of Support uses a modified version of the Indiana RISE Rubric which tracks four domains of teacher effectiveness (Purposeful Planning, Effective Instruction, Teacher Leadership and Core Professionalism) as well as student data to assign teachers to one of the four rating categories required by IC 20-28-11.5-4(c)(4).
This recognition shall be continuing until such time as the Board is shown evidence in accordance with I.C. 20-29-5 et seq. and 560 IAC 2-2.1-1 that the Association is no longer the representative of classroom teachers.
A grievance shall be defined as an alleged violation of an express provision of the master contract within the scope of bargaining, per I.C. 20-29-6-4.
Increases or increments in a local salary range will be based upon a combination of the following factors from IC 20-28-9-1.5(b):
Evaluation. The results of an evaluation conducted under IC 20-28-11.5.","The System of Support uses a modified version of the Indiana RISE Rubric which tracks four domains of teacher effectiveness (Purposeful Planning, Effective Instruction, Teacher Leadership and Core Professionalism) as well as student data to assign teachers to one of the four rating categories required by IC 20-28-11.5-4(c)(4).
This recognition shall be continuing until such time as the Board is shown evidence in accordance with I.C. 20-29-5 et seq. and 560 IAC 2-2.1-1 that the Association is no longer the representative of classroom teachers.
A grievance shall be defined as an alleged violation of an express provision of the master contract within the scope of bargaining, per I.C. 20-29-6-4.
Increases or increments in a local salary range will be based upon a combination of the following factors from IC 20-28-9-1.5(b):
Evaluation. The results of an evaluation conducted under IC 20-28-11.5.","7, 8, 9, 22",high,"Updated evidence to include all sentences citing state laws/statutes, as the original evidence was an incomplete snippet. All quotes verified in the source document."
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Fort Wayne Community Schools complies with the provisions of the Family and Medical Leave Act regarding consecutive and intermittent leave.
Any teacher who will have reached fifty-five (55) years of age on or before the employee’s retirement date but who will not be eligible on that date for Medicare coverage as prescribed by 42 U.S.C. 1395 et seq., and who will have completed fifteen (15) years of creditable employment with Fort Wayne Community Schools shall be eligible to continue health insurance in the Core Plan or High Deductible Plan without the HSA contribution until eligible for Medicare.","Fort Wayne Community Schools complies with the provisions of the Family and Medical Leave Act regarding consecutive and intermittent leave.
Any teacher who will have reached fifty-five (55) years of age on or before the employee’s retirement date but who will not be eligible on that date for Medicare coverage as prescribed by 42 U.S.C. 1395 et seq., and who will have completed fifteen (15) years of creditable employment with Fort Wayne Community Schools shall be eligible to continue health insurance in the Core Plan or High Deductible Plan without the HSA contribution until eligible for Medicare.","11, 19",high,"Updated evidence to include both sentences citing federal laws/statutes, as the original evidence was an incomplete snippet. All quotes verified in the source document."
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"Family and Medical Leave Act, 42 U.S.C. 1395 et seq.","Family and Medical Leave Act
42 U.S.C. 1395 et seq.","11, 19",high,Updated evidence to explicitly list both cited federal laws found in the document. Original evidence was incomplete.
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,The 2021-22 and 2022-23 Compensation Schedules can be found in Appendix A. APPENDIX A - Salary Schedule,"23, 35",high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2021-22 and 2022-23,The 2021-22 and 2022-23 Compensation Schedules can be found in Appendix A.,"23, 35",high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,Increases or increments in a local salary range will be based upon a combination of the following factors from IC 20-28-9-1.5(b): i. Education. The first year of possessing a content-area master’s degree from an accredited college or university. ii. Evaluation. The results of an evaluation conducted under IC 20-28-11.5. iii. Academic Needs. The need for teachers to transition to a new compensation schedule for staff retention.,22,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"Teachers new to the District with prior teaching experience shall receive a starting salary comparable, in the opinion of the Superintendent or designee, to current teaching employees with similar experience.",23,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",yes,Teachers who receive a Final Summative Rating of ineffective or improvement necessary from the previous school year and teachers who negatively affect student achievement and growth are ineligible for salary increases and will remain at their current salaries.,22,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,"Teachers are evaluated using the FWCS System of Support, which applies a modified Indiana RISE Rubric tracking four domains of effectiveness and student data to assign a Final Summative Rating of Highly Effective, Effective, Improvement Necessary, or Ineffective. These ratings determine eligibility for annual salary increases.",System of Support is the FWCS teacher-evaluation system... uses a modified version of the Indiana RISE Rubric which tracks four domains of teacher effectiveness... as well as student data to assign teachers to one of the four rating categories... Final Summative Rating is the Final Summative Observation Rating combined with applicable student data...,7,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,not_discussed,,not_applicable,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,"Stipends paid for cocurricular and athletic positions can be found in Appendix B. Additionally, ancillary duties specify compensation for Teacher Travel ($2,050-$3,050), Curriculum Development ($30.00/hr), In-Service ($25.00-$30.00/hr), Class Coverage ($57.50 per 4-hour increment), and Kindergarten Conferences ($200.00 stipend).","24, 27, 36-38",high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",not_discussed,,not_applicable,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",yes,"Lead Teacher Math $3,080 / Lead Teacher Science $3,080","36, 37",high,[recall-recovery]
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",yes,"New hires in hard-to-fill positions may receive a salary or other recruiting compensation in an amount determined by the Superintendent or designee, if possible after consultation with the Association in the Joint Communications Committee.",23,high,Updated confidence from medium to high; the provided evidence explicitly and directly states the provision for hard-to-fill position compensation.
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_hardtostaff_schools_012,compensation,"Does the document provide incentives specifically for teaching in hard-to-staff, high-need, Title I, or priority schools, regardless of subject?",yes,"d. New hires in hard-to-fill positions may receive a salary or other recruiting compensation in an amount determined by the Superintendent or designee, if possible after consultation with the Association in the Joint Communications Committee.",23,high,"Updated from not_discussed to yes. Stage 1 missed the explicit provision on p. 23 offering salary or recruiting compensation incentives for new hires in hard-to-fill positions, which directly addresses incentives for hard-to-staff/shortage situations. [cross-question]"
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_experience_credit_indistrict_013,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,discussed_unclear,"Teachers new to the District with prior teaching experience shall receive a starting salary comparable, in the opinion of the Superintendent or designee, to current teaching employees with similar experience.",23,medium,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_experience_credit_outofdistrict_014,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,discussed_unclear,"Teachers new to the District with prior teaching experience shall receive a starting salary comparable, in the opinion of the Superintendent or designee, to current teaching employees with similar experience.",23,medium,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_experience_credit_outofstate_015,compensation,Does the document specify how out-of-state teaching experience is credited for salary placement?,discussed_unclear,"Teachers new to the District with prior teaching experience shall receive a starting salary comparable, in the opinion of the Superintendent or designee, to current teaching employees with similar experience.",23,medium,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_experience_credit_military_public_016,compensation,Does the document credit military service or other public service for salary placement?,discussed_unclear,"The individual teacher is responsible for keeping licenses current and renewed when due, and for securing proper certification of outside teaching experience, military service, and cumulative sick leave for submission to the Human Resources department.",22,medium,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,pay_national_board_017,compensation,Does the document provide extra pay for National Board certification or similar advanced certification?,not_discussed,,not_applicable,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,benefits_health_001,benefits,Does the document state that health or medical insurance is available to teachers?,"yes; Plan types: PPO plan (Buy-Up Plan for pre-12/31/11 hires), revised PPO plan (Core Plan), High Deductible Health Plan. Eligible group: Full-time teacher.","A full-time teacher is eligible to receive group health benefits provided by the benefit plans of the Corporation. Those employed as of December 31, 2011 may continue in the current PPO plan (the “Buy-Up Plan”). Those employed after December 31, 2011 may enroll in the corporation’s revised PPO plan (the “Core Plan”) or in the Corporation’s High Deductible Health Plan (the “High Deductible Plan”)",18,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,benefits_health_contribution_002,benefits,What employer contribution toward health insurance is stated?,80% of the cost of the Core Plan,The Corporation shall pay 80% of the cost of the Core Plan.,18,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,benefits_health_employee_premium_003,benefits,What employee health insurance premium or contribution is stated?,The balance of any cost shall be paid by the employee.,The balance of any cost shall be paid by the employee.,18,high,
fort_wayne_community_schools__fort_wayne_community_schools_2021_2023__af169a5f,Fort_Wayne_Community_Schools_2021-2023.pdf,benefits_dependent_health_004,benefits,"Does the document mention dependent, spouse, family, or domestic partner health coverage?","yes; Covers employee/spouse or employee/family plans, plus eligible children and spouses of retired or deceased teachers.","In the event two employees are married and both spouses are employed by FWCS and eligible for health benefits, they are ineligible for single plans and must select one employee/spouse or employee/family plan. Eligible children of retired teachers shall have the opportunity to continue coverage in the Core Plan or High Deductible Plan at their own expense through COBRA.",18,high,
