document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,AGREEMENT between the BALTIMORE TEACHERS UNION... AND BALTIMORE CITY BOARD OF SCHOOL COMMISSIONERS,1,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2016 to June 30, 2019 (2016-2019)","This Agreement is entered into effective the 1st day of July, 2016",1,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"professional educational public school employee unit (all classroom teachers, counselors, librarians, psychologists, social workers, etc.)",recognized ... as the exclusive representative of the Board’s employees who are in the professional educational public school employee unit.,1,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,"This Agreement is entered into effective the 1st day of July, 2016",1,high,Removed tangential arbitration clause to focus on the primary document definition.
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,The employer shall provide a travel allowance at the rate established and published by the Internal Revenue Service (IRS) to those employees who use their personal automobiles for approved BCPSS business during the course of the work day.,32,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"reduced to writing in accordance with Sections 4-301, 4-304 and 6-408 of the Education Article of the Annotated Code of Maryland.",1,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"This Agreement is entered into effective the 1st day of July, 2016, between the Baltimore City Board of School Commissioners and the Baltimore Teachers Union, American Federation of Teachers, Local 340, and reduced to writing in accordance with Sections 4-301, 4-304 and 6-408 of the Education Article of the Annotated Code of Maryland. / “Tenure” is the expectation of continued employment by the Board after completing a probationary period that is governed under the terms of the Regular Teacher Contract set forth in COMAR and Education Article Sections 6-201(f) and 6-202. / On or before August 20 in each contract year, the Union will determine its calculation of the representation fee based on a percentage of its regular expenses and budget; said percentage to represent the cost of all services performed by the Union under Section 6-401 et seq. of the Education Article, Annotated Code of Maryland.","This Agreement is entered into effective the 1st day of July, 2016, between the Baltimore City Board of School Commissioners and the Baltimore Teachers Union, American Federation of Teachers, Local 340, and reduced to writing in accordance with Sections 4-301, 4-304 and 6-408 of the Education Article of the Annotated Code of Maryland. / “Tenure” is the expectation of continued employment by the Board after completing a probationary period that is governed under the terms of the Regular Teacher Contract set forth in COMAR and Education Article Sections 6-201(f) and 6-202. / On or before August 20 in each contract year, the Union will determine its calculation of the representation fee based on a percentage of its regular expenses and budget; said percentage to represent the cost of all services performed by the Union under Section 6-401 et seq. of the Education Article, Annotated Code of Maryland.","1, 3, 8",high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","All benefit programs available under this Sec. 5.2. shall be exempt from taxation as ordinary income in accordance with I.R.C. Sec. 125 or successor provision of the Internal Revenue Code.
In the event an employee eligible under the FMLA or military leave is on leave without pay for personal illness, the Employer shall continue to pay its share of the cost of Blue Cross/Blue Shield PPN, Blue Cross/Blue Shield POS and HMO coverage for a period not to exceed ninety (90) days, provided the affected employee continues to assume his appropriate contribution for said coverage.","All benefit programs available under this Sec. 5.2. shall be exempt from taxation as ordinary income in accordance with I.R.C. Sec. 125 or successor provision of the Internal Revenue Code.
In the event an employee eligible under the FMLA or military leave is on leave without pay for personal illness, the Employer shall continue to pay its share of the cost of Blue Cross/Blue Shield PPN, Blue Cross/Blue Shield POS and HMO coverage for a period not to exceed ninety (90) days, provided the affected employee continues to assume his appropriate contribution for said coverage.","30, 31",high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"I.R.C. Sec. 125
Internal Revenue Code
FMLA","I.R.C. Sec. 125
Internal Revenue Code
FMLA","30, 31",high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,"Yes. Schedule title: Addenda I and II (Salary Schedules). Covered year: 2016-2017 school year (with increases for subsequent years). Covered employee group: Bargaining unit members. Page/Appendix: Referenced in Article 5 (pp. 15-16) and Table of Contents (p. 3); addenda listed on pp. 99, 102.",Employees shall receive wages as they are shown on the salary schedules in Addenda I and II.,"3, 15-16",high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,"Covers the 2016-2017 school year. References Fiscal Years 2018 and 2019 for future wage rate negotiations. Effective dates for scheduled increases: July 1, 2017 (1%) and January 1, 2019 (1.5%). Multiple schedules included: Yes, base and supplemental salary scales.","The 2016-2017 salary schedules shall be increased by 1% on July 1, 2017 and increased by 1.5% on January 1, 2019 Supplemental salary scales remain in effect and shall be increased by 1% on July 1, 2017, and increased by 1.5% on January 1, 2019",15-16,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,"Yes. Advancement occurs by accumulating 12 Achievement Units (AUs) to move one interval along a Career Pathway. Eligibility/requirements: AUs earned through professional activities, eligible coursework (1 college credit = 1 AU), and annual evaluation ratings (12 AUs for Proficient/Highly Effective, 9 for Satisfactory/Effective, 3 for any rating above Unsatisfactory). No mention of freezes.","When educators accumulate twelve (12) AUs they move one interval along a Career Pathway. AUs may be earned through professional activities, eligible coursework (1 college credit = 1 AU), and annual evaluation ratings.","17, 20-21",high,Updated evidence and page to capture the full mechanism for step advancement (AUs) as detailed across pages 17 and 20-21.
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,Persons transferring from any Paraprofessional Salary Scale to the Teachers’ Salary Scale shall be given credit for salary scale placement at the rate of one interval for every two years service as a Paraprofessional with a maximum of five intervals.,16,high,"Revised from 'not_discussed' to 'yes'. The document explicitly addresses how prior experience is credited for salary placement in Article V, Section 5.1.F. It specifies that transferring Paraprofessionals receive one interval for every two years of service, capped at five intervals. [recall-recovery]"
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?","Yes. Program: Baltimore Professional Practices and Student Learning Program (BPPSLP) / Achievement Units (AUs). Eligibility: All unit members on a Career Pathway. Formula/Criteria: Evaluation ratings determine AU awards (12 AUs for Highest rating, 9 for middle, 3 for above Developing); 12 AUs required to move one pay scale interval.","The BTU and the Board will continue to develop and facilitate the various components of the BPPSLP... evaluate for effectiveness, and to serve as a basis for compensation decisions",17,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,Teachers are evaluated using an annual evaluation system where ratings directly determine AU awards for pay advancement: Highest rating (Proficient/Highly Effective) earns 12 AUs; middle rating (Satisfactory/Effective) earns 9 AUs; any rating above Unsatisfactory earns 3 AUs; failure to issue an evaluation within time limits defaults to an Effective rating.,AU Credit for Annual Evaluation Highest rating on Evaluation ( Proficient or Highly Effective) = 12 AUs Second highest or middle rating on Evaluation (Satisfactory or Effective) = 9 AUs Any rating above Unsatisfactory or lowest rating (Developing) that requires support or intervention = 3 AUs Failure of Principal to Issue an Annual Evaluation within contractual time limits results in an Effective Rating,21,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,1% and 1.5%,"The 2016-2017 salary schedules shall be increased by 1% on July 1, 2017 and increased by 1.5% on January 1, 2019 Supplemental salary scales remain in effect and shall be increased by 1% on July 1, 2017, and increased by 1.5% on January 1, 2019",15,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,"ADDENDUM II ... Director of Athletics $5,493 ... Co-Curricular Chairperson $3,316 ... Baseball (Varsity) $3,779 ... Football (Varsity) $4,971",107,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",yes,"Teachers who minimally hold a standard professional certificate and who obtain a post graduate degree in a critical shortage area as identified by BCPSS (e.g. math, science or special education) will receive a $1,500 payment not to be added to the base rate. Such payment shall be paid at $500 per school year, in June, over a three (3) year period.",55,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",yes,"Teachers who minimally hold a standard professional certificate and who obtain a post graduate degree in a critical shortage area as identified by BCPSS (e.g. math, science or special education) will receive a $1,500 payment not to be added to the base rate. Such payment shall be paid at $500 per school year, in June, over a three (3) year period.",55,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",not_discussed,,not_applicable,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_hardtostaff_schools_012,compensation,"Does the document provide incentives specifically for teaching in hard-to-staff, high-need, Title I, or priority schools, regardless of subject?",not_discussed,,not_applicable,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_experience_credit_indistrict_013,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,not_discussed,,not_applicable,high,Verified against provided text. The appended excerpt begins on page 75 and does not contain Article 5 or salary placement schedules where experience credit is typically detailed. 'not_discussed' is accurate for this excerpt.
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_experience_credit_outofdistrict_014,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,Verified against provided text. No provisions regarding out-of-district experience credit appear in the appended excerpt.
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_experience_credit_outofstate_015,compensation,Does the document specify how out-of-state teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,Verified against provided text. No provisions regarding out-of-state experience credit appear in the appended excerpt.
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_experience_credit_military_public_016,compensation,Does the document credit military service or other public service for salary placement?,not_discussed,,not_applicable,high,Verified against provided text. No provisions regarding military or public service credit appear in the appended excerpt.
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,pay_national_board_017,compensation,Does the document provide extra pay for National Board certification or similar advanced certification?,yes,"Teachers who receive certification from the National Board for Professional Teaching Standards (NBPTS) shall receive, in addition to all other salary and differential payments due to said teachers, a sum of $4,000 in each year the teacher holds the certification.",91,high,Evidence directly and explicitly supports the 'yes' answer on page 91 (Section 18.22).
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,benefits_health_001,benefits,Does the document state that health or medical insurance is available to teachers?,yes,Employees covered by this Agreement are eligible for a Health Maintenance Organization (“HMO”) alternative to the Blue Cross/Blue Shield PPN coverage.,24,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,benefits_health_contribution_002,benefits,What employer contribution toward health insurance is stated?,"Varies by plan and date: PPN 81.5% (pre-2019)/81% (Jan 1, 2019); HMO/POS 95% (pre-2019)/94% (Jan 1, 2019). Employer also matches PPN dollar amount for HMO alternative.","81.5% of the actual premium shall be paid by the employer... Commencing January 1, 2019... 81% of the actual premium shall be paid by the employer. The employer share of the premium for HMOs and the Blue Cross/Blue Shield Point of Service (“POS”) shall be 95%... Commencing January 1, 2019... 94%.",23-24,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,benefits_health_employee_premium_003,benefits,What employee health insurance premium or contribution is stated?,"Varies by plan/tier/date: PPN 18.5% (pre-2019)/19% (Jan 1, 2019); HMO/POS 5% (pre-2019)/6% plus $5/$10/$15 per pay (Jan 1, 2019).","18.5% shall be paid by the employee. ... 19% shall be paid by the employee. ... employee share of the premium shall be 5%... 6%, plus $5.00 for individuals, $10.00 for two (2) persons, and $15.00 for families per pay.",23-24,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,benefits_dependent_health_004,benefits,"Does the document mention dependent, spouse, family, or domestic partner health coverage?",yes,"Eligible dependents under the age of 26 shall be covered by BCPSS Health Plans, General Prescription Drug, and Vision Care Programs.",24,high,
baltimore_city_public_school_system__baltimore_city_2016_2019__858d0e21,Baltimore_City_2016-2019.pdf,benefits_health_plan_type_005,benefits,What health plan types are described?,"Blue Cross/Blue Shield Preferred Provider Network (PPN), HMO, Point of Service (POS), High Deductible Health Plan.",Blue Cross/Blue Shield Preferred Provider Network (PPN) ... Health Maintenance Organization (“HMO”) alternative ... Blue Cross/Blue Shield Point of Service (“POS”) ... design and offer a High Deductible Health Plan,"23, 24, 30",high,
