document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,"In case of any conflict between the provisions of this Agreement and any Board or Federation policy, practice, procedure, custom or writing, except as provided in paragraph B.2. above, the provisions of the Agreement shall control for the period of this Agreement.",the provisions of the Agreement,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,This Agreement and amendments thereto at the time of adoption shall be distributed to all teachers of the District.,This Agreement and amendments thereto at the time of adoption,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,The terms and conditions of employment as indicated in this Agreement shall be the same for all teachers and shall be applied equally without modifications or exception unless provided herein.,The terms and conditions of employment as indicated in this Agreement,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,Negotiations shall be conducted in closed sessions.,Negotiations,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,Each party shall have a negotiating team of not more than seven (7) members.,Each party,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,All agreements reached as a result of such negotiations shall be tentative until ratification by both parties is effected pursuant to the ratification procedures as set forth in Board Policy H.1.,All agreements reached as a result of such negotiations,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,"The parties agree to meet at reasonable times, to bargain in good faith and execute a written contract incorporating any agreement reached.",The parties,other,worker,,False,active,plain,other,other,True,0.0,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,"Prior to the beginning of negotiations, the APS and ATF negotiating teams may jointly participate in training in interest-based bargaining.",the APS and ATF negotiating teams,other,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,"In the event the parties fail to reach agreement prior to the expiration date of this Agreement, they may seek mediation assistance from the Federal Mediation and Conciliation Service.",they,other,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,"The President and the Superintendent, upon mutual agreement, may identify the need for and establish the work, composition, guidelines and goals of the joint committees and task forces.",The President and the Superintendent,management,management,may,False,active,plain,permission,permission,True,0.3,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,"Such committees will address issues related to teacher compensation, professional development, evaluation and other topics mutually agreed upon by the President and the Superintendent.",Such committees,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,Reports and recommendations will be provided to the Superintendent and the President by the committee(s) and task force(s).,Reports and recommendations,management,management,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,Albuquerque Public Schools,5,"The President shall be notified, ten (10) days in advance, of the formation of a District/Joint Committee on which teachers will serve which relates to the terms and conditions of teacher employment and student discipline not covered within this Agreement.",The President,management,management,shall,False,passive,rights_passive,right,right,True,1.0,other,True,
