question_id,gold_status,required,optional,gold_pages,provision
benefits_disability_009,yes,,Rhode Island Temporary Disability Act;permanent disability;job-related disability retirement;Workers' Compensation,9;16;79,"Art. 4-9(e) (Emergency Sick Leave Bank eligibility) states a teacher receiving ""benefits pursuant to the Rhode Island Temporary Disability Act"" is ineligible for bank time; Art. 6-2 offsets paid assault leave by retirement allowance/Social Security ""in the case of permanent disability""; App. C-9.3 excepts teachers who receive a ""job-related disability retirement"" from the 10-year retiree-coverage rule. No employer-purchased short- or long-term disability insurance policy is provided anywhere in the Agreement."
benefits_health_plan_type_005,value,PPO;United Health Plan 750,Blue Cross;Physician Service;Blue Cross Classic;City Blue;$750 annual deductible;$1500 family deductible;Plan 65;Delta Dental;no HMO named,71;74;75;77;79,"Appendix C-1 provides ""Blue Cross and Physician Service plans and riders"" for teachers hired before 2004-05, with a benefit grid captioned ""Outside of PPO Network you pay"" (in-network deductible None; $100 out-of-network); C-1.1 lets those teachers buy up to Blue Cross Classic; C-2 provides ""United Health Plan 750"" for teachers hired effective September 1, 2004 with a $750 per-person/$1,500 per-family annual deductible; App. C-9 adds Plan 65 for retirees at 65 and App. E Delta Dental. No HMO is named."
class_elementary_max_002,value,26;29,average per teaching period;classroom register;K-6;student stations;large group non-academic instruction;special education classes governed by law,18;19,"Art. 8-1.1: ""Class size shall not exceed an average of 26 students enrolled on a teacher's classroom register per teaching period each school day provided that no teaching period shall have in excess of 29 students."" No level-specific elementary cap is stated; 8-1.4 confirms the Article 8 maximum applies ""at the elementary level (K-6)."" Exceptions: large-group non-academic instruction, individual teacher agreement, and special education classes governed by law; 8-1.2 caps station-based rooms at the number of student stations."
class_overage_remedy_004,yes,,Cenerini Formula;AAA Case No. 1139-0696-85;daily gross compensation divided by 26;class size overage payments;long-term substitutes in-pool to avert overages;class size monitor,18;19;3;4,"Art. 8-1.3 and 8-1.4 pay elementary special education and Art/Music/Library teachers for overages under ""the Cenerini Formula in AAA Case No. 1139-0696-85"" (daily gross compensation x number of children in excess of the 8-1.1 maximum / 26); Art. 2 assumes general ""class size overage payments"" exist and excludes B-9 stipends from them; Art. 2 allows long-term substitutes in-pool to be used ""to avert potential class size overages caused by IEP implementation""; Art. 8-1.5 funds a union-selected class-size monitor under the 1986 Superior Court decree."
conduct_acceptable_use_006,not_discussed,,,,"No employee acceptable-use, email, internet, network or computer-use rules. Vocabularies tried: lexical ""internet email computer network acceptable use""; semantic ""use of school computers and electronic mail by employees""; and a full read of the technology-adjacent clauses — Art. 8-3.2 (Data Processing: only a Board commitment to ""use technology to enhance the operation of the District""), Art. 8-14.5 (bars the employer from using the inter-communication system or electronic devices for observation/evaluation), Art. 16-4.1 (Union officers' use of school telephones and duplication equipment for union business), Art. 11-11 (postings on the district website). None imposes usage rules on employees."
conduct_ethics_002,yes,,dress code;shall not wear shorts;reflect a positive image;established professional ethics and standards;no formal code of ethics document,35;59;46,"Art. 8-24 Dress Code is a negotiated standard of conduct/appearance for teachers (""teachers shall not wear shorts, warm-up suits, torn or faded jeans... Teachers shall continue to reflect a positive image to the students and community""); the Art. 15 grievance definition makes conduct ""contrary to established professional ethics and standards"" grievable; Art. 9-2 obliges a teacher to cooperate in assault investigations and ""report all circumstances."" There is no separate code-of-ethics document incorporated by reference — judgment call, see report."
discipline_just_cause_001,yes,,good and just cause;progressive discipline;due process;just cause (sick leave abuse);reasonably related to the seriousness,35;7;36,"Art. 8-25(1) Fair Discipline Policy: ""A teacher may only be disciplined for good and just cause. A teacher shall be entitled to be provided with due process. Any sanction imposed... shall be reasonably related to the seriousness and nature of the offense and the past record of the teacher,"" with progressive discipline in 8-25(2); Art. 4-5 separately allows discipline ""for just cause"" for improper sick-leave use."
discipline_dismissal_002,yes,,Termination;Suspension;five (5) business days;statement of the causes or reasons;school board meeting or hearing;Union Representative present;4-7 shall be terminated,35;36;8,"Art. 8-25 lists Suspension and Termination among disciplinary measures and sets the procedure: all relevant evidence to the teacher and Union, a ""statement of the causes or reasons"" and all documents ""not fewer than five (5) business days prior to the scheduled [school board] meeting or hearing,"" a witness list from the teacher, and the right to Union representation; 8-25(4) preserves the board's power to suspend and/or terminate. Art. 4-7 provides that a teacher who exhausts leave and cannot return ""shall be terminated."""
evaluation_observation_count_003,discussed_unclear,,annual (non-tenured);scheduled basis (tenured);Teacher Evaluation Committee;Teacher Evaluation Handbook;no number of formal observations stated,30;31;32,"Art. 8-14 requires all teachers to be evaluated ""on a scheduled basis as determined by the Teacher Evaluation Committee""; 8-14.2 requires annual portfolio evaluation of non-tenured teachers by the second week in May and 8-14.3 evaluation of tenured teachers on the Committee's schedule; the actual evaluation procedure is delegated to the Teacher Evaluation Handbook, a separate document. 8-14.4 presupposes observations (""The principal must have observed the teacher and documented his/her observations... provided the teacher with a copy of each observation"") but no required number of formal observations appears anywhere."
evaluation_observation_duration_004,not_discussed,,,,"No observation length or minimum duration is stated. Vocabularies tried: lexical ""observation minutes duration formal observation""; semantic queries on observation practice; and a scan of every ""minute""/""period"" occurrence in the text — all are lunch periods (8-2.2), unassigned periods (8-4.1), announcement windows (8-11), or the 15-/10-minute day extensions (8-5.5, 8-5.6). Art. 8-14 delegates evaluation procedure to the Teacher Evaluation Handbook, which is not reproduced."
