question_id,gold_status,required,optional,gold_pages,provision
meta_bargaining_unit_003,value,teacher,certificated;social worker,5,"Art 1 Recognition: certificated/licensed employees, full-time classroom teachers incl. art music PE, Certified Social Workers"
meta_state_law_citations_007,value,273-A,189:14-a;542;revised statutes,6;30;33;38;45,"Five+ state-law citing sentences: RSA 273-A:1 (p6), RSA 189:14-a (p30), Art 22 E.4 (p33), RSA Ch 542 (p38), Appendix C (p45)"
meta_cites_federal_law_008,yes,,fmla;internal revenue service,11;34,"Art 5 I federal laws/IRS (p11); Art 22 NOTE on FMLA policy memorandum (p34)"
meta_federal_law_citations_009,value,fmla,internal revenue service;federal,11;34,"Named federal statute is FMLA (p34); Art 5 I invokes federal laws and the IRS (p11)"
pay_salary_schedule_002,value,2007;2010,2008;2009,42;43;44,"Appendix B holds three dated schedules FY08 (p42), FY09 (p43), FY10 (p44) inside a 7/1/2007-6/30/2010 contract"
pay_hardtostaff_sped_009,not_discussed,,,,"Verified absent: no special-education pay differential anywhere; elementary-specialist missed-prep pay is not a sped role differential"
pay_hardtostaff_other_011,yes,title i,english language;plus,42;43;44,"Appendix B index add-ons Plus.22 Title I Supervisor and Plus.15 English Language Learners Coordinator"
pay_experience_credit_military_public_016,yes,,peace corps;vista;military,32,"Art 22 B/C: salary-schedule placement as if actively employed, for military leave and Peace Corps/VISTA/National Teacher Corps"
pay_experience_credit_indistrict_013,yes,,full credit;returning,15;16,"Art 9 B.1 returning Manchester teachers receive full credit on the schedule; A.1 places newly employed per experience/education"
pay_national_board_017,discussed_unclear,,study committee;national board,14,"Art 7 C creates only a joint study committee to evaluate an NBPTS program; no stipend or differential is provided"
benefits_health_001,yes,,blue choice,12;13,"Art 6 A provides Hospital/Medical coverage under Blue Cross-Blue Shield Blue Choice; B.2 covers teachers from first day"
benefits_health_contribution_002,value,87.5;95,50;85,12;50,"Art 6 B.1 employer pays up to 87.5% Blue Choice and 95% of an approved optional plan; Appendix J items 4/9 add job-share splits (teachers' share 50% of District share; 85%/15% option)"
benefits_health_employee_premium_003,value,87.5,12.5;95;85;15;one-half,9;12;50,"Employee share implied by Art 6 B.1 87.5%/95% employer caps; Art 5 gives part-time secondary one-half of Art 6 benefits (p9); Appendix J item 9 insurance at 85%/15% (p50)"
benefits_dependent_health_004,not_discussed,,,,"Verified absent: no clause extends health coverage to dependents/spouse/family; Art 5 I Dependent Care Reimbursement Plan is an FSA, a different provision"
benefits_health_plan_type_005,value,blue choice,matthew thornton;option,12;13,"Two named plans: Blue Cross-Blue Shield Blue Choice with Option I/II co-pays (p12) and Matthew Thornton Blue Benefit Plan replacing Classic (p13)"
leave_sick_days_001,value,15,pro-rated;job shar,28;50;51,"Art 20 A.1: 1-1/2 days per month but not more than fifteen (15) sick days in the entire year; Appendix J job sharers get half days pro-rated"
leave_sick_accrual_002,value,120,,28,"Art 20 A.1: sick leave accumulates year to year with a maximum limit of one hundred twenty (120) days"
leave_sick_family_003,yes,,5,28,"Art 20 A.1 expressly permits sick leave to care for sick family members for up to five (5) days"
leave_personal_restrictions_005,value,5,vacation;pressing;advance,30;31,"Art 21 A.1: request five school days in advance, emergency call-in, sound pressing and unavoidable reasons only, not to extend a vacation week or long weekend"
leave_personal_conversion_006,yes,,bonus day;cash;per diem,29;30;31,"Art 21 A.2 (p31) earns a bonus day for a year with no personal and no sick leave, under Art 20 D (pp29-30) which lets the bonus be taken as a per-diem cash payment or a day off. Reviewer named both articles as the provision, so both pages are gold"
leave_bereavement_days_007,value,5,1;estate,31,"Art 21 D: five consecutive days for death in the immediate family plus one day for the funeral of a relative not listed"
leave_bereavement_relatives_008,value,spouse;parent,children;brother;sister;in-law,31,"Art 21 D defines immediate family as spouse, parents, children, brothers, sisters, mother/father-in-law, or blood relative or ward residing in the same house"
leave_absence_reporting_013,yes,,substitute;calling in;physician,17;18;20;28;29;30,"Art 21 A.1 normal sick leave procedure for calling in (p30); Art 12 A.3 substitute effort (p20); Art 20 A physician certificate after three days (pp28-29); Art 9 F substitute call lists"
workload_workday_length_002,value,15,teacher day;dismissal,19;20,"Art 12 A.1 no change may increase the length of the teacher day; A.2.a fifteen minutes before admission (p19) and A.2.b fifteen minutes after dismissal (p20); no total-hours figure stated"
workload_prep_minutes_004,value,45;30,five;period,21,"Art 12 C.2 secondary daily prep of one class period; C.3 elementary five preps weekly of not less than forty-five minutes; C.5 elementary specialists five preps of no less than 30 minutes"
workload_lunch_minutes_007,value,20,duty-free;elementary,21,"Art 12 C.1: secondary duty-free lunch with no stated duration; elementary duty-free lunch of at least twenty (20) minutes. The 30-minute Art 5 A.2.a figure governs extended-year work, not the regular lunch"
evaluation_procedure_001,yes,,observation;handbook;conference,25;26,"Art 15 A-B.3 details monitoring/observation, evaluation per the Evaluation Handbook, pre-observation meeting, report within fifteen working days, conference before any Professional Assessment Instrument"
evaluation_system_002,value,evaluation handbook,interim assessment;professional assessment instrument,25,"Art 15 B.1 names the Evaluation Handbook; p25 also names the Interim Assessment and the Professional Assessment Instrument. No external vendor framework is named"
evaluation_improvement_plan_007,yes,,corrective action;assistance;deficien,25,"Art 15 A and B.3: deficiencies shall immediately be brought to the teacher's attention and the supervisor shall determine appropriate corrective action and provide assistance"
security_probation_001,yes,,permanent;temporary,15,"Art 9 A.4 defines permanent as for the remainder of the work year in which the vacancy occurs; A.5/A.7 describe temporary replacement and assignment"
security_probation_length_009,value,3,continuous employment;year to year,19,"Art 11 B.2-B.3: automatic annual renewal during the first three years of continuous employment, continuing year to year thereafter. Restates the NH RSA 189:14-a baseline"
security_voluntary_transfer_004,yes,,march 1;seniority;request,24;25,"Art 14 F: written request by March 1 for change of school and/or grade, an 11-year May 4 option for April 20 postings, ten granted on seniority, remainder at the Superintendent's discretion"
security_involuntary_transfer_005,yes,,notice;superintendent;vacanc,22;23,"Art 13 INVOLUNTARY TRANSFER A-G: notice of reason, optional meeting with the Superintendent, area of competence, vacancy notice and preference, visit time, fifteen-work-day resignation right, grievability"
security_rif_006,yes,,seniority;classification;recall,16;17;18,"Art 9 C.1-C.9: layoff by seniority within classification, inverse order with lottery tiebreak, seniority lists, recall and a 24-month recall list"
conduct_curriculum_autonomy_008,yes,,academic freedom;textbook,26;35,"Art 17 C academic freedom is basic to attainment of educational goals (p26); Art 24 B.2-B.3 textbook and new-program notice with an Association committee seat, Board final determination (p35)"
conduct_political_activity_010,yes,,political;disciplinary;mailbox,26;27,"Art 17 B protects religious or lawful political activity outside duty hours and off school property from disciplinary action; Art 18 C bars political matter in Association mailbox material (p27)"
pd_teacher_leadership_002,yes,,mentor;committee;coordinator,14;21;31;41;42;43;44;52,"Appendix A.A mentor program and A.B ESEA joint committee (p41); Appendix B Plus.33 Mentors and Plus.22 Building Level Instructional Coordinators (pp42-44); Art 7 C NBPTS committee (p14); DISCO (p31); Appendix K joint committees (p52)"
pd_career_ladder_003,yes,,promotion;supervisor;coordinator,21;23;24;42;43;44,"Art 14 A.1 enumerates in-unit promotional positions (Reading Supervisors, Teaching Assistant Principals, Building Level Instructional Coordinator); Appendix B attaches index differentials to those roles (pp42-44)"
