document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Code CBA,AGREEMENT BETWEEN THE RED CLAY CONSOLIDATED SCHOOL DISTRICT BOARD OF EDUCATION AND THE RED CLAY EDUCATION ASSOCIATION,1,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"September 1, 2011 through August 31, 2014","September 1, 2011 through August 31, 2014",1,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"certificated non-administrative employees (excluding supervisory, staff, and substitute teachers)","1:2.2 An ""employee"" as used in the Agreement will mean any certificated non-administrative individual employed under a contract to the school district, not including supervisory or staff personnel or substitute teachers",3,high,"Updated evidence to Section 1:2.2 to explicitly include the exclusion of substitute teachers, directly supporting the coded answer."
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,This Agreement incorporates the entire understanding of the parties on all matters which were or could have been the subject of negotiation.,3,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"pursuant to and consistent with Chapter 40, Title 14, Delaware Code",3,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"WHEREAS, the Board has an obligation, pursuant to and consistent with Chapter 40, Title 14, Delaware Code, to negotiate with the Association as the representative of employees hereinafter designated, and
1:1 The Board hereby recognizes the Association as the exclusive negotiating representative of the certificated non-administrative employees, not including supervisory or staff personnel of the District, in all matters specified in Chapter 40, Title 14, Delaware Code, unless another provision of the Delaware Code supersedes this section.
2:6 The parties agree to enter into negotiations over a successor Agreement pursuant to and consistent with Chapter 40, Title 14, Delaware Code.
4:3 Nothing contained herein will be construed to deny or restrict to any employee such rights as may be held under Delaware School Laws or other applicable laws.
4:5 Where a professional employee is terminated pursuant to Title 14, the employee will be removed from the payroll on the effective date contained in the Board's notification of intent to terminate.
8:1 The personal life of an employee, other than that which is covered by Delaware Code, Chapter 14, Title 14, will not concern the Board.
10:10 Except as limited by this Agreement, the Red Clay Consolidated School District Board, on its own behalf and on behalf of the citizens of the District hereby retains and reserves unto itself all powers, rights, authority, duties, and responsibilities conferred upon and vested in it by the laws and the Constitution of the State of Delaware and of the United States, and including the right to administer and to supervise the schools of the District and will have the authority to determine policy and adopt rules and regulations for the general administration and supervision of the schools of the District.
10:11 The Board, subject to Delaware Code and in accordance with the policies, rules and regulations of the State Board of Education, will in addition to other duties:","WHEREAS, the Board has an obligation, pursuant to and consistent with Chapter 40, Title 14, Delaware Code, to negotiate... 1:1 ...in all matters specified in Chapter 40, Title 14, Delaware Code... 2:6 ...pursuant to and consistent with Chapter 40, Title 14, Delaware Code... 4:3 ...Delaware School Laws or other applicable laws... 8:1 ...covered by Delaware Code, Chapter 14, Title 14... 10:10 ...vested in it by the laws and the Constitution of the State of Delaware...",3,high,Evidence updated to consolidate the multiple state law/statute citations cited in the answer for better traceability.
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","3:6.6 (a) Matters covered by Delaware law or by federal law;
10:10 Except as limited by this Agreement, the Red Clay Consolidated School District Board, on its own behalf and on behalf of the citizens of the District hereby retains and reserves unto itself all powers, rights, authority, duties, and responsibilities conferred upon and vested in it by the laws and the Constitution of the State of Delaware and of the United States, and including the right to administer and to supervise the schools of the District and will have the authority to determine policy and adopt rules and regulations for the general administration and supervision of the schools of the District.",3:6.6 (a) Matters covered by Delaware law or by federal law; ... 10:10 ...vested in it by the laws and the Constitution of the State of Delaware and of the United States...,5,high,Evidence updated to include both cited instances referencing federal law and U.S. Constitution.
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Federal law; Constitution of the United States,3:6.6 (a) Matters covered by Delaware law or by federal law; ... 10:10 ...vested in it by the laws and the Constitution of the State of Delaware and of the United States...,5,high,Evidence updated to explicitly support both 'Federal law' and 'Constitution of the United States' identified in the answer.
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,"Yes. Schedule Title: Local Teacher Salary Schedule; Covered Years: Fiscal Years 12, 13, and 14; Covered Group: Full-time teachers/locals; Location: Appendices A, B, and C (pages 36-38).","plus supplements as set forth in Appendices A, B, and C which are attached. LOCAL TEACHER SALARY SCHEDULE","32, 36, 37, 38",high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,"Fiscal Years 12, 13, and 14. Multiple schedules are included, aligned with the agreement's effective term of September 1, 2011 through August 31, 2014.",LOCAL TEACHER SALARY SCHEDULE Fiscal Year 12 Fiscal Year 13 Fiscal Year 14,"36, 37, 38",high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,"Employees will receive a $500 longevity increment beginning the 26th year of credited experience. Effective September 1, 2003, employees will receive a $250 longevity increment beginning the 21st year of credited experience. Employees will receive an additional $500 longevity increment beginning in the 26th year of credited experience. Such longevity increment will become a permanent part of the employee's salary and be paid each year thereafter.",33,high,"Revised from 'not_discussed' to 'yes'. Section 26:8 explicitly details longevity salary increments, satisfying the 'or salary increments' clause in the question. The original answer missed this provision. [recall-recovery]"
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",not_discussed,,not_applicable,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_applicable,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,Yes. 1.5% for FY12; 2% for FY13 and FY14. Covers local teacher salary schedule.,LOCAL BASED ON 188 DAY TEACHER SCHEDULE AND A 1.5% INCREASE; LOCAL BASED ON 188 DAY TEACHER SCHEDULE AND A 2% INCREASE,"36, 37, 38",high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,The Extra Pay for Extra Responsibility salaries are set forth as Appendix D which is attached.,32,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",not_discussed,,not_applicable,high,
red_clay_consolidated_school_district__red_clay_2011_2014__000cca47,Red_Clay_2011-2014.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",not_discussed,,not_applicable,high,
