document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,The Fresno Unified School District shall employ only persons qualified as stipulated in the Education Code to teach in Adult Education.,The Fresno Unified School District,management,management,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,Preference shall be given to qualified bargaining unit members currently employed by the District,Preference,management,worker,shall,False,passive,rights_passive,right,right,True,1.0,other,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,This shall not be construed or administered so as to staff classes with normal and usual course contents with personnel other than district bargaining unit members.,This,other,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,other,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,"Adult School teachers shall be evaluated annually during the first year of employment, and at least every other year thereafter by the Adult School principal or designee.",Adult School teachers,management,management,shall,False,passive,plain,obligation,obligation,True,1.0,evaluation,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,"The District shall develop and maintain a record of adult school unit member employees, their assignments, employment relationship and tenure status, hours employed and potential compensation.",The District,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,Copies of this record shall be transmitted to the Association with the necessary data to maintain its duty of representation for these unit members.,Copies of this record,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,Sick leave will be accumulated at the rate of one hour for every 18 hours of paid employment.,Sick leave,other,worker,will,False,passive,plain,obligation,obligation,True,0.9,benefits,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,Sick Leave for full-time teachers shall be accumulated at one day per month of employment.,Sick Leave for full-time teachers,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,benefits,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,4,"The work year will consist of 196 days for teachers in open entry/open exit programs (including but not limited to the ABE, ESL, GED programs).",The work year,other,worker,will,False,active,plain,obligation,obligation,True,0.9,workload,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,5,"Based on program need, the District may designate a work year different than 196 days for teachers on special assignment, non-open entry/ open exit programs, or resource positions.",the District,management,management,may,False,active,plain,permission,permission,True,0.3,workload,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,5,A summer school session will be offered.,A summer school session,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,5,Teacher assignments will be offered at the same rate of pay as that of the regular session,Teacher assignments,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,compensation,True,
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__6e67ecb0,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,Fresno Unified School District,5,and will be assigned by program need.,Teacher assignments,management,management,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
