document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,MASTER AGREEMENT Between THE OMAHA EDUCATION ASSOCIATION and DOUGLAS COUNTY SCHOOL DISTRICT NO. 0001,1,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2013-2014 to 2015-2016,shall be effective the first day of 2013-14 employee contract year and remain in effect until the first day of 2015-2016 employee contract year.,1,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Certificated staff / teachers,The Board of Education recognizes exclusively the Omaha Education Association for the purpose of representing the district's certificated staff,8,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,This two- year agreement is entered into by and between the Board of Education of Douglas County School District no. 0001 and the Omaha Education Association and shall be effective the first day of 2013-14 employee contract year and remain in effect until the first day of 2015-2016 employee contract year.,1,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"In accord with Nebraska Revised Statutes (79-872, 79-873)",5,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"""Changes required to federal and state withholdings will be made as mandated by statute or regulations."" | ""...involving foundational value judgments concerning the educational philosophy of the School District and any other rights and responsibilities reserved to the Board of Education and administration by the statutes of the State of Nebraska."" | ""In accord with Nebraska Revised Statutes (79-872, 79-873), upon request of any teacher, a deduction in the amount specified by the teacher shall be withheld each pay period from his or her wages and paid over to the professional or labor organization to which he or she belongs."" | ""The Board of Education recognizes exclusively the Omaha Education Association for the purpose of representing the district's certificated staff, except those exempted by state statutes, for the purposes of negotiating and discussing those items which comply with the Nebraska Commission of Industrial Relations Act.""","""...involving foundational value judgments concerning the educational philosophy of the School District and any other rights and responsibilities reserved to the Board of Education and administration by the statutes of the State of Nebraska."" | ""In accord with Nebraska Revised Statutes (79-872, 79-873), upon request of any teacher, a deduction in the amount specified by the teacher shall be withheld each pay period from his or her wages and paid over to the professional or labor organization to which he or she belongs."" | ""The Board of Education recognizes exclusively the Omaha Education Association for the purpose of representing the district's certificated staff, except those exempted by state statutes, for the purposes of negotiating and discussing those items which comply with the Nebraska Commission of Industrial Relations Act.""","3, 5, 8",high,"Updated evidence to include all three passages citing state statutes/laws. Corrected page numbers to match document pagination (3, 5, 8)."
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","""Changes required to federal and state withholdings will be made as mandated by statute or regulations.""","""Changes required to federal and state withholdings will be made as mandated by statute or regulations.""",2,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,None specified; only a general reference to federal statutes and regulations regarding withholdings.,"""Changes required to federal and state withholdings will be made as mandated by statute or regulations.""",2,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,The salary of each teacher covered by this Agreement shall be determined by the appropriate salary schedules attached to this Agreement.,17,high,"Corrected from 'no' to 'yes'. The quoted evidence explicitly states that salary schedules are attached to the Agreement, which directly contradicts the original 'no' answer and confirms the provision exists."
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2013-14 and 2014-15,"NOTE: Salaries and health insurance for covered employees (classroom teachers, nurses, teacher leaders, and helping and lead teachers) will increase an average of 3.0% in 2013-14. ... There will be an additional across the board supplement of $1,200 for the 2013-14 and 2014-15 contract year for teachers, nurses, teacher leaders, and helping and lead teachers who reached the top step prior to 2013-14 and 2014-15.",15,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,Part-time certificated staff with a .5 FTE or more may advance one step on the salary schedule for each two years of creditable part-time service.,21,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"Teachers and nurses may, at the time of their employment in the public schools, receive credit on their respective salary schedule for one, two, three, four, five, six, seven, eight, nine or ten years of successful experience in schools whose standards are the same as those of the Omaha Schools. (At the discretion of the Superintendent of Schools in individual cases involving special qualifications, the credit for experience may be granted for as many as ten years.)",8,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",no,"Pages 51-52 state OPS and OEA 'agree to complete a joint study of the feasibility of studying the use of funds... to Performance Based Pay Plans' and that recommendations will be provided 'for purposes of bargaining a contract to implement a mutually agreeable pay for performance plan', indicating it is not currently implemented.",51-52,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_applicable,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,"3.0% average increase; $1,200 across-the-board supplement for 2013-14 and 2014-15; covers classroom teachers, nurses, teacher leaders, and helping/lead teachers.","NOTE: Salaries and health insurance for covered employees (classroom teachers, nurses, teacher leaders, and helping and lead teachers) will increase an average of 3.0% in 2013-14. There will be an additional across the board supplement of $1,200 for the 2013-14 and 2014-15 contract year for teachers, nurses, teacher leaders, and helping and lead teachers who reached the top step prior to 2013-14 and 2014-15.",16,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,Bargaining unit members will receive compensation at .0009 x the Extra-Duty Base per hour for each additional event they are required to attend. 1. Summer School Teachers (15D) Certificated teachers shall be paid .0009 x the Extra Duty Base (rounded to the nearest 25cents) per hour $28.00 for 2013-14. 6. Curriculum Writing Certificated teachers shall be paid .0009 x the Extra Duty Base per hour $27.90 for 2013-14,"11, 15, 17",high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",not_discussed,,not_applicable,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",not_discussed,,not_applicable,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",not_discussed,,not_applicable,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_hardtostaff_schools_012,compensation,"Does the document provide incentives specifically for teaching in hard-to-staff, high-need, Title I, or priority schools, regardless of subject?",yes,At Wilson Focus School the additional amount is 12.85%.,53,medium,"Stage 1 evidence quote explicitly indicates a location-based compensation addition, supporting 'yes'. Document text provided is truncated (ends page 18), so full context for Wilson Focus School criteria is not visible here, but the verbatim quote sufficiently supports the coded answer."
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_experience_credit_indistrict_013,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,yes,"Teachers and nurses may, at the time of their employment in the public schools, receive credit on their respective salary schedule for one, two, three, four, five, six, seven, eight, nine or ten years of successful experience in schools whose standards are the same as those of the Omaha Schools.",8,high,Changed to 'yes' because the evidence explicitly specifies the credit mechanism (up to 10 years) for qualifying experience.
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_experience_credit_outofdistrict_014,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,discussed_unclear,"Teachers and nurses may, at the time of their employment in the public schools, receive credit on their respective salary schedule for one, two, three, four, five, six, seven, eight, nine or ten years of successful experience in schools whose standards are the same as those of the Omaha Schools.",8,medium,Evidence does not explicitly differentiate out-of-district/in-state experience; it only sets a conditional standard ('schools whose standards are the same'). Maintained as discussed_unclear.
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_experience_credit_outofstate_015,compensation,Does the document specify how out-of-state teaching experience is credited for salary placement?,not_discussed,,not_applicable,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_experience_credit_military_public_016,compensation,Does the document credit military service or other public service for salary placement?,yes,"An employee on leave for military service may receive credit, not to exceed three years, for time spent in military service toward advancement in salary or wages on the regular salary schedule. In time of peace the person must have been drafted to receive such credit.",7,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,pay_national_board_017,compensation,Does the document provide extra pay for National Board certification or similar advanced certification?,not_discussed,,not_applicable,high,
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,benefits_health_001,benefits,Does the document state that health or medical insurance is available to teachers?,Yes. Available to all full-time certificated employees and part-time certificated staff with .5 FTE or more under the Blue Cross/Blue Shield Blue Preferred (PPO) Plan.,The School District is currently providing Blue Cross/Blue Shield Blue Preferred (PPO) Plan to all full-time employees. Part-time certificated staff with a .5 FTE or more are eligible to receive full health and accident insurance benefits according to the policies governing participation by full-time employees.,"28, 21",high,"Updated evidence to include the explicit part-time eligibility provision from page 21, as the original quote only covered full-time employees."
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,benefits_health_contribution_002,benefits,What employer contribution toward health insurance is stated?,100% of the employee premium for full-time employees; 60% of the dependent premium for eligible full-time employees; 50% of the premium for part-time employees.,"The School District shall pay the equivalent of 100% of the employee premium under an employee Preferred Provider Organization Group Hospital-Surgical-Major Medical Insurance Plan... Effective September 1, 2006, the School District shall pay the equivalent of 60% of the dependent premium under an Employee Preferred Provider Organization Group Hospital-Surgical-Major Medical Insurance Plan... Board of Education will pay 50% of premium cost.","28, 21",high,None
omaha_public_schools__2013_2014_master_agreement_omaha__fe2e1c57,2013-2014_MASTER_AGREEMENT_Omaha.pdf,benefits_health_employee_premium_003,benefits,What employee health insurance premium or contribution is stated?,Full-time employees pay $0 for employee-only coverage; part-time employees pay 50% of the premium cost.,The School District shall pay the equivalent of 100% of the employee premium under an employee Preferred Provider Organization Group Hospital-Surgical-Major Medical Insurance Plan... Board of Education will pay 50% of premium cost. Employee will pay 50% of premium cost.,"28, 21",high,None
