document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,3,"members should inform the Union office of a current, non-BPS email address",members,worker,worker,should,False,active,plain,obligation,obligation,True,0.7,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,3,"notify the union office of any change of email address, home mailing address or phone number.",members,worker,worker,should,False,active,plain,obligation,obligation,True,0.7,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,3,Any violations occurring in your school should be reported to your building representative,Any violations occurring in your school,worker,worker,should,False,passive,plain,obligation,obligation,True,0.7,discipline,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,3,"should be presented to your principal, headmaster, or director.",Any violations occurring in your school,worker,worker,should,False,passive,plain,obligation,obligation,True,0.7,discipline,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,3,the Union office should be notified.,the Union office,worker,worker,should,False,passive,plain,obligation,obligation,True,0.7,discipline,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,3,the grievance should be reported to the Union office,the grievance,worker,worker,should,False,passive,plain,obligation,obligation,True,0.7,discipline,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,3,initiated at the proper level.,the grievance,worker,worker,should,False,passive,plain,obligation,obligation,True,0.7,discipline,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,4,"As BTU members, we have the right to union protection and representation.",we,worker,worker,,False,active,rights_active,right,right,True,0.85,teacher_rights_and_conduct,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,4,Management must answer you truthfully if you ask.,Management,management,worker,must,False,active,obligation_verb,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,4,You do not need to answer questions or make statements until a union representative is present.,You,worker,worker,need,True,active,plain,prohibition,right,False,0.7,teacher_rights_and_conduct,True,Negation expressed via auxiliary 'do not need to'.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,4,You have a right to stop a meeting if you feel that is may lead to discipline,You,worker,worker,may,False,active,rights_active,right,right,True,0.3,teacher_rights_and_conduct,True,Typo in original text: 'that is may'.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,4,and request a union representative.,You (implied),worker,worker,,False,active,plain,other,right,False,0.0,teacher_rights_and_conduct,True,Elliptical clause; subject omitted.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,4,you can offer to reschedule for when one can be present.,you,worker,worker,can,False,active,permission_verb,permission,permission,True,0.3,teacher_rights_and_conduct,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,35,"To this end, the Union will from time to time present to the Committee or its designated representatives, views and suggestions on certain school problems clearly within its knowledge and province as the agency in the school system having the closest overall contact with the classroom teacher.",the Union,worker,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,35,Periodic consultation will take place without trespass or interference upon the distinct and special powers and duties of either party in the process.,Periodic consultation,other,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,35,"Except as otherwise provided in this Agreement, the Committee and the Superintendent retain all powers, rights, duties, and authority that they had prior to entering into this Agreement or its predecessors.",the Committee and the Superintendent,management,management,,False,active,plain,other,right,False,0.0,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,36,the Committee will continue its policies as outlined herein.,the Committee,management,management,will,False,active,plain,obligation,obligation,True,0.9,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,36,"With respect to matters not covered by this Agreement which are mandatory subjects for collective bargaining, the Committee agrees it will make no changes without prior consultation and negotiation with the Union.",the Committee,management,worker,will,True,active,plain,prohibition,prohibition,True,0.9,other,True,contains embedded obligation 'it will make no changes...'
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,36,"In any matter not covered in this Agreement which is a mandatory subject for collective bargaining, the Union may raise such issue with the Committee for consultation and negotiation;",the Union,worker,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,36,"except that (other than as set forth later in this section E) the Union shall not renew or seek to renew any question introduced, debated, and settled, either negatively or affirmatively, during the bargaining prior to final settlement.",the Union,worker,management,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,follows semicolon
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,36,This restriction shall not apply to the areas outlined in section C above as subjects for continuing consultation.,This restriction,other,worker,shall,True,active,plain,prohibition,other,False,1.0,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,36,"Being a mutual Agreement, this instrument may be amended at any time by mutual consent.",this instrument,other,management,may,False,passive,permission_verb,permission,permission,True,0.3,other,True,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,Boston Public Schools,36,"then such provision shall not be applicable or performed or enforced, except to the extent permitted by law,",such provision,other,management,shall,True,passive,plain,prohibition,prohibition,True,1.0,other,True,
