document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,this Contract; this Agreement,13,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2017-2020,Document filename: UTD_2017-2020_Agreement.pdf,not_applicable,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,UTD / instructional employees / teachers / certificated staff,UTD; unit members; instructional personnel,18,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding agreement/contract,this Contract; this Agreement,13,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"Text is fully extractable with clear formatting, headers, section labels, and page numbers.",not_applicable,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"Florida Statutes, Chapter 1012; State Board Rule 6A-4; Florida Statute 1006.062",20-22,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"This Contract is negotiated under Florida Statutes, Chapter 447, Part II, in order to fix for its duration, wages, hours, and terms and conditions of employment.
Aggrieved Employee -- The aggrieved employee shall mean any full-time or part-time member of the bargaining unit, as certified, pursuant to Florida Statutes, Section 447.307.
Bargaining Agent -- The bargaining agent shall mean the employee organization certified as the exclusive bargaining agent pursuant to Florida Statutes, Section 447.307.
School Board -- The School Board of Miami-Dade County, Florida, the duly-elected board established under the Florida Constitution, Article IX, Section 4, and Florida Statutes, 1001.32, which has the responsibility for the organization and control of the public schools of Miami-Dade County.
S. State Board Rules -- That body of rules adopted by the Department of Education of the State of Florida and directives issued by the Commissioner of the Department of Education to clarify and implement state statutes which relate to education in the State of Florida.
Pursuant to the provisions of the Public Employees Relations Act, hereinafter referred to as PERA, Florida Statutes, Chapter 447 et. seq., the Board and the Union enter into this Contract.
All references to the Federal and State Constitution(s), with respect to constitutional employee rights, Florida State Statutes, State Department of Education and State Board Rules, Public Employees Relations Commission Rules, rulings and decisions, are incorporated and made a part of this Contract.
The Board agrees to comply with all state statutes affecting education and with all State Department of Education and State Board Rules and other state agency rules which affect education, and accepts the rules as minimum standards.
Unless and until such amendment is enacted or adopted and becomes effective, the conflicting provision of the collective bargaining contract shall not become effective. (Reference, Florida Statutes, Chapter 447.309 (3). For the purpose of this Contract, all references made to Florida Statutes, Chapter 447 shall utilize the language and definitions of Florida Statutes, Chapter 447).
In accordance with Florida Statutes, Chapter 447, and the Public Documents Law, collective bargaining data and related materials shall be provided to the Union upon request in reasonable quantities, as available.
All the provisions of this Contract shall be subject to Florida Statutes, Chapter 447, including its prohibitions against strikes.
All continuing contract teachers and all annual contract teachers who earned continuing contracts on or before July 1, 1984 shall retain continuing contract status under the provisions of Florida Statutes, unless the employee voluntarily relinquishes continuing contract status in consideration of additional compensation and/or benefits.
Any employee who agrees to relinquish continuing contract status will be issued an annual contract, as established in Florida Statutes and in accordance with Article XIII, Section 6.
All professional service contract teachers who have earned professional service contracts on or before July 1, 2011, shall retain professional service contract status under the provisions of Florida Statutes, unless the employee voluntarily relinquishes status in consideration of additional compensation.
Any employee who agrees to relinquish professional service contract status will be issued an annual contract, as established in Florida Statutes and in accordance with Article XIII, Section 6.
Beginning July 1, 2011, an annual contract may be awarded to teachers who have successfully completed a probationary contract year with the Board or who have received one or more annual contracts from the Board, as established in the Florida Statutes and in accordance with Article XIII, Section 5.
Beginning July 1, 2011, each individual newly hired as a teacher by the Board shall be awarded a probationary contract for a period of one (1) school year, as established in Florida Statutes. A probationary contract shall be awarded regardless of previous employment in another school district or state.
It is expressly understood and agreed that all rights and responsibilities of the Board and Superintendent, as established now and through subsequent amendment or revision by constitutional provision, state and federal statutes, State Board Rules and Board Policies, shall continue to be exercised exclusively by the Board and Superintendent without prior notice or negotiations with the Union, except as specifically and explicitly provided for by the stated terms of this Contract.","This Contract is negotiated under Florida Statutes, Chapter 447, Part II, in order to fix for its duration, wages, hours, and terms and conditions of employment.
Aggrieved Employee -- The aggrieved employee shall mean any full-time or part-time member of the bargaining unit, as certified, pursuant to Florida Statutes, Section 447.307.
Bargaining Agent -- The bargaining agent shall mean the employee organization certified as the exclusive bargaining agent pursuant to Florida Statutes, Section 447.307.
School Board -- The School Board of Miami-Dade County, Florida, the duly-elected board established under the Florida Constitution, Article IX, Section 4, and Florida Statutes, 1001.32, which has the responsibility for the organization and control of the public schools of Miami-Dade County.
S. State Board Rules -- That body of rules adopted by the Department of Education of the State of Florida and directives issued by the Commissioner of the Department of Education to clarify and implement state statutes which relate to education in the State of Florida.
Pursuant to the provisions of the Public Employees Relations Act, hereinafter referred to as PERA, Florida Statutes, Chapter 447 et. seq., the Board and the Union enter into this Contract.
All references to the Federal and State Constitution(s), with respect to constitutional employee rights, Florida State Statutes, State Department of Education and State Board Rules, Public Employees Relations Commission Rules, rulings and decisions, are incorporated and made a part of this Contract.
The Board agrees to comply with all state statutes affecting education and with all State Department of Education and State Board Rules and other state agency rules which affect education, and accepts the rules as minimum standards.
Unless and until such amendment is enacted or adopted and becomes effective, the conflicting provision of the collective bargaining contract shall not become effective. (Reference, Florida Statutes, Chapter 447.309 (3). For the purpose of this Contract, all references made to Florida Statutes, Chapter 447 shall utilize the language and definitions of Florida Statutes, Chapter 447).
In accordance with Florida Statutes, Chapter 447, and the Public Documents Law, collective bargaining data and related materials shall be provided to the Union upon request in reasonable quantities, as available.
All the provisions of this Contract shall be subject to Florida Statutes, Chapter 447, including its prohibitions against strikes.
All continuing contract teachers and all annual contract teachers who earned continuing contracts on or before July 1, 1984 shall retain continuing contract status under the provisions of Florida Statutes, unless the employee voluntarily relinquishes continuing contract status in consideration of additional compensation and/or benefits.
Any employee who agrees to relinquish continuing contract status will be issued an annual contract, as established in Florida Statutes and in accordance with Article XIII, Section 6.
All professional service contract teachers who have earned professional service contracts on or before July 1, 2011, shall retain professional service contract status under the provisions of Florida Statutes, unless the employee voluntarily relinquishes status in consideration of additional compensation.
Any employee who agrees to relinquish professional service contract status will be issued an annual contract, as established in Florida Statutes and in accordance with Article XIII, Section 6.
Beginning July 1, 2011, an annual contract may be awarded to teachers who have successfully completed a probationary contract year with the Board or who have received one or more annual contracts from the Board, as established in the Florida Statutes and in accordance with Article XIII, Section 5.
Beginning July 1, 2011, each individual newly hired as a teacher by the Board shall be awarded a probationary contract for a period of one (1) school year, as established in Florida Statutes. A probationary contract shall be awarded regardless of previous employment in another school district or state.
It is expressly understood and agreed that all rights and responsibilities of the Board and Superintendent, as established now and through subsequent amendment or revision by constitutional provision, state and federal statutes, State Board Rules and Board Policies, shall continue to be exercised exclusively by the Board and Superintendent without prior notice or negotiations with the Union, except as specifically and explicitly provided for by the stated terms of this Contract.",1-9,high,"Answer accurately extracts all state law and statute citations from Articles I, II, IV, and V. Updated evidence field to include the full extracted text for direct verification against the source."
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","The parties state their commitment to work cooperatively in the implementation of the provisions of Title VI and Title VII of the Civil Rights Act of 1964, as amended; Title IX of the Education Amendments of 1972; the Age Discrimination Act of 1967, as amended; Section 504 of the Rehabilitation Act of 1973; the Americans With Disabilities Act of 1990; the Veterans Preference Act 5, U.S.C., Section 2108 et. seg.; Family and Medical Leave Act of 1993, 29 U.S.C., Section 2601 et. seg. and the Florida Educational Equity Act, Chapter 1000.05, Florida Statutes.","The parties state their commitment to work cooperatively in the implementation of the provisions of Title VI and Title VII of the Civil Rights Act of 1964, as amended; Title IX of the Education Amendments of 1972; the Age Discrimination Act of 1967, as amended; Section 504 of the Rehabilitation Act of 1973; the Americans With Disabilities Act of 1990; the Veterans Preference Act 5, U.S.C., Section 2108 et. seg.; Family and Medical Leave Act of 1993, 29 U.S.C., Section 2601 et. seg. and the Florida Educational Equity Act, Chapter 1000.05, Florida Statutes.",11,high,Evidence explicitly and verbatim supports the answer. No changes needed.
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"Title VI and Title VII of the Civil Rights Act of 1964; Title IX of the Education Amendments of 1972; Age Discrimination Act of 1967; Section 504 of the Rehabilitation Act of 1973; Americans With Disabilities Act of 1990; Veterans Preference Act (5 U.S.C., Section 2108); Family and Medical Leave Act of 1993 (29 U.S.C., Section 2601).","The parties state their commitment to work cooperatively in the implementation of the provisions of Title VI and Title VII of the Civil Rights Act of 1964, as amended; Title IX of the Education Amendments of 1972; the Age Discrimination Act of 1967, as amended; Section 504 of the Rehabilitation Act of 1973; the Americans With Disabilities Act of 1990; the Veterans Preference Act 5, U.S.C., Section 2108 et. seg.; Family and Medical Leave Act of 1993, 29 U.S.C., Section 2601 et. seg. and the Florida Educational Equity Act, Chapter 1000.05, Florida Statutes.",11,high,"Evidence explicitly supports the answer. The answer correctly isolates only the federal statutes from the full sentence, omitting the state statute."
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,"Yes. Title: 'A0 Salary Schedule' (and 'Credential Payments'). Covered year: Effective July 1, 2015 (schedule base), effective September 1 annually thereafter. Covered employee group: Certificated employees (10-month, 12-month, Adult/Vocational, and part-time hourly). Page/Appendix: Appendix E, pages 211, 217-218.","Salaries for certificated employees shall be incorporated utilizing a minimum and a maximum (min/max) salary schedule. ... Section 3. Salary Schedule ... A0 Salary Schedule ... Effective July 1, 2015 all instructional personnel in M-DCPS are incorporated on the A0 Salary Schedule.","211, 217",high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,first day of the 10-month work year,The effective date of the salary schedule shall be the first day of the 10-month work year.,68,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,"Eligible paraprofessionals or associate educators shall advance one step on the first day of the 10-month year on the U1 Salary Schedule, but wages will be frozen at the previous year's rate until an agreement on wages has been reached and a monetary value for each step on the salary schedule has been agreed to by the parties.",68,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"U.S. public school full-time classroom teaching experience is creditable at a 1.5% increase above the minimum of the A0 salary schedule for every two years of creditable experience up to a maximum of a 15% increase above the minimum of the A0 salary schedule. ... Experience Credit for Placement on AO Salary Schedule is applicable to the initial hire with M- DCPS, unless otherwise designated in the contract. It is not the intent of this provision that teachers being reassigned to a different instructional position subsequent to the initial hire with M-DCPS can have prior work and/or teaching experience reevaluated to determine a higher placement on a different assignment.",214-215,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",yes,Teachers holding a PSC or CC who decide to participate in the performance pay system must fully understand that by doing so they permanently forfeit their right to PSC or CC status.,33,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,"Teachers who opt for the performance pay system shall be covered by the provisions of M-DCPS/UTD contract Article XIII, Section 5 for performance evaluations.","Teachers who opt for the performance pay system shall be covered by the provisions of M-DCPS/UTD contract Article XIII, Section 5 for performance evaluations.",33,high,
miami_dade_county_public_schools__utd_2017_2020_agreement__c171409e,UTD_2017-2020_Agreement.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,2.00%,"Effective July 1, 2017, the U0 Salary Schedule, will be improved by 2.00%.",106,high,
