document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,2,"All longevities, step increments, differentials and other rates of pay not otherwise covered in Appendix A or elsewhere in this Agreement, shall be increased by an amount consistent with the increase in the shortage area rate set forth in APPENDIX A, unless explicitly excepted.","All longevities, step increments, differentials and other rates of pay not otherwise covered in Appendix A or elsewhere in this Agreement",management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,2,A Central Paperwork and Operational Issues Committee (the “Central Committee”) will convene within thirty (30) days of the ratification of this agreement by the UFT.,A Central Paperwork and Operational Issues Committee (the “Central Committee”),other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,2,The Central Committee will be made up of an equal number of representatives appointed by the UFT President and the Chancellor.,The Central Committee,other,worker,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,2,"The Central Committee will meet at least monthly, on the first Wednesday of the month or at a mutually agreeable time, to review system-wide Operational Issues.",The Central Committee,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,2,"The Central Committee will also establish, subject to agreement by the Chancellor and the UFT President, system-wide standards for the reduction and elimination of unnecessary paperwork (“System-wide Paperwork Standards”).",The Central Committee,other,worker,will,False,active,plain,obligation,obligation,True,0.9,workload,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,3,"Should the Central Committee fail to establish System-wide Paperwork Standards, approved by the Chancellor within sixty (60) days of their first meeting, either the UFT or the Board (DOE) may request the assistance of a member of the Fact-Finding Panel of Martin F. Scheinman, Howard Edelman and Mark Grossman, or another mutually agreeable neutral, to help facilitate the Central Committee’s discussions.",either the UFT or the Board (DOE),other,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,3,"Should the intervention of a neutral not result in an agreement by the Central Committee approved by the Chancellor within sixty (60) days of the neutral’s involvement, the DOE and UFT will submit position statements to said neutral",the DOE and UFT,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,3,who will issue a binding decision.,who,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,3,"The neutral’s decision setting the System-wide Paperwork Standards, shall be subject to Article 75 of the New York State Civil Practice Law and Rules.","The neutral’s decision setting the System-wide Paperwork Standards,",other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,New York City Department of Education,3,Nothing precludes the parties from agreeing to the addition of new System Wide Standards with respect to Operational Issues.,Nothing,other,worker,,True,active,plain,prohibition,other,False,0.0,other,True,
