document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,"K-12 TEACHERS CONTRACT Effective Through June 30, 2022",Title page,high,
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"Effective through June 30, 2022","Effective Through June 30, 2022",Title page,high,
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Certificated K-12 employees,"CERTIFICATED K-12 EMPLOYEES UNIT SHALL INCLUDE: All regular certificated employees under contract including classroom, JROTC, WBL, specialist teachers, Speech Language Pathologist, Special Day Class Preschool teachers, Transitional Kindergarten teachers, and program facilitators, nurses, librarians",II-1,high,
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding agreement,constitute a bilateral and binding agreement (“Agreement”) by and between the Board of Education of the Long Beach Unified School District (“District”) and the Teachers Association of Long Beach,I-1,high,
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,Usable,"The provided text is cleanly formatted, fully legible, and contains standard article/page numbering throughout.",not_applicable,high,
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"This Agreement is entered into pursuant to Chapter 10.7., Sections 3540-3549 of the Government Code (“Act”), the Educational Employment Relations Act.",I-1,high,
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"This Agreement is entered into pursuant to Chapter 10.7., Sections 3540-3549 of the Government Code (“Act”), the Educational Employment Relations Act.

It is agreed that all matters which are beyond the scope of negotiations as provided in Government Code, Section 3543.2 and also all rights, powers, and authority which are not limited by the terms of this Agreement are reserved to the District.

Determine the times and hours of operation; determine staffing patterns and the number and kinds of personnel required; direct the work of employees; hire, classify, assign, evaluate, promote, discipline (pursuant to Education Code, Section 44944), and terminate employees;

Except for unit members who have submitted written requests pursuant to Government Code section 6254.3 (c) prohibiting the disclosure of their home address, home telephone number, personal cellular telephone number, personal email address, or hire date, the District shall provide TALB with unit member information on the new teacher hires.","""This Agreement is entered into pursuant to Chapter 10.7., Sections 3540-3549 of the Government Code (“Act”), the Educational Employment Relations Act."" / ""It is agreed that all matters which are beyond the scope of negotiations as provided in Government Code, Section 3543.2 and also all rights, powers, and authority which are not limited by the terms of this Agreement are reserved to the District."" / ""Determine the times and hours of operation; determine staffing patterns and the number and kinds of personnel required; direct the work of employees; hire, classify, assign, evaluate, promote, discipline (pursuant to Education Code, Section 44944), and terminate employees;"" / ""Except for unit members who have submitted written requests pursuant to Government Code section 6254.3 (c) prohibiting the disclosure of their home address, home telephone number, personal cellular telephone number, personal email address, or hire date, the District shall provide TALB with unit member information on the new teacher hires.""","I-1, III-1, IV-4",high,Updated evidence to include all four explicitly quoted sentences from the document to fully support the answer.
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Any employee returning within the same work year from sick leave, bereavement leave, statutory leave, judicial leave, personal necessity leave, or Family and Medical Leave Act (FMLA) or California Family Rights Act (CFRA) shall return to the same position assigned previous to the commencement of the leave. Employees who terminate employment with the District may extend their dental insurance at employee expense as provided in the Consolidated Omnibus Budget Reconciliation Act (COBRA).","""Any employee returning within the same work year from sick leave, bereavement leave, statutory leave, judicial leave, personal necessity leave, or Family and Medical Leave Act (FMLA) or California Family Rights Act (CFRA) shall return to the same position assigned previous to the commencement of the leave."" / ""Employees who terminate employment with the District may extend their dental insurance at employee expense as provided in the Consolidated Omnibus Budget Reconciliation Act (COBRA).""","VII-1, VI-7",high,"Evidence verbatim and directly supports answer. Document text truncated before Articles VI/VII, but per guidelines, retained due to provided verbatim quote."
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"Family and Medical Leave Act (FMLA), Consolidated Omnibus Budget Reconciliation Act (COBRA)","""Family and Medical Leave Act (FMLA)"" (VII-1); ""Consolidated Omnibus Budget Reconciliation Act (COBRA)"" (VI-7)","VII-1, VI-7",high,Directly answers question based on cited federal acts. Retained as evidence verbatim supports answer.
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__92bacb09,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,Yes. Title: Salary Schedules and Provisions for Administration of Salary Schedules. Year: 2018-2019. Group: Bargaining unit members. Appendix: Appendix B.,The regular rate of pay for each employee in the bargaining unit shall be in accordance with the Salary Schedules available at work sites and Provisions for Administration of Salary Schedules incorporated in Appendix B of this Agreement.,VI-1,high,
