document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,"Collective Bargaining Agreement Between The School Board of Palm Beach County, Florida And The Palm Beach County Classroom Teachers Association",i,high,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2017 - June 30, 2020","July 1, 2017 - June 30, 2020",i,high,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,All certificated non-administrative personnel,The Board recognizes the Association as the sole and exclusive negotiations representative of all certificated non-administrative personnel as defined herein.,13,high,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,"Unless otherwise provided herein, this Agreement shall be effective when ratified and approved by both Parties and shall continue in full force and effect through June 30, 2020.",v,high,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,The Parties agree that the primary purpose of the Classroom Teacher Evaluation System (CTES) is to provide employees with a framework to improve instruction and provide opportunities for professional growth and ultimately to improve student achievement.,30,high,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,A Collective Bargaining Agreement or Contract as provided in Fla.Stat. §447.,11,high,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"- ""1. \""AGREEMENT\"" - A Collective Bargaining Agreement or Contract as provided in Fla.Stat. §447.
- ""11. ""PUBLIC EMPLOYEES RELATIONS ACT (PERA)” - Chapter 447, Part II, Florida Statutes.
- ""12. ""PUBLIC EMPLOYEES RELATIONS COMMISSION (PERC)"" - The Commission created under Fla. Stat. §447.205.
- ""13. “SATISFACTORY EVALUATION” as used herein the term “satisfactory evaluation” is defined as either an evaluation rating of “Highly Effective” or “Effective” or for Category 1A or 1B employees an evaluation rating of at least “Developing”. The Parties agree that should Fla. Stat. §1012.34(2) (e) be repealed or found void by a court of competent jurisdiction, this definition will be void and considered repealed unless both Parties agree to continue to use this definition.
- If the Parties are unable to resolve the invalidated Section within twenty (20) days of the commencement of negotiations and such Section is a mandatory subject for bargaining, the Parties agree to abide by the provisions of Chapter 447, F. S., concerning said invalidated Section, unless the Parties mutually agree to an alternative dispute resolution procedure.
- Holds an active professional certificate issued pursuant to Florida Statute §1012.56 and rules out the State Board of Education;
- 4. a. Effective July 1, 2011 and pursuant to Fla. Stat. §1012.335, all employees defined as instructional personnel (excluding substitute teachers) hired by the District after that date will be issued annual contracts, which is defined as an employment contract for a period of no longer than one (1) school year.
- Should relevant provisions of Fla. Stat. §1012 relating to employment contracts be repealed or found void by a court of competent jurisdiction, Sections 4 and 5 below will be void and considered repealed likewise.","""1. \""AGREEMENT\"" - A Collective Bargaining Agreement or Contract as provided in Fla.Stat. §447.

11. \""PUBLIC EMPLOYEES RELATIONS ACT (PERA)” - Chapter 447, Part II, Florida Statutes.

12. \""PUBLIC EMPLOYEES RELATIONS COMMISSION (PERC)\"" - The Commission created under Fla. Stat. §447.205.

13. “SATISFACTORY EVALUATION” as used herein the term “satisfactory evaluation” is defined as either an evaluation rating of “Highly Effective” or “Effective” or for Category 1A or 1B employees an evaluation rating of at least “Developing”. The Parties agree that should Fla. Stat. §1012.34(2) (e) be repealed or found void by a court of competent jurisdiction, this definition will be void and considered repealed unless both Parties agree to continue to use this definition.

If the Parties are unable to resolve the invalidated Section within twenty (20) days of the commencement of negotiations and such Section is a mandatory subject for bargaining, the Parties agree to abide by the provisions of Chapter 447, F. S., concerning said invalidated Section, unless the Parties mutually agree to an alternative dispute resolution procedure.

I. Holds an active professional certificate issued pursuant to Florida Statute §1012.56 and rules out the State Board of Education;

4. a. Effective July 1, 2011 and pursuant to Fla. Stat. §1012.335, all employees defined as instructional personnel (excluding substitute teachers) hired by the District after that date will be issued annual contracts, which is defined as an employment contract for a period of no longer than one (1) school year.

Should relevant provisions of Fla. Stat. §1012 relating to employment contracts be repealed or found void by a court of competent jurisdiction, Sections 4 and 5 below will be void and considered repealed likewise.","11, 15, 17",high,"Updated evidence field from Stage 1 to include all verbatim sentences quoted in the answer, as the original evidence only contained the first bullet. All passages are present in the document and explicitly support the answer."
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","If the employee’s condition is one that should be considered under provisions of the Americans with Disabilities Act (ADA), the employee will be directed to apply for an ADA accommodation with the District’s EEO/ADA Coordinator in lieu of a hardship transfer.","If the employee’s condition is one that should be considered under provisions of the Americans with Disabilities Act (ADA), the employee will be directed to apply for an ADA accommodation with the District’s EEO/ADA Coordinator in lieu of a hardship transfer.",79,high,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Americans with Disabilities Act (ADA),"If the employee’s condition is one that should be considered under provisions of the Americans with Disabilities Act (ADA), the employee will be directed to apply for an ADA accommodation with the District’s EEO/ADA Coordinator in lieu of a hardship transfer.",79,high,
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__9e19eaee,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,opt to be paid based on the performance pay salary schedule instead of staying on the grandfathered salary schedule,19,high,"Corrected from 'no' to 'yes'. The quoted evidence explicitly references both a 'performance pay salary schedule' and a 'grandfathered salary schedule', directly contradicting the original 'no' answer and confirming their inclusion in the document."
