document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Memorandum of Agreement (MOA),"MEMORANDUM OF AGREEMENT (the “MOA” or “Agreement”) entered into this 11th day of October, 2018 by and between the Board of Education of the City School District of the City of New York (the “Board”) and the United Federation of Teachers, Local 2, AFT, AFL-CIO (the “Union”)",1,high,Updated answer from MOU to MOA to precisely match the document's self-identification.
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"February 14, 2019 through September 13, 2022","The terms of the successor agreements shall be from February 14, 2019 through September 13, 2022.",1,high,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"United Federation of Teachers (UFT), including teachers, paraprofessionals, guidance counselors, school psychologists, school secretaries, nurses, therapists, and administrative staff","United Federation of Teachers, Local 2, AFT, AFL-CIO (the “Union”) ... They cover the following titles and rates of pay: 1. Teacher ... 30. Occasional Per Diem Paraprofessional ... 11. Guidance Counselor ... 12. School Psychologist ... 13. School Secretary ... 23. Registered Nurse, Occupational Therapist, Physical Therapist ...",1,high,Updated evidence to include the specific title list from Section 3 that supports the detailed employee group answer.
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding agreement,"MEMORANDUM OF AGREEMENT (the “MOA” or “Agreement”) entered into this 11th day of October, 2018 by and between the Board of Education ... and the United Federation of Teachers ... modifying certain collective bargaining agreements",1,high,"Clarified evidence to reflect the full title and modifying nature, which confirms binding scope."
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,The neutral's decision setting the System-wide Safety Standards shall be subject to Article 75 of the New York State Civil Practice Law and Rules.,2,high,Updated evidence quote to the exact verbatim passage from the document.
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"""The neutral's decision setting the System-wide Safety Standards shall be subject to Article 75 of the New York State Civil Practice Law and Rules.""
""The System-wide Safety Standards shall be consistent with applicable State law, rules, and regulations and Chancellor's Regulations, and shall not cover a prohibited subject of bargaining.""","""The neutral's decision setting the System-wide Safety Standards shall be subject to Article 75 of the New York State Civil Practice Law and Rules.""
""The System-wide Safety Standards shall be consistent with applicable State law, rules, and regulations and Chancellor's Regulations, and shall not cover a prohibited subject of bargaining.""",1,high,Updated the evidence field to include the second quote that was present in the original answer but omitted from the Stage 1 evidence field. Both quotes are explicitly stated in Section 7(1).
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","""If OPI determines that an allegation is a violation of a significant DOE rule or policy or of city, state or federal law, but does not constitute \""Serious Misconduct\"" or \""Sexual Misconduct\"" the DOE may request a probable cause hearing.""","""If OPI determines that an allegation is a violation of a significant DOE rule or policy or of city, state or federal law, but does not constitute \""Serious Misconduct\"" or \""Sexual Misconduct\"" the DOE may request a probable cause hearing.""",1,medium,"Answer and evidence retained. The passage references 'federal law' in a general sense rather than citing a specific federal statute, which supports keeping the medium confidence rating."
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,not_discussed,,not_applicable,high,No specific federal laws or statutes are cited in the document. The term 'federal law' only appears as a general reference in Section 8 regarding disciplinary hearings.
new_york_city_department_of_education__nyc_19_22_cba__1076ce07,NYC_19-22_CBA.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,The salaries and rates of pay for the employees in the bargaining units covered by this Agreement are set forth in and attached hereto as Appendix A.,not_applicable,high,
