document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,NEGOTIATED AGREEMENT BETWEEN THE ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT NUMBER 12 AND THE ALBUQUERQUE TEACHERS FEDERATION 2018-2019,1,high,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2018-2019,2018-2019,1,high,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"licensed employees whose salaries are based on salary matrices AT-1, AT-2, AT-3, A-2, A-3, and A-4 and Certified Occupational Therapist Assistants (COTAs) and Physical Therapy Assistants (PTAs)","The term ""teacher"" for the purpose of this Agreement shall mean all licensed employees whose salaries are based on salary matrices AT-1, AT-2, AT-3, A-2, A-3, and A-4 and Certified Occupational Therapist Assistants (COTAs) and Physical Therapy Assistants (PTAs) unless specified otherwise herein.",7,high,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding,"In case of any conflict between the provisions of this Agreement and any Board or Federation policy, practice, procedure, custom or writing, except as provided in paragraph B.2. above, the provisions of the Agreement shall control for the period of this Agreement.",7,high,"Updated evidence from Article 1.C.3 to Article 1.B.3, which more explicitly demonstrates the binding and controlling nature of the contract provisions."
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,N/A,not_applicable,high,Meta question regarding PDF extractability; original placeholder evidence replaced with N/A as it does not pertain to contract content.
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,This Agreement shall be governed and construed according to federal law and the Constitution and laws of the State of New Mexico.,7,high,"Changed answer from 'no' to 'yes' because the quoted evidence explicitly states the agreement is governed by the laws of the State of New Mexico, making the original 'no' answer self-contradictory."
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,This Agreement shall be governed and construed according to federal law and the Constitution and laws of the State of New Mexico.,This Agreement shall be governed and construed according to federal law and the Constitution and laws of the State of New Mexico.,7,high,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.",This Agreement shall be governed and construed according to federal law and the Constitution and laws of the State of New Mexico.,This Agreement shall be governed and construed according to federal law and the Constitution and laws of the State of New Mexico.,7,high,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,federal law,This Agreement shall be governed and construed according to federal law and the Constitution and laws of the State of New Mexico.,7,high,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,APPENDIX A    2011-2012 SALARY MATRICES AND CAREER PATHWAYS …………… 72,72,high,
albuquerque_public_schools__atf_negotiated_agreement_2018_19__e7e5b93f,ATF-Negotiated-Agreement_2018-19.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2011-2012,APPENDIX A    2011-2012 SALARY MATRICES AND CAREER PATHWAYS,72,high,
