document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,"Collective Bargaining Agreement between the Boston Teachers Union Local 66 AFT Massachusetts, AFT, AFL-CIO and the Boston School Committee",Cover,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"September 1, 2021 through August 31, 2024","Effective September 1, 2021 through August 31, 2024",Cover,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Teachers, Paraprofessionals, Substitute Teachers/Nurses, and ABA Specialists",TABLE OF CONTENTS TEACHERS CONTRACT... PARAPROFESSIONALS AGREEMENT... SUBSTITUTE TEACHERS AND NURSES AGREEMENT... ABA SPECIALIST AGREEMENT,"iii, ix, xi, xiii",high,Updated answer to reflect all four distinct agreements/bargaining units explicitly listed in the document's structure.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding,"Remember, a contract is only as strong as its enforcement.",i,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,Usable,Text is fully extractable and clearly formatted throughout the provided sections.,vii-xiii,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",no,"The document references state law generally but cites no specific statutes, codes, or administrative rules.",6,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"""Each School Site Council is responsible for finding ways to implement the intent of the provisions governing school-based management in ways that do not violate outstanding court orders or state and federal laws and regulations.""; ""In managing a school, the School Site Council must comply with all applicable federal and state laws, regulations, and court orders, unless the school has sought and received a proper waiver from appropriate authorities.""; ""The School Department and the Union will cooperate through the Steering Committee in aggressively seeking appropriate approvals or waivers of state or federal policies or regulations or to seek statutory change to allow at least a demonstration project.""","""Each School Site Council is responsible for finding ways to implement the intent of the provisions governing school-based management in ways that do not violate outstanding court orders or state and federal laws and regulations."" (p. 11); ""In managing a school, the School Site Council must comply with all applicable federal and state laws, regulations, and court orders, unless the school has sought and received a proper waiver from appropriate authorities."" (p. 14); ""The School Department and the Union will cooperate through the Steering Committee in aggressively seeking appropriate approvals or waivers of state or federal policies or regulations or to seek statutory change to allow at least a demonstration project."" (p. 14)","11, 14",high,Expanded evidence field to include all sentences quoted in the answer to ensure complete support.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","""Each School Site Council is responsible for finding ways to implement the intent of the provisions governing school-based management in ways that do not violate outstanding court orders or state and federal laws and regulations.""; ""In managing a school, the School Site Council must comply with all applicable federal and state laws, regulations, and court orders, unless the school has sought and received a proper waiver from appropriate authorities.""; ""The School Department and the Union will cooperate through the Steering Committee in aggressively seeking appropriate approvals or waivers of state or federal policies or regulations or to seek statutory change to allow at least a demonstration project.""; ""The school is on track to be, or has been, designated as “Restructuring” under the Federal No Child Left Behind regulations.""","""Each School Site Council is responsible for finding ways to implement the intent of the provisions governing school-based management in ways that do not violate outstanding court orders or state and federal laws and regulations."" (p. 11); ""In managing a school, the School Site Council must comply with all applicable federal and state laws, regulations, and court orders, unless the school has sought and received a proper waiver from appropriate authorities."" (p. 14); ""The School Department and the Union will cooperate through the Steering Committee in aggressively seeking appropriate approvals or waivers of state or federal policies or regulations or to seek statutory change to allow at least a demonstration project."" (p. 14); ""The school is on track to be, or has been, designated as “Restructuring” under the Federal No Child Left Behind regulations."" (p. 22)","11, 14, 22",high,Expanded evidence field to include all sentences quoted in the answer.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Federal No Child Left Behind regulations; Individuals with Disabilities Education Act (IDEA),"""The school is on track to be, or has been, designated as “Restructuring” under the Federal No Child Left Behind regulations."" (p. 22); ""The Individuals with Disabilities Education Act (IDEA) requires that students with disabilities are educated in the least restrictive environment with specially designed instruction..."" (p. 29)","22, 29",high,"Updated answer to include IDEA, which is explicitly cited on page 29. Original answer missed this citation."
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,"C.      Salary Schedule
Effective September 1, 2021 - August 31, 2022: 3%... 1 60,440      62,527      64,599     66,688     68,770  70,852  73,233  75,299  76,477",104,high,Stage 1 incorrectly coded as 'no' based on a paragraph about a Schedule 'A' Pay Grid. The document explicitly includes a salary schedule table on page 104.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2021-2022,"Effective September 1, 2021 - August 31, 2022: 3%",104,high,Updated page number from 102 to 104 to match the exact location of the salary schedule table.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,"Those persons who at the time of their appointment have not had one hundred twenty (120) days for salary purposes within the school year of their appointment but who do have a total of at least one hundred twenty (120) days for salary purposes in the school year of their appointment will advance a step on the salary schedule, to the maximum, on each September following their appointment. All other persons will advance a step on the salary schedule, to the maximum, on the first day of the month of the appointment in each year... Each teacher hired after September 1, 2013, shall not advance a step if his/her most recent evaluation reflects an overall rating of Unsatisfactory until he/she achieves a higher overall rating on a formative assessment, formative evaluation or summative evaluation.",103,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"Persons who have taught outside the Boston School System shall receive year for year service credit for such teaching experience for salary purposes on the Salary Schedule, up to a maximum of three (3) years... One hundred twenty (120) days’ credit for salary purposes per school year shall be the basis for computing one year’s teaching experience... Paraprofessionals and ABA Specialists who have become or do become teachers in the Boston School system shall receive one year of salary credit for every three years worked as a Boston Public School paraprofessional or ABA Specialist, up to a maximum of three (3) years for salary credit.",102,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",no,"The document outlines the educator evaluation process and ratings (Exemplary, Proficient, Needs Improvement, Unsatisfactory) but does not link evaluation results to any additional compensation, performance pay, or merit pay.",60,high,Preserved 'no' answer. The document details evaluation processes but contains no provisions linking evaluations to performance pay or merit pay.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_applicable,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,"Flat raise of $4,464.02 per step/lane effective September 1, 2015 (no percentage specified)","Every step and lane shall be $4,464.02 higher than the applicable schedule effective September 1, 2015.",58,medium,Evidence not located in the provided document excerpt. Answer and evidence preserved as provided in Stage 1.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,no,"Performing Arts teachers, including theater, music, dance, drama, and choral group teachers, who conduct regular after school rehearsals and practices culminating in final productions and/or festivals shall be compensated for such after school time with a stipend of $1,600.00 per year.",51,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",yes,"For a 1.0 teacher classroom where the teacher is using three licenses, two of which are special education and ESL, ESL services for EL students will be provided by an ESL teacher who is not the teacher of record, or Special Ed Services will be provided by a special ed teacher who is not the teacher of record, unless the teacher agrees and is provided a stipend of 45 minutes per day at the contractual hourly rate.",31,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",no,,not_applicable,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",yes,The Language Assessment Team Facilitator (LATF) at all schools at the elementary level shall be granted an extracurricular payment in accordance with the following table for every 25 English Learners at their school to complete Language Assessment related duties.,111,medium,Evidence not located in the provided document excerpt (page 111 is beyond the provided text). Answer and evidence preserved as provided in Stage 1.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_hardtostaff_schools_012,compensation,"Does the document provide incentives specifically for teaching in hard-to-staff, high-need, Title I, or priority schools, regardless of subject?",yes,"Recognizing that many of these schools are hard to staff schools, the district will offer an incentive to encourage individuals or teams of experienced, excellent teachers to work in these schools. With additional curricular, leadership, professional development, or other responsibilities, these teachers may receive up to 5% above their base salary.",24,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_experience_credit_indistrict_013,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,yes,Credit for all prior teaching experience in the City of Boston shall be granted to all those on the salary schedule. One hundred twenty (120) days’ credit for salary purposes per school year shall be the basis for computing one year’s teaching experience.,102,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_experience_credit_outofdistrict_014,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,yes,"Persons who have taught outside the Boston School System shall receive year for year service credit for such teaching experience for salary purposes on the Salary Schedule, up to a maximum of three (3) years. For the purpose of this paragraph a year’s teaching shall mean at least one hundred and sixty (160) days teaching performed under a certificate granted by the Massachusetts Department of Education or certificate that requires equal qualification.",102,high,"Updated answer from not_discussed to yes. The document explicitly specifies year-for-year credit up to 3 years for out-of-district teaching, requiring a MA DOE certificate."
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_experience_credit_outofstate_015,compensation,Does the document specify how out-of-state teaching experience is credited for salary placement?,not_discussed,,not_discussed,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_experience_credit_military_public_016,compensation,Does the document credit military service or other public service for salary placement?,yes,"military service, and compensation, 106",X-10,high,[keyword-rescue]
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,pay_national_board_017,compensation,Does the document provide extra pay for National Board certification or similar advanced certification?,4% of their annual base salary,All National Board Certified Teachers shall receive additional compensation in the amount of 4% of their annual base salary as long as they hold National Board Certification.,90,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_health_001,benefits,Does the document state that health or medical insurance is available to teachers?,yes,"The City’s contribution to all group hospitalization insurance premiums shall be as follows: - 75% of the total monthly premiums for the policy selected by the employer, including master medical or the equivalent benefits",114,high,"Updated evidence from swimming instructors (p.42) to the general teacher health insurance provision (Art. VIII.L.1, p.114) to explicitly address teachers as asked in the question."
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_health_contribution_002,benefits,What employer contribution toward health insurance is stated?,"75% for indemnity PPO; 90% (historically decreasing to 89%, 88%, 85%) for HMOs; and 84% (historically decreasing to 83%, 80%) for POS products.","The City’s contribution to all group hospitalization insurance premiums shall be as follows: - 75% of the total monthly premiums for the policy selected by the employer, including master medical or the equivalent benefits - 90% of the total monthly premiums for all approved and authorized health maintenance organizations... A. ... indemnity PPO ... 75% ... B. ... HMOs ... 89% ... C. ... 88% ... D. ... 85% ... E. ... POS ... 84% ... F. ... 83% ... G. ... 80%.",114-115,high,"Updated evidence to include the full breakdown of employer contribution rates for PPO, HMO, and POS plans as stated in Articles VIII.L and VIII.L.A-G."
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_health_employee_premium_003,benefits,What employee health insurance premium or contribution is stated?,"25% for indemnity PPO; 11% (historically decreasing to 12%, 15%) for HMOs; and 16% (historically decreasing to 17%, 20%) for POS products.","A. Effective July 1, 2007... indemnity PPO... The employee’s rate of contribution shall be 25%. B. Effective September 1, 2007... HMOs... 11%. C. ... 12%. D. ... 15%. E. ... POS... 16%. F. ... 17%. G. ... 20%.",114-115,high,"Updated evidence to quote the complete employee contribution rates for PPO, HMO, and POS plans across the contract period."
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_dependent_health_004,benefits,"Does the document mention dependent, spouse, family, or domestic partner health coverage?",yes,"providing certain health insurance coverage to its subscribers (i.e., employees, retirees, surviving spouses, and dependents);",203,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_health_plan_type_005,benefits,What health plan types are described?,"Master Medical, equivalent benefits, indemnity PPO (Blue Care Elect Preferred), Health Maintenance Organizations (HMOs), and point of service (POS) products.","The City’s contribution to all group hospitalization insurance premiums shall be as follows: - 75% of the total monthly premiums for the policy selected by the employer, including master medical or the equivalent benefits ... A. ... indemnity PPO known as Blue Care Elect Preferred. ... B. ... health maintenance organizations ... E. ... point of service products ...",114-115,high,Updated evidence to explicitly list all plan types referenced in Articles VIII.L and VIII.L.A-E.
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_dental_006,benefits,Does the document state that dental insurance is available?,no,"The School Department and the City shall cooperate with the Boston Teachers Union in setting up a task force to study Flexible Spending/Cafeteria Plans for tax free payments of medical, dental, and dependent care expenses.",122,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_vision_007,benefits,Does the document state that vision or optical insurance is available?,no,dental and vision benefits and any health insurance “opt out” clause related to an individual union shall not be part of this MOA or the 2020-2025 PEC Agreement and shall continue to be negotiated between the City and each of the collective bargaining units pursuant to M.G.L. C. 150E.,204,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_life_008,benefits,Does the document provide district-paid or voluntary life insurance?,yes,"The employer contribution to the life insurance portion of the group insurance plan ($5,000 policy) shall be 50% with a provision for teachers to purchase more life insurance at a low rate.",116,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_disability_009,benefits,Does the document mention short-term or long-term disability coverage?,yes,The School Committee and the City shall cooperate with the Boston Teachers Union in setting up a task force to study the feasibility of providing reduced cost long term disability insurance and long term care insurance to bargaining unit members.,122,high,
boston_public_schools__boston_2021_24_collective_bargaining_agreement__4a18c510,Boston_2021-24-Collective-Bargaining-Agreement.pdf,benefits_retirement_contribution_010,benefits,What employer retirement or pension contribution is stated?,not_discussed,,not_applicable,high,
