document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,2,The parties shall set forth in a memorandum of understanding to what extent the provisions of this Contract shall apply to registered nurses and adjuncts/technical adult.,The parties,other,management,shall,False,active,obligation_verb,obligation,obligation,True,1.0,other,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,2,"The parties agreed to implement a Collective Bargaining Process in accordance with Chapter 447, Florida Statutes and any appropriate rules and procedures.",The parties,other,management,,False,active,obligation_verb,obligation,obligation,True,0.85,other,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,2,Salary and fringe benefits shall be automatically reopened each year.,Salary and fringe benefits,other,management,shall,False,passive,plain,obligation,obligation,True,1.0,compensation,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,2,Either party is entitled to reopen the contract each year for the purpose of negotiating up to three (3) additional articles.,Either party,other,management,,False,active,rights_passive,right,right,True,0.85,other,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,2,"At the request of either party, a mediator shall be appointed.",a mediator,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,2,Neither party shall have any control over the selection of the bargaining representatives of the other party,Neither party,other,worker,shall,True,active,prohibition_verb,permission,prohibition,False,1.0,other,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,3,a mediator shall be appointed.,a mediator,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,3,"Neither party shall have any control over the selection of the bargaining representatives of the other party,",Neither party,other,worker,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,3,the parties mutually pledge that their representatives will be empowered to reach tentative agreement on items being negotiated.,the parties,other,management,will,False,active,plain,obligation,other,False,0.9,other,True,
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__da0cc308,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,Orange County Public Schools,3,the party using the consultants shall pay for any cost incurred for such services.,the party using the consultants,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
